sequence	16S_rRNA_Count	metadata_NSTI
ASV000544	3	0.041561
ASV000506	3	0.045799
ASV000421	3	0.049571
ASV000383	3	0.063712
ASV000257	3	0.047472
ASV003244	3	0.072076
ASV004557	3	0.10762200000000001
ASV004540	1	0.056795000000000005
ASV002481	3	0.002373
ASV003606	3	0.002379
ASV001345	3	0.0066
ASV000392	1	0.00015
ASV001192	1	0.00168
ASV002961	1	0.38159499999999996
ASV003931	4	0.17498699999999998
ASV000965	4	0.17498699999999998
ASV002382	4	0.0528
ASV000606	1	0.134494
ASV000458	1	0.142395
ASV003602	1	0.052167
ASV001957	1	0.04902
ASV002112	1	0.04978
ASV002232	8	0.07384299999999999
ASV001071	1	0.039902
ASV000393	1	0.042134
ASV000511	1	0.045431
ASV000412	1	0.042484
ASV004142	1	0.030824
ASV000478	1	0.022028
ASV000489	1	0.027284
ASV000548	1	0.029061
ASV000794	1	0.029061
ASV000512	1	0.02203
ASV000980	1	0.027231
ASV000806	1	0.056968
ASV000983	1	0.057115
ASV000525	1	0.060999
ASV004087	1	0.05486799999999999
ASV004112	1	0.027336000000000003
ASV000670	1	0.016912
ASV000296	1	0.020384
ASV000560	1	0.022299
ASV001440	1	0.060047
ASV003150	1	0.055713
ASV003187	1	0.051779
ASV001620	1	0.034106
ASV000605	2	0.005436
ASV001313	1	0.019883
ASV000556	1	0.041111
ASV001617	1	0.037364
ASV000845	1	0.030397000000000004
ASV000739	1	0.03027
ASV000131	1	0.016590999999999998
ASV002994	1	0.10241800000000001
ASV001816	2	0.019934
ASV000562	2	0.009439
ASV001012	2	0.020073
ASV001523	2	0.023532
ASV003836	2	0.02882
ASV000119	1	0.412234
ASV000241	1	0.412234
ASV000317	1	0.412234
ASV006201	1	0.236132
ASV001004	2	0.186876
ASV000127	2	0.06535099999999999
ASV000066	2	0.057486
ASV001013	2	0.060565999999999995
ASV000143	2	0.053434
ASV000332	2	0.038918
ASV000144	2	0.041283999999999994
ASV000189	1	0.077511
ASV000157	1	0.056369
ASV001787	1	0.037766
ASV002357	1	0.06627100000000001
ASV002647	1	0.35899899999999996
ASV003824	2	0.259342
ASV001951	4	0.067049
ASV003637	4	0.09666
ASV007868	4	0.110365
ASV002137	4	0.11781199999999999
ASV003369	4	0.053739
ASV001939	4	0.056349
ASV007585	4	0.15970399999999998
ASV006372	1	0.06776
ASV001640	1	0.063948
ASV001963	1	0.06979199999999999
ASV001627	1	0.07072
ASV000291	1	0.114126
ASV001529	1	0.15011300000000002
ASV001166	1	0.158502
ASV007781	2	0.23798000000000002
ASV003177	2	0.056975
ASV000302	2	0.083717
ASV006148	2	0.088134
ASV002210	2	0.068655
ASV004162	2	0.062077999999999994
ASV004680	2	0.05042
ASV004234	2	0.050798
ASV009937	2	0.056397
ASV005377	2	0.06699
