Assembly	TARA_PON_RAW
# contigs (>= 1000 bp)	1662920
# contigs (>= 5000 bp)	73282
# contigs (>= 10000 bp)	19088
# contigs (>= 25000 bp)	3238
# contigs (>= 50000 bp)	775
Total length (>= 1000 bp)	3410021982
Total length (>= 5000 bp)	738618236
Total length (>= 10000 bp)	376190081
Total length (>= 25000 bp)	149714539
Total length (>= 50000 bp)	67061065
# contigs	1662920
Largest contig	594166
Total length	3410021982
GC (%)	39.33
N50	2071
N75	1355
L50	402330
L75	922343
# N's per 100 kbp	0.00
