Software Version,3.00.19,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Experiment File Path:,C:\Users\Public\Documents\Experiments\RW\Jan 2019\Plastics\Day 14.xpt,,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\RW_OD600.prt,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,,
Date,12/02/2019,,,,,,,,,,,,,
Time,15:25:47,,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,,
Reader Serial Number:,1607191D,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,,
Read,Absorbance Endpoint,,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,,
,Wavelengths:  600,,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,
Actual Temperature:,24.1,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,
,A,0.042,0.043,0.068,0.042,0.041,0.041,0.043,0.042,0.042,0.043,0.041,0.042,600
,B,0.043,0.042,0.043,0.049,0.039,0.045,0.042,0.042,0.043,0.047,0.041,0.042,600
,C,0.045,0.042,0.042,0.036,0.036,0.037,0.042,0.042,0.043,0.037,0.038,0.036,600
,D,0.043,0.041,0.04,0.049,0.045,0.045,0.061,0.078,0.067,0.042,0.049,0.044,600
,E,0.036,0.037,0.037,0.045,0.04,0.037,0.065,0.061,0.065,0.06,0.04,0.037,600
,F,0.042,0.047,0.043,0.044,0.042,0.042,0.05,0.043,0.045,0.042,0.042,0.043,600
,G,0.043,0.043,0.043,0.043,0.042,0.042,0.043,0.042,0.042,0.042,0.042,0.042,600
,H,0.042,0.042,0.042,0.042,0.042,0.043,0.042,0.043,0.043,0.042,0.043,0.042,600
