Software Version,3.00.19,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Experiment File Path:,C:\Users\Public\Documents\Experiments\RW\Jan 2019\Plastics\Day 2 TPA.xpt,,,,,,,,,,,,,
Protocol File Path:,,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,,
Date,30/01/2019,,,,,,,,,,,,,
Time,12:03:29,,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,,
Reader Serial Number:,1607191D,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,,
Read,Absorbance Endpoint,,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,,
,Wavelengths:  240,,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,
Actual Temperature:,23.7,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,
,A,3.209,3.213,3.201,3.145,3.144,3.135,3.219,3.213,3.214,3.147,3.143,3.13,240
,B,3.142,3.125,3.13,3.143,3.154,3.14,3.203,3.197,3.201,3.143,3.14,3.148,240
,C,3.134,3.127,3.146,3.135,3.136,3.139,3.189,3.19,3.216,3.133,3.147,3.135,240
,D,3.13,3.134,3.126,3.135,3.148,3.148,3.204,3.215,3.207,3.149,3.138,3.146,240
,E,3.133,3.112,3.119,3.136,3.137,3.145,3.208,3.212,3.206,3.135,3.143,3.139,240
,F,3.091,3.092,3.108,3.096,3.109,3.118,3.103,3.107,3.096,3.112,3.101,3.108,240
,G,3.127,3.09,3.122,3.103,3.091,3.107,3.105,3.111,3.103,3.12,3.11,3.102,240
,H,3.116,3.096,3.117,3.108,3.11,3.107,3.121,3.105,3.108,3.117,3.123,3.115,240
