OTU,Simper contribution,BHET mean,BHET std,PET mean,PET std,kruskal stats,kruskal p
ASV000002,0.107130777804128,0.19998765933175774,0.13714653762159534,8.84132846636327,6.9816284396467045,42.8598858898398,5.880416901477699e-11
ASV000001,0.104667480337297,39.891504216602954,3.3686447088945486,33.15199907142734,7.217794918914263,16.688610928242213,4.4044627068920824e-05
ASV000007,0.052094167731448,3.6364604135457124,3.1259287760307264,4.413481185617297,4.76984471553135,0.5598027233634469,0.45433973923468607
ASV000008,0.044349515286731,1.6390653459631577,0.8753027496387323,3.8499792544964375,4.392602282754723,8.912113232389743,0.0028328525986593646
ASV000003,0.039615405736162,0.004448494934126028,0.006058158294245381,4.908979005184064,2.8597423952148837,46.60761171421358,8.672273614257432e-12
ASV000006,0.034150847165716,0.003540847943297277,0.003618359435550295,3.899257790906861,2.2641665657613737,44.24935384117197,2.89099803120433e-11
ASV000004,0.026876228641179,7.701143849049022,1.5722584492005576,5.0459703483112595,1.7710593425052372,25.385231511959603,4.69498727467193e-07
ASV000014,0.02514030639527,5.114565582811844,2.8829703714929122,0.16426701539902164,0.11344007799596022,46.357252578450755,9.85420782982463e-12
ASV000020,0.022499294970617,0.01020108355990041,0.00886551893347331,2.0139916813938696,3.1456888239986256,14.353824451085954,0.00015147169825041918
ASV000010,0.02114857375371,0.04618367081632542,0.0300831896246558,2.427495931498345,2.1612052913575086,43.617996719385545,3.9915145236556664e-11
ASV000022,0.016326167316072,3.4022767916687,1.7329153898030112,0.12014880005112213,0.1254255375776018,46.07435025363032,1.1384927800432465e-11
ASV000011,0.016089789911502,0.0011206620534473574,0.002598722179031906,1.9677058259832299,1.163917794274538,45.19100402424698,1.7872417823037405e-11
ASV000034,0.013401593850501,2.741215061048846,1.9245303608996531,0.009876809728275995,0.01535415988424029,30.224235550953573,3.848700040744482e-08
ASV000009,0.0129773393747621,2.1221073497667,0.6222374043920904,1.6257970878468058,1.1921290106938256,6.9677419354838435,0.008299215995280905
ASV000026,0.010507507787238,2.6741239621942534,4.554139804723927,0.0006659215378669203,0.0021135017010972144,67.10750636132315,2.5709762716505874e-16
ASV000012,0.010121777012594,0.0023367688908402873,0.004060069001700588,1.163204422285993,0.7584231399152691,44.78471262066186,2.1993312626760946e-11
ASV000023,0.010113637974378,1.8080893716693605,1.2881846246864572,0.23680552231630128,0.401164607416249,32.390732202525115,1.260863782052384e-08
