OTU,Simper contribution,BHET mean,BHET std,LCB mean,LCB std,kruskal stats,kruskal p
ASV000002,0.10541546845508,0.19998765933175774,0.13714653762159534,14.935793233169303,7.687330732247874,30.0,4.3204630578274955e-08
ASV000001,0.104418659780644,39.891504216602954,3.3686447088945486,25.164129999436646,4.849575529499484,29.431292517006824,5.793458195986434e-08
ASV000008,0.042648256869155,1.6390653459631577,0.8753027496387323,6.1571913197005825,5.68850138897175,19.200000000000017,1.177133909761492e-05
ASV000003,0.038693910519012,0.004448494934126028,0.006058158294245381,5.1728068254938515,3.3537371995113157,30.58614564831261,3.1936614240224254e-08
ASV000014,0.036890118611971,5.114565582811844,2.8829703714929122,0.1515328473172499,0.08867361124377454,30.0,4.3204630578274955e-08
ASV000004,0.03169904846107,7.701143849049022,1.5722584492005576,3.523284667291726,1.242655873800077,27.483673469387753,1.5842626847035296e-07
ASV000006,0.030829751533252,0.003540847943297277,0.003618359435550295,4.144855412406545,2.600432766898412,30.316901408450704,3.669147878947502e-08
ASV000007,0.029305348454753,3.6364604135457124,3.1259287760307264,0.37092636261281087,0.6358402987695455,6.228983860446517,0.012567583392240072
ASV000022,0.024264607781295,3.4022767916687,1.7329153898030112,0.03484109184899008,0.024649435924601094,30.0,4.3204630578274955e-08
ASV000026,0.024078899073511,2.6741239621942534,4.554139804723927,0.0008416094163982542,0.0026253802896943857,32.76567405575112,1.0396459621365644e-08
ASV000010,0.020686349696599,0.04618367081632542,0.0300831896246558,2.7098678054676606,2.5112904541240324,30.0,4.3204630578274955e-08
ASV000034,0.020402061992491,2.741215061048846,1.9245303608996531,0.020327554185294847,0.02147538921104955,15.937191830048986,6.547934620736112e-05
ASV000011,0.018112298086414,0.0011206620534473574,0.002598722179031906,2.4171163194699576,1.288031770532367,32.29557389347337,1.3241461570669597e-08
ASV000040,0.013506223816159,1.5576657549337338,2.157806900732509,0.0,0.0,33.93103448275862,5.71005809216614e-09
ASV000023,0.012483103725393,1.8080893716693605,1.2881846246864572,0.7012711627338704,0.4240184442594043,8.533333333333331,0.0034870048921413896
ASV000054,0.0116257234560381,1.5617098451576996,1.0676772056068613,0.0014906600125426314,0.0030657706579168445,22.86664824537165,1.7363877661699234e-06
ASV000036,0.0109655700099179,0.0,0.0,1.1338291676752015,2.2793749306983644,8.548936170212725,0.003457242118202515
ASV000009,0.0104266405548501,2.1221073497667,0.6222374043920904,2.3526202233301348,1.128066426446559,0.29999999999999716,0.583882420770367
