OTU,Simper contribution,LCP mean,LCP std,LCB mean,LCB std,kruskal stats,kruskal p
ASV000002,0.154695665004247,12.519335303615808,11.05409135373415,14.935793233169303,7.687330732247874,0.7863945578231153,0.37519256340836593
ASV000001,0.122483977649211,36.628957006426056,4.233445253209867,25.164129999436646,4.849575529499484,26.133333333333326,3.186355462846925e-07
ASV000003,0.075814793267329,10.561591811077351,4.239670052800888,5.1728068254938515,3.3537371995113157,14.900680272108843,0.00011332211325563817
ASV000008,0.055905263744968,1.3957402158741827,0.6019118149389097,6.1571913197005825,5.68850138897175,21.553741496598633,3.4405081813340125e-06
ASV000006,0.040447208375396,3.075155443927151,2.82313945600551,4.144855412406545,2.600432766898412,4.138775510204084,0.04191147623233612
ASV000010,0.02441922692852,2.6779269748413754,0.9216866867553817,2.7098678054676606,2.5112904541240324,2.3680272108843496,0.12384346785374652
ASV000009,0.02056693787618,3.4768206856081614,1.1140036031780056,2.3526202233301348,1.128066426446559,7.9346938775510125,0.004849583084270592
ASV000011,0.019222844088301,2.6063478930210273,1.1748408421301682,2.4171163194699576,1.288031770532367,0.45986394557823473,0.49768756524660585
ASV000036,0.0176949327207769,0.37865483955536966,0.8315668002151351,1.1338291676752015,2.2793749306983644,0.7672699268386702,0.381062949577731
ASV000004,0.0164355807744261,4.464192353417387,0.42964869363093816,3.523284667291726,1.242655873800077,11.145578231292518,0.0008423221280414509
ASV000028,0.0130086655574839,0.5701734828291374,0.6587838800032215,0.9900187229892273,1.090366654012434,0.9895535609821422,0.3198515125668427
ASV000018,0.0129176088792871,0.2716281248498492,0.277018804060972,1.2082559074051242,1.1712740969982434,8.24565777445359,0.00408496030789767
ASV000016,0.011248173500391,1.5524642922979393,0.4456858904580802,0.4618749701752112,0.3752716031717199,24.557823129251688,7.211297166372768e-07
ASV000056,0.010849295148525,0.08666931389689192,0.08292154847310791,1.0338770671500561,1.13796071421845,21.80419592026422,3.019391018428754e-06
ASV000019,0.0108427708953021,1.3139512112687413,0.7839441215336951,0.3803693214417194,0.21778034356750184,21.072108843537393,4.423196473358774e-06
ASV000045,0.010768273411413,0.08384054922650754,0.04555601637884269,1.0458245666895207,0.9581590688814371,30.0,4.3204630578274955e-08
ASV000031,0.010171901406002,0.8653519253002833,0.7250980150577271,1.101057155029587,0.4840046696212139,0.9823129251700777,0.32162844854811956
ASV000012,0.0100985501719401,1.2500667319141159,0.822280129868411,0.49067371810738625,0.3008826531092168,15.306122448979607,9.141973529292826e-05
