"","input","filtered","denoisedF","denoisedR","merged","nonchim"
"S15_S15_L001_R1_001.fastq",49105,38264,38010,38060,36124,18873
"S16_S16_L001_R1_001.fastq",89214,77120,76368,76542,71681,20256
"S17_S17_L001_R1_001.fastq",66595,57997,57083,57386,52600,15688
"S18_S18_L001_R1_001.fastq",101115,87114,85819,86102,79733,18806
"S19_S19_L001_R1_001.fastq",89851,76152,75035,75305,69901,8566
"S2_S2_L001_R1_001.fastq",46101,39368,38027,38113,30074,16271
"S20_S20_L001_R1_001.fastq",135253,118280,116701,117083,108539,27822
"S21_S21_L001_R1_001.fastq",75151,64490,63614,63824,59149,24491
"S217_S217_L001_R1_001.fastq",185,43,42,43,42,38
"S218_S218_L001_R1_001.fastq",177,53,53,53,53,51
"S22_S22_L001_R1_001.fastq",77100,64810,64026,64139,59518,26772
"S23_S23_L001_R1_001.fastq",97263,83962,83263,83388,79807,36267
"S24_S24_L001_R1_001.fastq",97849,83966,82973,83227,77424,13375
"S25_S25_L001_R1_001.fastq",92339,79839,79072,79218,73274,21872
"S26_S26_L001_R1_001.fastq",132493,113250,112099,112418,104862,23936
"S27_S27_L001_R1_001.fastq",143701,122905,121792,122178,114323,37425
"S28_S28_L001_R1_001.fastq",82298,63444,62680,62971,57882,8075
"S29_S29_L001_R1_001.fastq",77058,65802,65279,65413,61681,12053
"S3_S3_L001_R1_001.fastq",37808,30401,29046,29279,22646,10614
"S30_S30_L001_R1_001.fastq",91896,77673,76944,77167,73507,14983
"S303_S303_L001_R1_001.fastq",66,31,29,28,27,26
"S304_S304_L001_R1_001.fastq",67,26,24,23,13,13
"S305_S305_L001_R1_001.fastq",65,29,27,28,24,23
"S31_S31_L001_R1_001.fastq",127152,109823,108781,109065,103942,24247
"S32_S32_L001_R1_001.fastq",138143,118249,117157,117380,111916,46190
"S33_S33_L001_R1_001.fastq",143832,124922,123614,124104,116486,19831
"S34_S34_L001_R1_001.fastq",58475,49959,49432,49595,46180,14832
"S35_S35_L001_R1_001.fastq",87232,75022,74093,74383,69461,15854
"S36_S36_L001_R1_001.fastq",54436,46931,46504,46618,43486,15922
"S37_S37_L001_R1_001.fastq",79421,69007,68355,68543,64071,21937
"S38_S38_L001_R1_001.fastq",74079,63856,63361,63467,59448,16024
"S39_S39_L001_R1_001.fastq",109881,92652,91846,92055,86607,23688
"S4_S4_L001_R1_001.fastq",20577,17406,16783,16807,13445,6564
"S40_S40_L001_R1_001.fastq",116418,101307,100411,100572,93938,30813
"S41_S41_L001_R1_001.fastq",83649,73107,72281,72490,67813,18289
"S42_S42_L001_R1_001.fastq",18642,15788,15782,15779,15700,15571
"S43_S43_L001_R1_001.fastq",102471,84846,83048,83868,72722,11238
"S44_S44_L001_R1_001.fastq",124839,105512,103600,104394,91034,26705
"S45_S45_L001_R1_001.fastq",99798,83534,82091,82733,73797,14782
"S46_S46_L001_R1_001.fastq",141492,118717,113537,116108,99107,26333
