Name,New_name,Treatment,Time,Replicate
RD42W3,Day42NoC3,NoC,42,3
RD42LCW1,Day42LowCrysWater1,LCW,42,1
RD42LCW2,Day42LowCrysWater2,LCW,42,2
RD42LCW3,Day42LowCrysWater3,LCW,42,3
RD42LC1,Day42LowCrys1,LC,42,1
RD42LC1,Day42LowCrys2,LC,42,2
RD42LC3,Day42LowCrys3,LC,42,3
RD42P2,Day42PET1,PET,42,1
RD42P2,Day42PET2,PET,42,2
RD42P3,Day42PET3,PET,42,3
RD42WP1,Day42WeatherPET1,WPET,42,1
RD42WP2,Day42WeatherPET2,WPET,42,2
RD42WP3,Day42WeatherPET3,WPET,42,3
RD42B1,Day42BHET1,BHET,42,1
RD42B2,Day42BHET2,BHET,42,2
RD42B3,Day42BHET3,BHET,42,3
