,NoC,NoC,NoC,NoC,NoC,NoC,NoC,NoC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,PET,PET,PET,PET,PET,PET,PET,PET,WPET,WPET,WPET,WPET,WPET,WPET,WPET,WPET,BHET,BHET,BHET,BHET,BHET,BHET,BHET,BHET
,NoInoc,NoInoc,NoInoc,NoInoc,Community,Community,Community,Community,NoInoc,NoInoc,NoInoc,NoInoc,NoInoc,NoInoc,Community,Community,Community,Community,Community,Community,NoInoc,NoInoc,NoInoc,NoInoc,Community,Community,Community,Community,NoInoc,NoInoc,NoInoc,NoInoc,Community,Community,Community,Community,NoInoc,NoInoc,NoInoc,NoInoc,Community,Community,Community,Community
,D42_01a,D42_01b,D42_03a,D42_03b,D42_04a,D42_04b,D42_06a,D42_06b,D42_07a,D42_07b,D42_08a,D42_08b,D42_09a,D42_09b,D42_10a,D42_10b,D42_11a,D42_11b,D42_12a,D42_12b,D42_13a,D42_13b,D42_15a,D42_15b,D42_16a,D42_16b,D42_18a,D42_18b,D42_19a,D42_19b,D42_21a,D42_21b,D42_22a,D42_22b,D42_24a,D42_24b,D42_25a,D42_25b,D42_27a,D42_27b,D42_28a,D42_28b,D42_30a,D42_30b
c01,3.761992786,3.667578408,4.279408737,4.122008014,4.173994171,3.929261788,4.248917385,4.103041652,4.077511121,3.849378645,4.186804475,3.958539984,4.11667472,3.937099,4.02105454,3.89824966,4.12739405,3.879268022,4.040866308,3.839015869,4.329514288,4.205522896,4.338715773,4.276065562,4.198984428,4.097805911,4.222635924,4.136953691,4.319674161,4.186881854,4.288859126,4.132322548,4.005524107,3.991476504,4.157327742,4.148923085,5.4085002,5.300057859,5.481060702,5.403525373,5.173165264,5.158878031,5.707307163,5.789206629
c02,3.270963206,3.198862675,3.790950298,3.667288371,3.690011464,3.46972369,3.748116689,3.632529241,3.581186834,3.380868361,3.699070811,3.491340911,3.634942574,3.457929219,3.54487504,3.415544013,3.612135534,3.398507647,3.523097643,3.365247239,3.876511421,3.737410323,3.906196593,3.813739054,3.780485121,3.607966522,3.807081878,3.678341837,3.877145393,3.720771811,3.861040807,3.675269736,3.543409328,3.509356288,3.672985586,3.678653348,6.088913409,5.939559487,6.089282226,6.005427135,6.06722195,6.020112594,5.94780956,6.000834664
c03,3.20954364,3.130630085,3.729530732,3.605868805,3.628591898,3.419423214,3.686697122,3.571109675,3.519767268,3.319448795,3.637651245,3.429921344,3.573523008,3.396509653,3.483455474,3.354124446,3.550715968,3.337088081,3.455784475,3.303827673,3.815091855,3.675990756,3.844777027,3.752319488,3.716965055,3.545819612,3.745662311,3.616922271,3.815725827,3.659352245,3.809715274,3.613850169,3.481989762,3.447936722,3.611566019,3.617233781,5.707256279,5.627453243,5.766852819,5.633023451,5.742897985,5.755444572,5.730048839,5.6898008
c04,3.164773606,3.085860052,3.684760698,3.561098771,3.583821865,3.356095727,3.641927089,3.526339642,3.474997234,3.274678762,3.592881211,3.378808716,3.528752975,3.339986817,3.43868544,3.309354413,3.505945934,3.292318048,3.411014441,3.259057639,3.770321821,3.631220723,3.800006994,3.707549455,3.665283655,3.501776923,3.700892278,3.572152237,3.770955794,3.614582211,3.754851208,3.569080136,3.410881932,3.403166688,3.566795986,3.572463748,5.609659737,5.544285345,5.723725757,5.594636902,5.757799309,5.808654166,5.743535202,5.79423018
c05,3.923173093,3.78248851,4.437693094,4.26022239,4.352511626,4.065643247,4.396617903,4.230614491,4.260250217,4.001222955,4.381578502,4.091035553,4.269148876,4.0708329,4.173445463,4.03988574,4.27786714,3.995360969,4.19760482,3.981626606,4.479605773,4.334566049,4.502744685,4.418419627,4.36704061,4.210889844,4.359795818,4.260681467,4.446543735,4.322079075,4.425084466,4.2753785,4.12018696,4.109514728,4.284900822,4.282588989,5.957888014,5.949904698,6.000009912,5.93701007,5.659891065,5.70629544,5.777722044,5.808780467
c06,3.134270775,3.055357221,3.654257867,3.53059594,3.553319034,3.333031259,3.611424258,3.49583681,3.444494403,3.24417593,3.56237838,3.348305885,3.464943517,3.309483986,3.408182609,3.278851582,3.471596915,3.261815217,3.38051161,3.214989437,3.73981899,3.599212024,3.769504163,3.677046623,3.634780823,3.471274091,3.670389447,3.541649406,3.740452963,3.58407938,3.724348376,3.538577305,3.380379101,3.372663857,3.536293155,3.541960917,5.953251216,5.873823157,6.029384669,5.955756,6.136168907,6.127799767,6.10479476,6.135005148
c07,5.999249283,6.036261392,6.580671322,6.569817524,6.548312248,6.479955447,6.587725572,6.582518672,6.499030329,6.388870152,6.598401586,6.41815883,6.491101654,6.457207182,6.567540195,6.528388412,6.568587229,6.446807289,6.484487038,6.448739755,6.609269045,6.596498806,6.595668939,6.630030096,6.567527189,6.532194838,6.580737578,6.575208075,6.606402915,6.601889242,6.614163641,6.521307346,6.457612581,6.484152089,6.538376194,6.638660404,6.28800228,6.204840386,6.371431505,6.279029369,6.2413143,6.214226437,6.158329147,6.216109871
c08,3.302410185,3.230309654,3.822397278,3.698735351,3.721458444,3.51228976,3.779563668,3.663976221,3.612633814,3.412315341,3.73051779,3.52278789,3.666389554,3.489376198,3.57632202,3.446990992,3.643582514,3.429954627,3.554544623,3.396694219,3.907958401,3.768857302,3.937643573,3.845186034,3.811932101,3.64918401,3.838528857,3.709788817,3.908592373,3.752218791,3.90258182,3.706716715,3.574856307,3.554924588,3.704432565,3.713047147,6.273399252,6.207544681,6.442919543,6.315517971,6.390466177,6.320649371,6.268516679,6.309021075
c09,5.068229863,6.37324343,6.925295502,5.980128263,5.849250808,6.708907675,6.901666592,6.800687583,5.834748722,6.665944635,5.868619059,5.687911919,5.775615634,5.812271638,5.667398542,5.690898329,5.781755852,6.608669668,5.769037148,5.660850135,5.962111208,6.084092303,6.061824362,6.114054935,6.845173777,5.654507793,5.851019703,6.875971999,6.088214073,5.995342452,6.093330021,6.940490548,6.656095299,5.949341557,6.80842468,6.014583377,5.7172037,5.405113954,6.673695668,5.770320415,5.692206546,6.518125996,6.428369389,5.572891856
c10,3.256931122,3.190975765,3.781308628,3.667882022,3.684879574,3.447246121,3.746393045,3.64133658,3.579988541,3.379122324,3.694415611,3.462136708,3.619744948,3.440092608,3.526732418,3.428121371,3.581626037,3.382403005,3.516257724,3.366941963,3.863726247,3.727969787,3.878927455,3.804210876,3.75539496,3.616279494,3.773878413,3.659731716,3.824780147,3.732511739,3.810684155,3.671187082,3.540971627,3.524125842,3.663808387,3.687878315,4.211861426,4.114704746,3.500606586,3.387691344,6.142915983,6.146873782,5.980148457,5.987111638
c11,3.755233083,3.6145485,4.269753084,4.09228238,4.184571616,3.888796483,4.228677893,4.062674481,4.092310207,3.833282946,4.188191061,3.918764874,4.101208866,3.90289289,4.005505453,3.87194573,4.10992713,3.827420959,4.02966481,3.792555852,4.268442692,4.166626039,4.334804675,4.250479617,4.1991006,4.042949834,4.191855808,4.092741457,4.278603725,4.154139065,4.257144456,4.10743849,3.95224695,3.934213365,4.116960812,4.108891903,6.45277626,6.388974344,6.453775262,6.43119892,6.117203718,6.090994413,6.348186468,6.393883049
c12,6.046321232,5.998954083,6.60988794,6.591717305,6.634753625,6.501128383,6.671903768,6.623678331,6.65364097,6.516430386,6.639731204,6.518035227,6.649413648,6.536541117,6.67836577,6.660873904,6.667836043,6.555801059,6.680544316,6.585565976,6.643566945,6.626058221,6.592872319,6.624265465,6.598152187,6.519740457,6.613521153,6.638361693,6.636403645,6.62639767,6.640584089,6.540704569,6.503287601,6.540380118,6.652477654,6.730531756,6.321675452,6.19108207,6.391696826,6.332871889,6.303219668,6.270269182,6.28802616,6.294577556
