Sample Name	Protocol REF	Parameter Value[instrument]	Parameter Value[manufacturer]	Protocol REF	Assay Name	Raw Data File	Comment[Data Repository]	Comment[Data Record Accession]	Comment[Data Record URI]	Protocol REF	Derived Data File	Comment[Data Repository]	Comment[Data Record Accession]	Comment[Data Record URI]	Factor Value[project]
S0021	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788428	SRX2974784	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187224	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0022	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788427	SRX2974785	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187225	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0023	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788371	SRX2974841	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187226	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0024	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788372	SRX2974840	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187227	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0025	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788369	SRX2974843	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187228	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0026	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788370	SRX2974842	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187229	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0027	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788367	SRX2974845	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187230	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0028	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788368	SRX2974844	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187231	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0029	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788365	SRX2974847	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187232	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0030	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788366	SRX2974846	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187233	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0031	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788373	SRX2974839	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187234	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0032	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788374	SRX2974838	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187235	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0033	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788197	SRX2974535	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187236	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0034	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788196	SRX2974536	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187237	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0035	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788199	SRX2974533	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187238	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0036	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788198	SRX2974534	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187239	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0037	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788193	SRX2974539	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187240	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0039	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788192	SRX2974540	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187241	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0040	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788195	SRX2974537	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187242	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0041	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788194	SRX2974538	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187243	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0042	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788201	SRX2974531	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187244	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0043	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788200	SRX2974532	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187245	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
