Sample Name	Protocol REF	Parameter Value[instrument]	Parameter Value[manufacturer]	Protocol REF	Assay Name	Raw Data File	Comment[Data Repository]	Comment[Data Record Accession]	Comment[Data Record URI]	Protocol REF	Derived Data File	Comment[Data Repository]	Comment[Data Record Accession]	Comment[Data Record URI]	Factor Value[project]
S0160	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788286	SRX2974446	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187358	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0161	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788285	SRX2974447	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187359	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0162	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788288	SRX2974444	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187360	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0163	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788287	SRX2974445	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187361	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0164	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788290	SRX2974442	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187362	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0165	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788289	SRX2974443	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187363	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0166	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788282	SRX2974450	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187364	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0167	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788281	SRX2974451	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187365	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0168	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788375	SRX2974837	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187366	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0169	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788376	SRX2974836	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187367	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0170	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788377	SRX2974835	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187368	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0171	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788378	SRX2974834	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187369	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0172	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788379	SRX2974833	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187370	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0177	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788380	SRX2974832	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187371	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0178	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788381	SRX2974831	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187372	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0179	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788382	SRX2974830	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187373	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0180	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788383	SRX2974829	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187374	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0181	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788384	SRX2974828	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187375	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0182	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788024	SRX2974708	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187376	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0183	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788023	SRX2974709	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187377	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0184	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788022	SRX2974710	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187378	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0185	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788021	SRX2974711	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187379	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0186	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788020	SRX2974712	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187380	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0187	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788019	SRX2974713	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187381	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0188	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788018	SRX2974714	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187382	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0189	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788017	SRX2974715	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187383	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0190	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788016	SRX2974716	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187384	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0191	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788015	SRX2974717	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187385	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0192	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788188	SRX2974544	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187386	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0193	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788189	SRX2974543	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187387	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0195	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788186	SRX2974546	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187388	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0196	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788187	SRX2974545	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187389	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0197	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788184	SRX2974548	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187390	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0198	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788185	SRX2974547	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187391	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0199	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788182	SRX2974550	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187392	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0200	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788183	SRX2974549	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187393	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0201	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788180	SRX2974552	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187394	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0202	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788181	SRX2974551	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187395	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0203	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788352	SRX2974860	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187396	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0204	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788351	SRX2974861	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187397	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0205	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788354	SRX2974858	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187398	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0206	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788353	SRX2974859	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187399	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0207	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788348	SRX2974864	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187400	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0209	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788347	SRX2974865	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187401	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0210	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788350	SRX2974862	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187402	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0211	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788349	SRX2974863	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187403	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0212	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788346	SRX2974866	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187404	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0213	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788345	SRX2974867	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187405	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0214	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788104	SRX2974628	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187406	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0215	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788103	SRX2974629	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187407	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0216	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788106	SRX2974626	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187408	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0217	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788105	SRX2974627	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187409	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0218	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788100	SRX2974632	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187410	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0219	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788099	SRX2974633	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187411	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0220	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788060	SRX2974672	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187412	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0221	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788059	SRX2974673	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187413	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0222	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788048	SRX2974684	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187414	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0223	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788047	SRX2974685	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187415	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0224	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788190	SRX2974542	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187416	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0225	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5787992	SRX2974740	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187417	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0226	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5787989	SRX2974743	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187418	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0227	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5787990	SRX2974742	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187419	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0228	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788467	SRX2974745	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187420	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0229	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788468	SRX2974744	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187421	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0231	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788465	SRX2974747	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187422	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0232	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788466	SRX2974746	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187423	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0233	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788463	SRX2974749	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187424	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0234	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788464	SRX2974748	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187425	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0235	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788338	SRX2974874	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187426	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0236	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788337	SRX2974875	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187427	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0237	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788336	SRX2974876	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187428	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0238	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788335	SRX2974877	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187429	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0239	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788342	SRX2974870	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187430	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0240	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788341	SRX2974871	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187431	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0241	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788340	SRX2974872	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187432	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0242	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788339	SRX2974873	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187433	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0243	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788344	SRX2974868	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187434	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0244	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788343	SRX2974869	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187435	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0245	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788172	SRX2974560	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187436	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0246	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788173	SRX2974559	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187437	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0247	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788174	SRX2974558	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187438	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0248	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788175	SRX2974557	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187439	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0249	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788168	SRX2974564	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187440	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0250	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788169	SRX2974563	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187441	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
