Source Name	Material Type	Term Source REF	Term Accession Number	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[geographical location]	Term Source REF	Term Accession Number	Characteristics[environment type]	Term Source REF	Term Accession Number	Characteristics[latitude]	Unit	Term Source REF	Term Accession Number	Characteristics[longitude]	Unit	Term Source REF	Term Accession Number	Characteristics[depth]	Unit	Term Source REF	Term Accession Number	Comment[cruise id]	Comment[cruise station]	Protocol REF	Comment[niskin bottle id]	Protocol REF	Sample Name	Factor Value[project]	Factor Value[collection time]
GEOTRACES project Atlantic Ocean seawater	Seawater	OMIT	OMIT:0013522	marine metagenome	NCBITaxon	NCBITaxon:408172	Atlantic Ocean	GAZ	GAZ:00000344	ocean biome	ENVO	ENVO:01000048	49.7225	degree	UO	UO:0000185	-42.4467	degree	UO	UO:0000185	10	meter	UO	UO:0000008	PE319	10	Sample collection	631397	DNA extraction	S0001	GEOTRACES	2010-05-10T12:13:00
GEOTRACES project Atlantic Ocean seawater	Seawater	OMIT	OMIT:0013522	marine metagenome	NCBITaxon	NCBITaxon:408172	Atlantic Ocean	GAZ	GAZ:00000344	ocean biome	ENVO	ENVO:01000048	49.7225	degree	UO	UO:0000185	-42.4467	degree	UO	UO:0000185	50	meter	UO	UO:0000008	PE319	10	Sample collection	631391	DNA extraction	S0002	GEOTRACES	2010-05-10T12:13:00
GEOTRACES project Atlantic Ocean seawater	Seawater	OMIT	OMIT:0013522	marine metagenome	NCBITaxon	NCBITaxon:408172	Atlantic Ocean	GAZ	GAZ:00000344	ocean biome	ENVO	ENVO:01000048	49.7225	degree	UO	UO:0000185	-42.4467	degree	UO	UO:0000185	75	meter	UO	UO:0000008	PE319	10	Sample collection	631388	DNA extraction	S0003	GEOTRACES	2010-05-10T12:13:00
GEOTRACES project Atlantic Ocean seawater	Seawater	OMIT	OMIT:0013522	marine metagenome	NCBITaxon	NCBITaxon:408172	Atlantic Ocean	GAZ	GAZ:00000344	ocean biome	ENVO	ENVO:01000048	49.7225	degree	UO	UO:0000185	-42.4467	degree	UO	UO:0000185	101	meter	UO	UO:0000008	PE319	10	Sample collection	631385	DNA extraction	S0004	GEOTRACES	2010-05-10T12:13:00
GEOTRACES project Atlantic Ocean seawater	Seawater	OMIT	OMIT:0013522	marine metagenome	NCBITaxon	NCBITaxon:408172	Atlantic Ocean	GAZ	GAZ:00000344	ocean biome	ENVO	ENVO:01000048	49.7225	degree	UO	UO:0000185	-42.4467	degree	UO	UO:0000185	152	meter	UO	UO:0000008	PE319	10	Sample collection	631382	DNA extraction	S0005	GEOTRACES	2010-05-10T12:13:00
GEOTRACES project Atlantic Ocean seawater	Seawater	OMIT	OMIT:0013522	marine metagenome	NCBITaxon	NCBITaxon:408172	Atlantic Ocean	GAZ	GAZ:00000344	ocean biome	ENVO	ENVO:01000048	49.7225	degree	UO	UO:0000185	-42.4467	degree	UO	UO:0000185	199	meter	UO	UO:0000008	PE319	10	Sample collection	631379	DNA extraction	S0006	GEOTRACES	2010-05-10T12:13:00
GEOTRACES project Atlantic Ocean seawater	Seawater	OMIT	OMIT:0013522	marine metagenome	NCBITaxon	NCBITaxon:408172	Atlantic Ocean	GAZ	GAZ:00000344	ocean biome	ENVO	ENVO:01000048	46.312	degree	UO	UO:0000185	-39.658	degree	UO	UO:0000185	10	meter	UO	UO:0000008	PE319	12	Sample collection	631829	DNA extraction	S0008	GEOTRACES	2010-05-12T20:39:00
GEOTRACES project Atlantic Ocean seawater	Seawater	OMIT	OMIT:0013522	marine metagenome	NCBITaxon	NCBITaxon:408172	Atlantic Ocean	GAZ	GAZ:00000344	ocean biome	ENVO	ENVO:01000048	46.312	degree	UO	UO:0000185	-39.658	degree	UO	UO:0000185	49	meter	UO	UO:0000008	PE319	12	Sample collection	631823	DNA extraction	S0009	GEOTRACES	2010-05-12T20:39:00
GEOTRACES project Atlantic Ocean seawater	Seawater	OMIT	OMIT:0013522	marine metagenome	NCBITaxon	NCBITaxon:408172	Atlantic Ocean	GAZ	GAZ:00000344	ocean biome	ENVO	ENVO:01000048	46.312	degree	UO	UO:0000185	-39.658	degree	UO	UO:0000185	73	meter	UO	UO:0000008	PE319	12	Sample collection	631820	DNA extraction	S0010	GEOTRACES	2010-05-12T20:39:00
GEOTRACES project Atlantic Ocean seawater	Seawater	OMIT	OMIT:0013522	marine metagenome	NCBITaxon	NCBITaxon:408172	Atlantic Ocean	GAZ	GAZ:00000344	ocean biome	ENVO	ENVO:01000048	46.312	degree	UO	UO:0000185	-39.658	degree	UO	UO:0000185	100	meter	UO	UO:0000008	PE319	12	Sample collection	631817	DNA extraction	S0011	GEOTRACES	2010-05-12T20:39:00
