study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJNA385854	SAMN07136695	SRX2974743	SRR5787989	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/009/SRR5787989/SRR5787989_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/009/SRR5787989/SRR5787989_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR578/009/SRR5787989
PRJNA385854	SAMN07136696	SRX2974742	SRR5787990	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/000/SRR5787990/SRR5787990_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/000/SRR5787990/SRR5787990_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR578/000/SRR5787990
PRJNA385854	SAMN07136842	SRX2974741	SRR5787991	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/001/SRR5787991/SRR5787991_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/001/SRR5787991/SRR5787991_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR578/001/SRR5787991
PRJNA385854	SAMN07136694	SRX2974740	SRR5787992	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/002/SRR5787992/SRR5787992_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/002/SRR5787992/SRR5787992_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR578/002/SRR5787992
PRJNA385854	SAMN07136563	SRX2974739	SRR5787993	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/003/SRR5787993/SRR5787993_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/003/SRR5787993/SRR5787993_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR578/003/SRR5787993
PRJNA385854	SAMN07136564	SRX2974738	SRR5787994	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/004/SRR5787994/SRR5787994_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/004/SRR5787994/SRR5787994_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR578/004/SRR5787994
PRJNA385854	SAMN07136768	SRX2974737	SRR5787995	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/005/SRR5787995/SRR5787995_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/005/SRR5787995/SRR5787995_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR578/005/SRR5787995
PRJNA385854	SAMN07136767	SRX2974736	SRR5787996	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/006/SRR5787996/SRR5787996_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/006/SRR5787996/SRR5787996_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR578/006/SRR5787996
PRJNA385854	SAMN07136770	SRX2974735	SRR5787997	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/007/SRR5787997/SRR5787997_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/007/SRR5787997/SRR5787997_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR578/007/SRR5787997
PRJNA385854	SAMN07136769	SRX2974734	SRR5787998	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/008/SRR5787998/SRR5787998_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/008/SRR5787998/SRR5787998_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR578/008/SRR5787998
PRJNA385854	SAMN07136764	SRX2974733	SRR5787999	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/009/SRR5787999/SRR5787999_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/009/SRR5787999/SRR5787999_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR578/009/SRR5787999
PRJNA385854	SAMN07136763	SRX2974732	SRR5788000	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/000/SRR5788000/SRR5788000_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/000/SRR5788000/SRR5788000_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR578/000/SRR5788000
PRJNA385854	SAMN07136766	SRX2974731	SRR5788001	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/001/SRR5788001/SRR5788001_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/001/SRR5788001/SRR5788001_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR578/001/SRR5788001
PRJNA385854	SAMN07136765	SRX2974730	SRR5788002	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/002/SRR5788002/SRR5788002_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/002/SRR5788002/SRR5788002_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR578/002/SRR5788002
PRJNA385854	SAMN07136772	SRX2974729	SRR5788003	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/003/SRR5788003/SRR5788003_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/003/SRR5788003/SRR5788003_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR578/003/SRR5788003
PRJNA385854	SAMN07136771	SRX2974728	SRR5788004	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/004/SRR5788004/SRR5788004_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/004/SRR5788004/SRR5788004_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR578/004/SRR5788004
PRJNA385854	SAMN07136536	SRX2974727	SRR5788005	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/005/SRR5788005/SRR5788005_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/005/SRR5788005/SRR5788005_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR578/005/SRR5788005
PRJNA385854	SAMN07136535	SRX2974726	SRR5788006	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/006/SRR5788006/SRR5788006_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/006/SRR5788006/SRR5788006_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR578/006/SRR5788006
PRJNA385854	SAMN07136534	SRX2974725	SRR5788007	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/007/SRR5788007/SRR5788007_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/007/SRR5788007/SRR5788007_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR578/007/SRR5788007
PRJNA385854	SAMN07136533	SRX2974724	SRR5788008	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/008/SRR5788008/SRR5788008_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/008/SRR5788008/SRR5788008_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR578/008/SRR5788008
PRJNA385854	SAMN07136540	SRX2974723	SRR5788009	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/009/SRR5788009/SRR5788009_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/009/SRR5788009/SRR5788009_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR578/009/SRR5788009
PRJNA385854	SAMN07136539	SRX2974722	SRR5788010	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/000/SRR5788010/SRR5788010_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/000/SRR5788010/SRR5788010_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR578/000/SRR5788010
PRJNA385854	SAMN07136538	SRX2974721	SRR5788011	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/001/SRR5788011/SRR5788011_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/001/SRR5788011/SRR5788011_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR578/001/SRR5788011
PRJNA385854	SAMN07136537	SRX2974720	SRR5788012	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/002/SRR5788012/SRR5788012_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/002/SRR5788012/SRR5788012_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR578/002/SRR5788012
PRJNA385854	SAMN07136542	SRX2974719	SRR5788013	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/003/SRR5788013/SRR5788013_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/003/SRR5788013/SRR5788013_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR578/003/SRR5788013
PRJNA385854	SAMN07136541	SRX2974718	SRR5788014	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/004/SRR5788014/SRR5788014_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/004/SRR5788014/SRR5788014_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR578/004/SRR5788014
PRJNA385854	SAMN07136662	SRX2974717	SRR5788015	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/005/SRR5788015/SRR5788015_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/005/SRR5788015/SRR5788015_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR578/005/SRR5788015
PRJNA385854	SAMN07136661	SRX2974716	SRR5788016	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/006/SRR5788016/SRR5788016_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR578/006/SRR5788016/SRR5788016_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR578/006/SRR5788016
