Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,bottle_id,Bytes,Center Name,Collection_date,Consent,cruise_id,cruise_station,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_biome,env_feature,env_material,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,geotraces_section,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,Depth,Isolation_source,Biller_et_al.,_2018_metagenome_NCBI_BioProject,Biller_et_al.,_2018_metagenome_NCBI_BioSample,Biller_et_al.,_2018_metagenome_NCBI_SRA_Accession,Biller_et_al.,_2018_metagenome_NCBI_SRA_Study,Biller_et_al.,_2018_metagenome_Sample_Name,Biller_et_al.,_2018_metagenome_Total_read_pairs,Cruise_series,Depth_(m),sequencing_location,sequencing_read_depth,Sequencing_Technology
SRR5787996,WGS,300,8056990200,PRJNA385854,SAMN07136767,"MIMS.me,MIGS/MIMS/MIMARKS.water",SS2011Station1Cast2Niskin4,3405817308,MIT,2011-05-14,public,SS2011,1,"fastq,sra","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",ocean_biome,ocean,water,SRX2974736,uncalculated,uncalculated,Pacific Ocean,GP13,NextSeq 550,29.998 S 153.5 E,S0300,PAIRED,RANDOM,METAGENOMIC,marine metagenome,ILLUMINA,2018-05-01T00:00:00Z,S0300,SRP110813,50m,,,,,,,,,,,,
SRR5787998,WGS,300,7275898500,PRJNA385854,SAMN07136769,"MIMS.me,MIGS/MIMS/MIMARKS.water",SS2011Station2Cast3Niskin13,2965592263,MIT,2011-05-14,public,SS2011,2,"sra,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",ocean_biome,ocean,water,SRX2974734,uncalculated,uncalculated,Pacific Ocean,GP13,NextSeq 550,30 S 154.003 E,S0302,PAIRED,RANDOM,METAGENOMIC,marine metagenome,ILLUMINA,2018-05-01T00:00:00Z,S0302,SRP110813,30m,,,,,,,,,,,,
SRR5787999,WGS,300,7215871200,PRJNA385854,SAMN07136764,"MIMS.me,MIGS/MIMS/MIMARKS.water",632258,3036769358,MIT,2010-05-22,public,PE319,18,"sra,fastq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",ocean_biome,ocean,water,SRX2974733,uncalculated,uncalculated,Atlantic Ocean,GA02,NextSeq 550,33.4334 N 58.0503 W,S0297,PAIRED,RANDOM,METAGENOMIC,marine metagenome,ILLUMINA,2018-05-01T00:00:00Z,S0297,SRP110813,151m,,,,,,,,,,,,
SRR5788000,WGS,300,5946390000,PRJNA385854,SAMN07136763,"MIMS.me,MIGS/MIMS/MIMARKS.water",632264,2511080770,MIT,2010-05-22,public,PE319,18,"sra,fastq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",ocean_biome,ocean,water,SRX2974732,uncalculated,uncalculated,Atlantic Ocean,GA02,NextSeq 550,33.4334 N 58.0503 W,S0296,PAIRED,RANDOM,METAGENOMIC,marine metagenome,ILLUMINA,2018-05-01T00:00:00Z,S0296,SRP110813,76m,,,,,,,,,,,,
SRR5788003,WGS,300,6709548600,PRJNA385854,SAMN07136772,"MIMS.me,MIGS/MIMS/MIMARKS.water",SS2011Station2Cast3Niskin8,2735403149,MIT,2011-05-14,public,SS2011,2,"fastq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",ocean_biome,ocean,water,SRX2974729,uncalculated,uncalculated,Pacific Ocean,GP13,NextSeq 550,30 S 154.003 E,S0305,PAIRED,RANDOM,METAGENOMIC,marine metagenome,ILLUMINA,2018-05-01T00:00:00Z,S0305,SRP110813,100m,,,,,,,,,,,,
SRR5788008,WGS,300,8619717000,PRJNA385854,SAMN07136533,"MIMS.me,MIGS/MIMS/MIMARKS.water",844619,4233331891,MIT,2011-11-16,public,KN204,8,"fastq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",ocean_biome,ocean,water,SRX2974724,uncalculated,uncalculated,Atlantic Ocean,GA03,NextSeq 550,35.41617 N 66.54077 W,S0054,PAIRED,RANDOM,METAGENOMIC,marine metagenome,ILLUMINA,2018-05-01T00:00:00Z,S0054,SRP110813,237.3m,,,,,,,,,,,,
SRR5788009,WGS,300,9363069900,PRJNA385854,SAMN07136540,"MIMS.me,MIGS/MIMS/MIMARKS.water",846104,4641106990,MIT,2011-12-01,public,KN204,18,"sra,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",ocean_biome,ocean,water,SRX2974723,uncalculated,uncalculated,Atlantic Ocean,GA03,NextSeq 550,24.1497 N 40.21786 W,S0062,PAIRED,RANDOM,METAGENOMIC,marine metagenome,ILLUMINA,2018-05-01T00:00:00Z,S0062,SRP110813,233m,,,,,,,,,,,,
SRR5788011,WGS,300,10363296000,PRJNA385854,SAMN07136538,"MIMS.me,MIGS/MIMS/MIMARKS.water",846095,5112609100,MIT,2011-12-01,public,KN204,18,"sra,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",ocean_biome,ocean,water,SRX2974721,uncalculated,uncalculated,Atlantic Ocean,GA03,NextSeq 550,24.1497 N 40.21786 W,S0060,PAIRED,RANDOM,METAGENOMIC,marine metagenome,ILLUMINA,2018-05-01T00:00:00Z,S0060,SRP110813,113.9m,,,,,,,,,,,,
SRR5788012,WGS,300,14857421100,PRJNA385854,SAMN07136537,"MIMS.me,MIGS/MIMS/MIMARKS.water",846092,7346672414,MIT,2011-12-01,public,KN204,18,"sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",ocean_biome,ocean,water,SRX2974720,uncalculated,uncalculated,Atlantic Ocean,GA03,NextSeq 550,24.1497 N 40.21786 W,S0059,PAIRED,RANDOM,METAGENOMIC,marine metagenome,ILLUMINA,2018-05-01T00:00:00Z,S0059,SRP110813,75.1m,,,,,,,,,,,,
SRR5788014,WGS,300,8315693700,PRJNA385854,SAMN07136541,"MIMS.me,MIGS/MIMS/MIMARKS.water",846107,4099359391,MIT,2011-12-01,public,KN204,18,"sra,fastq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",ocean_biome,ocean,water,SRX2974718,uncalculated,uncalculated,Atlantic Ocean,GA03,NextSeq 550,24.1497 N 40.21786 W,S0063,PAIRED,RANDOM,METAGENOMIC,marine metagenome,ILLUMINA,2018-05-01T00:00:00Z,S0063,SRP110813,283.9m,,,,,,,,,,,,
