Assembly	TARA_ANW_RAW
# misassemblies	0
  # contig misassemblies	0
    # c. relocations	0
    # c. translocations	0
    # c. inversions	0
  # scaffold misassemblies	0
    # s. relocations	0
    # s. translocations	0
    # s. inversions	0
# misassembled contigs	0
Misassembled contigs length	0
# possibly misassembled contigs	52
    # possible misassemblies	59
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	1
# mismatches	133
# indels	1
    # indels (<= 5 bp)	1
    # indels (> 5 bp)	0
Indels length	2
