sequence,pcaG,pcaH,PETase,tphA2,tphA3,tphB
ASV000254,3,3,0,1,0,0
ASV000255,0,0,0,0,0,0
ASV000256,2,2,0,0,0,0
ASV000257,0,0,0,0,0,0
ASV000258,0,0,0,0,0,0
ASV000259,2,2,0,1,0,0
ASV000260,0,0,0,0,0,0
ASV000261,1,1,0,1,0,0
ASV000262,0,0,0,0,0,0
ASV000263,0,0,0,0,0,0
ASV000264,0,0,0,0,0,0
ASV000265,0,0,0,0,0,0
ASV000266,0,0,0,0,0,0
ASV000267,4,4,0,2,0,0
ASV000268,0,0,0,0,0,0
ASV000269,0,0,0,0,0,0
ASV000270,0,0,0,0,0,0
ASV000271,0,0,0,0,0,0
ASV000272,0,0,2,0,0,0
ASV000273,0,0,0,0,0,0
ASV000274,0,0,0,0,0,0
ASV000275,0,1,0,0,0,0
ASV000276,0,0,0,0,0,0
ASV000277,0,0,0,0,0,0
ASV000278,0,0,0,0,0,0
ASV000279,0,0,0,2,0,0
ASV000280,0,0,0,0,0,0
ASV000281,0,0,0,0,0,1
ASV000282,0,0,0,0,0,0
ASV000283,0,0,0,0,0,2
ASV000284,0,0,0,0,0,0
ASV000285,0,0,0,1,0,0
ASV000286,0,0,0,0,0,0
ASV000287,2,2,0,1,0,0
ASV000288,0,0,0,0,0,0
ASV000289,0,0,0,1,0,0
ASV000290,0,0,0,0,0,0
ASV000291,0,0,0,0,0,0
ASV000292,0,1,0,0,0,0
ASV000293,0,0,0,0,0,0
ASV000294,0,0,0,0,0,0
ASV000295,0,0,0,0,0,0
ASV000296,0,0,0,0,0,0
ASV000297,0,0,0,0,0,0
ASV000298,0,0,0,0,0,0
ASV000299,0,0,0,0,0,0
ASV000300,0,0,0,0,0,0
ASV000301,0,0,0,0,0,0
ASV000302,0,0,0,0,0,0
ASV000303,0,0,0,0,0,0
ASV000304,0,0,0,0,0,0
ASV000305,2,2,0,0,0,0
ASV000306,0,0,0,0,0,0
ASV000307,0,0,0,0,0,0
ASV000308,0,0,0,0,0,0
ASV000309,0,0,0,0,0,0
ASV000310,1,1,0,1,0,0
ASV000311,0,0,0,0,0,0
ASV000312,1,1,0,1,0,0
ASV000313,0,0,0,0,0,0
ASV000314,2,2,0,7,1,7
ASV000315,0,0,0,0,0,0
ASV000316,4,3,0,4,0,1
ASV000317,0,0,0,0,0,0
ASV000318,0,0,0,0,0,0
ASV000319,0,0,0,0,0,0
ASV000320,0,0,0,0,0,0
ASV000321,0,0,0,0,0,0
ASV000322,0,0,0,0,0,0
ASV000323,0,0,0,0,0,0
ASV000324,4,4,0,9,0,8
ASV000325,0,0,0,0,0,0
ASV000326,0,0,0,1,0,0
ASV000327,0,0,0,0,0,0
ASV000328,0,0,0,0,0,0
ASV000329,0,0,0,0,0,0
ASV000330,0,0,0,0,0,0
ASV000331,0,0,0,0,0,0
ASV000332,0,0,0,0,0,0
ASV000333,0,0,0,0,0,1
ASV000334,1,2,0,0,0,1
ASV000335,0,0,0,0,0,0
ASV000336,0,0,0,0,0,0
ASV000337,0,0,0,0,0,0
ASV000338,0,0,0,0,0,0
ASV000339,1,1,0,1,0,0
ASV000340,0,0,0,0,0,0
ASV000341,0,0,0,0,0,0
ASV000342,0,0,0,1,0,0
ASV000343,2,2,0,1,0,0
ASV000344,0,0,0,0,0,0
ASV000345,0,0,0,0,0,0
ASV000346,0,0,0,4,0,5
ASV000347,0,0,0,0,0,0
ASV000348,0,1,0,0,0,1
ASV000349,0,0,0,0,0,0
ASV000350,0,0,0,5,0,0
ASV000351,0,0,0,0,0,0
ASV000352,0,0,0,0,0,0
ASV000353,0,0,0,0,0,0
ASV000354,0,0,0,0,0,0
ASV000355,0,0,0,0,0,0
ASV000356,0,0,0,0,0,2
ASV000357,0,0,0,0,0,1
ASV000358,0,0,0,0,0,0
ASV000359,0,0,0,0,0,0
ASV000360,0,0,0,0,0,0
ASV000361,0,0,0,0,0,0
ASV000362,0,0,0,0,0,0
ASV000363,0,0,0,0,0,0
ASV000364,0,0,0,0,0,1
ASV000365,0,0,0,0,0,0
ASV000366,0,0,0,0,0,0
ASV000367,3,3,0,1,0,0
ASV000368,0,0,0,1,0,0
ASV000369,0,0,0,0,0,0
ASV000370,0,0,0,0,0,0
ASV000371,0,0,0,0,0,0
ASV000372,0,0,0,0,0,0
ASV000373,0,0,0,3,0,0
ASV000374,0,1,0,0,0,2
ASV000375,0,0,0,0,0,0
ASV000376,0,0,0,1,0,0
ASV000377,0,0,0,0,0,0
ASV000378,0,0,0,0,0,0
ASV000379,0,1,0,1,0,0
ASV000380,0,0,0,0,0,0
ASV000381,0,0,0,0,0,0
ASV000382,0,0,0,0,0,0
ASV000383,0,0,0,0,0,0
ASV000384,0,0,0,0,0,0
ASV000385,0,0,0,0,0,0
ASV000386,0,0,0,0,0,0
ASV000387,0,0,0,0,0,0
ASV000388,0,0,0,0,0,0
ASV000389,0,0,0,0,0,0
ASV000390,0,0,0,0,0,0
ASV000391,0,0,0,0,0,0
ASV000392,0,0,0,0,0,0
ASV000393,0,0,0,0,0,0
ASV000394,0,0,0,0,0,0
ASV000395,0,0,0,0,0,0
ASV000396,0,0,0,0,0,0
ASV000397,0,0,0,0,0,0
ASV000398,0,0,0,0,0,1
ASV000399,0,0,0,0,0,0
ASV000400,0,0,0,0,0,1
ASV000401,0,0,0,0,0,0
ASV000402,3,3,0,1,0,0
ASV000403,0,0,0,0,0,0
ASV000404,0,0,0,0,0,0
ASV000405,0,0,0,0,0,0
ASV000406,2,2,0,1,0,0
ASV000407,0,0,0,0,0,0
ASV000408,0,0,0,0,0,0
ASV000409,0,0,0,0,0,0
ASV000410,0,0,0,0,0,0
ASV000411,0,0,0,0,0,0
ASV000412,0,0,0,0,0,0
ASV000413,1,1,0,0,0,0
ASV000414,0,0,0,0,0,0
ASV000415,0,0,0,0,0,0
ASV000416,0,0,0,0,0,0
ASV000417,0,0,0,0,0,0
ASV000418,0,0,0,1,0,0
ASV000419,0,0,0,0,0,0
ASV000420,0,0,0,0,0,0
ASV000421,0,0,0,0,0,0
ASV000422,0,0,0,0,0,0
ASV000423,0,0,0,0,0,0
ASV000424,0,0,0,0,0,0
ASV000425,2,1,0,0,0,0
ASV000426,0,0,0,0,0,0
ASV000427,1,1,0,0,0,0
ASV000428,0,0,0,3,0,0
ASV000429,0,0,0,0,0,0
ASV000430,0,0,0,1,0,0
ASV000431,0,0,0,0,0,0
ASV000432,0,0,0,0,0,0
ASV000433,2,1,0,1,0,0
ASV000434,3,2,0,3,0,10
ASV000435,0,0,0,0,0,0
ASV000436,0,1,0,1,0,0
ASV000437,0,0,0,0,0,0
ASV000438,0,0,0,0,0,0
ASV000439,0,1,0,0,0,1
ASV000440,0,0,0,0,0,0
ASV000441,0,0,0,0,0,0
ASV000442,0,0,0,0,0,0
ASV000443,0,0,0,0,0,0
ASV000444,0,0,0,0,0,0
ASV000445,0,0,0,0,0,0
ASV000446,0,0,0,0,0,0
ASV000447,0,0,0,2,0,0
ASV000448,0,0,0,0,0,0
ASV000449,2,1,0,1,0,0
ASV000450,0,0,0,0,0,0
ASV000451,0,0,0,0,0,0
ASV000452,0,0,0,0,0,0
ASV000453,0,0,0,0,0,0
ASV000454,0,0,0,0,0,0
ASV000455,0,0,0,0,0,0
ASV000456,2,1,0,1,0,0
ASV000457,0,0,0,0,0,0
ASV000458,0,0,0,0,0,0
ASV000459,0,0,0,0,0,0
ASV000460,0,1,0,1,0,0
ASV000461,0,0,0,0,0,2
ASV000462,3,2,0,3,0,10
ASV000463,0,0,0,1,0,1
ASV000464,0,0,0,0,0,0
ASV000465,0,0,0,0,0,0
ASV000466,0,0,0,0,0,0
ASV000467,2,2,0,1,0,0
ASV000468,0,0,0,0,0,0
ASV000469,1,1,0,1,0,0
ASV000470,0,0,0,0,0,0
ASV000471,0,0,0,0,0,0
