sequence,pcaG,pcaH,PETase,tphA2,tphA3,tphB
ASV003481,0,0,0,0,0,0
ASV003482,0,0,0,0,0,0
ASV003483,0,0,0,0,0,0
ASV003484,3,3,0,1,0,0
ASV003485,2,1,0,1,0,0
ASV003486,0,0,0,0,0,0
ASV003487,0,0,0,0,0,0
ASV003488,0,0,0,0,0,0
ASV003489,1,1,0,1,0,0
ASV003490,1,1,0,3,0,7
ASV003491,0,0,0,0,0,0
ASV003492,2,2,0,0,0,0
ASV003493,0,0,0,2,0,6
ASV003494,0,0,0,0,0,0
ASV003495,0,0,0,0,0,0
ASV003496,0,0,0,0,0,0
ASV003497,0,0,0,0,0,0
ASV003498,0,0,0,0,0,0
ASV003499,0,0,0,0,0,0
ASV003500,0,0,0,0,0,0
ASV003501,0,0,0,0,0,0
ASV003502,0,0,0,0,0,0
ASV003503,0,0,0,0,0,0
ASV003504,0,0,0,0,0,0
ASV003505,0,0,0,3,0,0
ASV003506,0,0,0,0,0,0
ASV003507,3,3,0,1,0,0
ASV003508,0,0,0,0,0,0
ASV003509,1,1,0,0,0,0
ASV003510,0,0,0,0,0,0
ASV003511,0,0,2,0,0,0
ASV003512,0,0,0,0,0,0
ASV003513,2,1,0,1,0,1
ASV003514,0,0,0,0,0,1
ASV003515,0,0,0,0,0,0
ASV003516,0,0,0,0,0,0
ASV003517,0,0,0,0,0,0
ASV003518,0,0,0,0,0,0
ASV003519,0,0,0,0,0,0
ASV003520,0,0,0,9,0,0
ASV003521,0,0,0,0,0,0
ASV003522,0,0,0,0,0,0
ASV003523,0,0,0,0,0,0
ASV003524,0,0,0,0,0,0
ASV003525,0,0,0,0,0,1
ASV003526,2,2,0,7,1,7
ASV003527,1,1,0,1,0,0
ASV003528,0,0,0,0,0,0
ASV003529,0,0,0,0,0,0
ASV003530,0,0,0,0,0,0
ASV003531,0,0,0,0,0,0
ASV003532,0,0,0,0,0,0
ASV003533,0,0,0,0,0,0
ASV003534,0,0,0,0,0,0
ASV003535,0,0,0,0,0,0
ASV003536,0,0,0,0,0,0
ASV003537,0,0,0,0,0,0
ASV003538,0,0,0,0,0,0
ASV003539,0,0,0,0,0,0
ASV003540,0,0,0,0,0,0
ASV003541,0,1,0,2,1,0
ASV003542,1,1,0,1,0,0
ASV003543,0,0,0,0,0,0
ASV003544,0,0,0,0,0,0
ASV003545,0,0,0,0,0,0
ASV003546,0,0,0,0,0,1
ASV003547,0,0,0,0,0,0
ASV003548,0,0,0,0,0,0
ASV003549,0,0,0,0,0,0
ASV003550,0,0,0,0,0,0
ASV003551,0,0,0,0,0,0
ASV003552,0,0,0,2,0,0
ASV003553,0,0,0,0,0,0
ASV003554,1,1,0,1,0,0
ASV003555,0,0,0,0,0,0
ASV003556,0,0,0,0,0,0
ASV003557,2,1,0,0,0,0
ASV003558,0,0,0,0,0,0
ASV003559,0,1,0,0,0,0
ASV003560,0,0,0,0,0,0
ASV003561,1,1,0,0,0,0
ASV003562,0,0,0,0,0,0
ASV003563,0,0,0,0,0,0
ASV003564,0,1,0,0,0,0
ASV003565,0,0,0,0,0,0
ASV003566,0,0,0,0,0,0
ASV003567,0,0,0,0,0,0
ASV003568,0,0,0,0,0,0
ASV003569,1,1,0,0,0,0
ASV003570,0,0,0,0,0,0
ASV003571,0,0,0,0,0,0
ASV003572,1,0,0,1,0,0
ASV003573,2,2,0,1,0,0
ASV003574,0,0,0,0,0,0
ASV003575,0,0,0,0,0,0
ASV003576,0,0,0,1,0,0
ASV003577,0,0,0,1,0,0
ASV003578,0,0,0,0,0,0
ASV003579,0,0,0,0,0,0
ASV003580,0,0,0,0,0,0
ASV003581,0,0,0,2,0,0
ASV003582,0,0,0,0,0,0
ASV003583,0,0,0,0,0,0
ASV003584,0,0,0,0,0,0
ASV003585,0,0,0,0,0,0
ASV003586,0,0,0,0,0,0
ASV003587,0,0,0,0,0,0
ASV003588,0,0,0,0,0,0
ASV003589,0,0,0,0,0,0
ASV003590,0,0,0,0,0,0
ASV003591,0,0,0,0,0,0
ASV003592,0,0,0,0,0,0
ASV003593,0,0,0,0,0,0
ASV003594,0,0,0,0,0,0
ASV003595,0,0,0,0,0,0
ASV003596,0,0,0,0,0,0
ASV003597,0,0,0,0,0,0
ASV003598,0,0,0,0,0,0
ASV003599,0,0,0,0,0,0
ASV003600,0,0,0,1,0,0
ASV003601,0,0,0,0,0,0
ASV003602,0,0,0,0,0,0
ASV003603,0,0,0,0,0,0
ASV003604,0,0,0,0,0,0
ASV003605,0,0,0,0,0,0
ASV003606,0,0,0,0,0,0
ASV003607,0,0,0,0,0,0
ASV003608,0,0,0,0,0,0
ASV003609,2,1,0,1,0,0
ASV003610,0,0,0,0,0,0
ASV003611,0,0,0,0,0,0
ASV003612,0,0,0,0,0,0
ASV003613,0,0,0,0,0,0
ASV003614,0,0,0,1,0,1
ASV003615,0,0,0,0,0,0
ASV003616,0,0,0,0,0,0
ASV003617,0,0,0,1,0,0
ASV003618,0,0,0,0,0,0
ASV003619,2,2,0,0,0,1
ASV003620,0,0,0,0,0,0
ASV003621,0,0,0,0,0,0
ASV003622,0,0,0,0,0,0
ASV003623,0,0,0,0,0,0
ASV003624,0,0,0,0,0,0
ASV003625,0,0,0,0,0,0
ASV003626,0,0,0,0,0,0
ASV003627,0,0,0,0,0,1
ASV003628,0,0,0,0,0,0
ASV003629,0,0,0,0,0,0
ASV003630,0,0,0,0,0,0
ASV003631,0,0,0,0,0,0
ASV003632,3,3,0,1,0,0
ASV003633,0,0,0,0,0,0
ASV003634,0,0,0,0,0,0
ASV003635,1,0,0,2,0,0
ASV003636,0,0,0,0,0,0
ASV003637,0,0,0,0,0,0
ASV003638,0,0,0,0,0,0
ASV003639,0,0,0,0,0,0
ASV003640,0,0,0,0,0,0
ASV003641,0,0,0,0,0,0
ASV003642,0,0,0,0,0,0
ASV003643,0,0,0,0,0,0
ASV003644,3,3,0,2,0,0
ASV003645,0,0,0,1,0,1
ASV003646,0,0,0,0,0,0
ASV003647,0,0,0,0,0,0
ASV003648,0,0,0,0,0,0
ASV003649,0,0,0,0,0,0
ASV003650,0,0,0,0,0,0
ASV003651,0,0,0,0,0,0
ASV003652,0,0,0,3,0,0
ASV003653,0,0,0,0,0,0
ASV003654,0,0,0,0,0,0
ASV003655,0,0,0,0,0,0
ASV003656,0,0,0,0,0,0
ASV003657,2,1,0,1,0,0
ASV003658,0,0,0,0,0,0
ASV003659,0,0,0,0,0,0
ASV003660,0,0,0,0,0,0
ASV003661,0,1,0,1,0,0
ASV003662,0,0,0,0,0,0
ASV003663,0,0,0,0,0,0
ASV003664,2,2,0,1,0,0
ASV003665,0,0,0,0,0,0
ASV003666,0,0,0,0,0,0
ASV003667,0,0,0,0,0,1
ASV003668,0,0,0,0,0,0
ASV003669,0,0,0,0,0,0
ASV003670,0,0,0,0,0,0
ASV003671,0,0,0,1,0,0
ASV003672,0,0,0,0,0,0
ASV003673,0,0,0,0,0,0
ASV003674,2,2,0,1,0,0
ASV003675,0,0,0,0,0,0
ASV003676,0,0,0,0,0,0
ASV003677,0,0,0,0,0,0
ASV003678,0,0,0,0,0,0
ASV003679,0,0,0,0,0,0
ASV003680,0,0,0,0,0,0
ASV003681,0,0,0,0,0,0
ASV003682,0,0,0,0,0,0
ASV003683,0,0,0,0,0,0
ASV003684,0,0,0,0,0,0
ASV003685,0,0,0,0,0,0
ASV003686,0,0,0,1,0,0
ASV003687,0,0,0,0,0,0
ASV003688,0,0,0,0,0,0
ASV003689,0,0,0,0,0,0
ASV003690,0,0,0,1,0,0
ASV003691,2,2,0,1,0,0
ASV003692,0,0,0,0,0,0
ASV003693,0,0,0,0,0,0
ASV003694,0,0,0,0,0,0
ASV003695,0,0,0,0,0,0
ASV003696,3,3,0,1,0,0
ASV003697,2,2,0,1,0,0
ASV003698,0,0,0,9,0,0
ASV003699,0,0,0,0,0,0
ASV003700,0,0,0,0,0,0
ASV003701,0,0,0,0,0,1
ASV003702,1,1,0,1,0,0
ASV003703,0,0,0,0,0,0
ASV003704,0,0,0,0,0,0
ASV003705,0,0,0,0,0,0
ASV003706,3,3,0,1,0,0
ASV003707,0,0,0,0,0,0
ASV003708,0,0,0,2,0,0
ASV003709,1,0,0,2,0,0
ASV003710,0,0,0,0,0,0
ASV003711,2,2,0,0,0,1
ASV003712,3,3,0,1,0,0
ASV003713,0,0,0,0,0,0
ASV003714,0,0,0,0,0,0
ASV003715,1,1,0,1,0,0
ASV003716,0,0,0,0,0,0
ASV003717,0,0,0,1,0,0
ASV003718,1,1,0,1,0,0
ASV003719,0,0,0,0,0,0
ASV003720,1,1,0,1,0,0
ASV003721,0,0,0,0,0,0
ASV003722,1,1,0,1,0,0
ASV003723,0,0,0,0,0,1
ASV003724,0,0,0,0,0,0
ASV003725,0,0,0,0,0,0
ASV003726,0,0,0,0,0,0
ASV003727,3,3,0,1,0,0
ASV003728,0,0,0,0,0,0
ASV003729,2,2,0,1,0,0
ASV003730,0,0,0,0,0,0
ASV003731,0,0,0,0,0,0
ASV003732,0,0,0,0,0,0
ASV003733,0,0,0,0,0,0
ASV003734,0,0,0,0,0,0
ASV003735,0,0,0,0,0,0
ASV003736,0,0,0,1,0,0
ASV003737,0,0,0,0,0,0
ASV003738,0,0,0,0,0,0
ASV003739,0,0,0,0,0,0
ASV003740,0,0,0,0,0,0
ASV003741,0,0,0,0,0,0
ASV003742,0,0,0,0,0,0
ASV003743,1,0,0,1,0,1
ASV003744,0,0,0,0,0,0
ASV003745,0,0,0,0,0,0
ASV003746,2,2,0,1,0,0
ASV003747,5,5,0,0,0,1
ASV003748,0,0,0,0,0,0
ASV003749,0,0,0,0,0,0
ASV003750,0,1,0,3,0,1
ASV003751,0,0,0,0,0,0
ASV003752,3,3,0,1,0,0
ASV003753,0,0,0,0,0,0
ASV003754,0,0,0,0,0,0
ASV003755,0,1,0,1,0,0
ASV003756,0,0,0,0,0,0
ASV003757,0,0,0,0,0,0
ASV003758,0,0,0,1,0,0
ASV003759,0,0,0,0,0,0
ASV003760,1,1,0,1,0,0
ASV003761,0,0,0,0,0,0
ASV003762,0,0,0,0,0,0
ASV003763,0,0,0,0,0,0
ASV003764,0,0,0,0,0,0
ASV003765,0,0,0,2,0,0
ASV003766,0,0,0,0,0,0
ASV003767,0,0,0,2,0,0
ASV003768,0,0,0,0,0,0
ASV003769,0,0,0,0,0,0
ASV003770,0,0,0,0,0,0
ASV003771,1,1,0,1,0,0
ASV003772,1,1,0,0,0,0
ASV003773,2,2,0,1,0,0
ASV003774,0,0,2,0,0,0
ASV003775,0,0,0,0,0,0
ASV003776,0,0,0,0,0,0
ASV003777,0,0,0,0,0,0
ASV003778,0,0,0,1,0,0
ASV003779,2,2,0,1,0,0
ASV003780,0,0,0,0,0,0
ASV003781,1,1,0,1,0,0
ASV003782,0,0,0,0,0,0
ASV003783,0,0,0,0,0,0
ASV003784,0,0,0,0,0,0
ASV003785,0,0,0,0,0,0
ASV003786,0,0,0,0,0,0
ASV003787,0,0,0,0,0,1
ASV003788,0,0,0,0,0,0
ASV003789,0,0,0,0,0,0
ASV003790,0,0,0,0,0,0
ASV003791,0,0,0,0,0,0
ASV003792,2,1,0,1,0,0
ASV003793,0,0,0,0,0,0
ASV003794,2,2,0,1,0,0
ASV003795,0,0,0,0,0,0
ASV003796,0,0,0,0,0,0
ASV003797,0,0,0,0,0,0
ASV003798,0,0,0,0,0,0
ASV003799,0,0,0,2,0,0
ASV003800,0,0,0,0,0,0
ASV003801,0,0,0,1,0,0
ASV003802,0,0,0,0,0,0
ASV003803,0,0,0,1,0,0
ASV003804,2,2,0,2,0,0
ASV003805,0,0,0,0,0,0
ASV003806,0,0,0,0,0,0
ASV003807,0,0,0,0,0,0
ASV003808,0,0,0,0,0,0
ASV003809,0,0,0,0,0,0
ASV003810,0,0,0,0,0,0
ASV003811,1,1,0,1,0,0
ASV003812,0,0,0,0,0,0
ASV003813,0,0,0,0,0,0
ASV003814,0,0,0,0,0,0
ASV003815,0,0,0,0,0,0
ASV003816,0,0,0,0,0,0
ASV003817,1,1,0,3,1,0
ASV003818,3,3,0,1,0,0
ASV003819,1,1,0,1,0,0
ASV003820,0,0,0,0,0,0
ASV003821,0,0,0,0,0,0
ASV003822,0,0,0,0,0,0
ASV003823,0,0,0,0,0,0
ASV003824,0,0,0,0,0,0
ASV003825,0,0,0,0,0,0
ASV003826,0,0,0,0,0,0
ASV003827,0,0,0,0,0,0
ASV003828,0,0,0,1,0,0
ASV003829,0,0,0,2,0,0
ASV003830,0,0,0,0,0,0
ASV003831,0,0,0,0,0,0
ASV003832,0,0,0,0,0,0
ASV003833,0,0,0,0,0,0
ASV003834,0,0,0,0,0,0
ASV003835,0,0,0,0,0,0
ASV003836,0,0,0,0,0,0
ASV003837,0,0,0,0,0,0
ASV003838,0,0,0,0,0,0
ASV003839,0,0,0,0,0,0
ASV003840,0,0,0,0,0,0
ASV003841,0,0,0,0,0,0
ASV003842,0,0,0,0,0,0
ASV003843,0,0,0,0,0,0
ASV003844,0,0,0,1,0,1
ASV003845,0,0,0,0,0,0
ASV003846,0,0,0,0,0,0
ASV003847,0,0,0,0,0,0
ASV003848,0,0,0,0,0,0
ASV003849,3,3,0,2,0,0
ASV003850,0,0,0,3,0,0
ASV003851,0,0,0,0,0,0
ASV003852,3,3,0,1,0,0
ASV003853,0,0,0,0,0,0
ASV003854,0,0,0,0,0,0
ASV003855,0,0,0,0,0,0
ASV003856,2,1,0,1,0,0
ASV003857,0,0,0,0,0,0
ASV003858,0,0,0,0,0,0
ASV003859,0,0,0,0,0,0
ASV003860,0,0,0,0,0,0
ASV003861,0,0,0,0,0,0
ASV003862,0,0,0,0,0,0
ASV003863,0,0,0,0,0,0
ASV003864,0,0,0,0,0,0
ASV003865,0,0,0,0,0,0
ASV003866,0,0,0,2,0,0
ASV003867,0,0,0,0,0,0
ASV003868,2,2,1,0,0,0
ASV003869,0,0,0,0,0,0
ASV003870,0,0,0,0,0,0
ASV003871,0,0,0,0,0,0
ASV003872,0,0,0,0,0,0
ASV003873,0,0,0,0,0,0
ASV003874,0,0,0,0,0,0
ASV003875,0,0,0,0,0,0
ASV003876,0,0,0,0,0,0
ASV003877,0,0,0,0,0,0
ASV003878,0,0,0,0,0,0
ASV003879,0,0,0,0,0,0
ASV003880,0,0,0,0,0,0
ASV003881,0,0,0,0,0,0
ASV003882,0,0,0,0,0,0
ASV003883,0,0,0,0,0,0
ASV003884,0,0,0,0,0,0
ASV003885,0,0,0,0,0,0
ASV003886,0,0,0,0,0,0
ASV003887,0,0,0,0,0,0
ASV003888,0,0,0,0,0,0
ASV003889,0,1,0,0,0,0
ASV003890,5,5,0,0,0,1
ASV003891,0,0,0,0,0,0
ASV003892,0,0,0,1,0,0
ASV003893,0,0,0,0,0,0
ASV003894,2,2,0,0,0,0
ASV003895,0,0,0,1,0,0
ASV003896,2,2,0,1,0,0
ASV003897,3,3,0,2,0,0
ASV003898,0,0,0,0,0,0
ASV003899,0,0,0,2,0,0
ASV003900,0,0,0,0,0,0
ASV003901,0,0,0,0,0,0
ASV003902,0,0,0,1,0,0
ASV003903,0,0,0,0,0,0
ASV003904,0,0,0,1,0,0
ASV003905,0,0,0,3,0,0
ASV003906,0,1,0,1,0,0
ASV003907,0,1,0,1,0,1
ASV003908,2,2,0,1,0,0
ASV003909,0,0,0,0,0,0
ASV003910,0,0,0,0,0,0
ASV003911,0,0,0,0,0,0
ASV003912,0,0,0,0,0,0
ASV003913,2,2,0,0,0,0
ASV003914,0,0,0,0,0,0
ASV003915,1,1,0,1,0,0
ASV003916,4,4,0,0,0,0
ASV003917,0,0,0,0,0,0
ASV003918,0,0,0,0,0,0
ASV003919,0,0,0,2,0,3
ASV003920,0,0,0,0,0,0
ASV003921,0,0,0,0,0,0
ASV003922,0,0,0,0,0,0
ASV003923,0,0,0,0,0,0
ASV003924,3,3,0,1,0,0
ASV003925,0,0,0,0,0,0
ASV003926,0,0,0,0,0,0
ASV003927,0,0,0,0,0,0
ASV003928,0,0,0,0,0,0
ASV003929,0,0,0,0,0,0
ASV003930,2,1,0,1,0,0
ASV003931,0,0,0,0,0,0
ASV003932,0,0,0,0,0,0
ASV003933,0,0,0,0,0,0
ASV003934,0,0,0,0,0,0
ASV003935,0,0,0,0,0,0
ASV003936,0,0,0,0,0,0
ASV003937,1,1,0,1,0,0
ASV003938,0,0,0,0,0,0
ASV003939,0,0,0,0,0,0
ASV003940,2,2,0,1,0,0
ASV003941,0,0,0,0,0,0
ASV003942,0,0,0,0,0,0
ASV003943,0,0,0,0,0,0
ASV003944,0,0,0,0,0,0
ASV003945,0,0,0,0,0,0
ASV003946,0,0,0,0,0,0
ASV003947,0,0,0,0,0,0
ASV003948,0,0,0,0,0,0
ASV003949,0,0,0,0,0,0
ASV003950,0,0,0,1,0,0
ASV003951,2,2,1,1,0,0
ASV003952,0,0,0,0,0,0
ASV003953,0,0,0,0,0,0
ASV003954,0,0,0,0,0,0
ASV003955,0,0,0,0,0,0
ASV003956,0,0,0,0,0,0
ASV003957,0,0,0,0,0,0
ASV003958,0,0,0,0,0,0
ASV003959,2,2,0,1,0,0
ASV003960,1,1,0,0,0,0
ASV003961,0,0,0,0,0,0
ASV003962,2,2,0,0,0,0
ASV003963,0,0,0,0,0,0
ASV003964,0,0,0,0,0,0
ASV003965,0,0,0,0,0,0
ASV003966,1,1,0,1,0,0
ASV003967,0,0,0,0,0,0
ASV003968,0,0,0,0,0,0
ASV003969,0,0,0,0,0,0
ASV003970,0,0,0,0,0,0
ASV003971,0,0,0,0,0,0
ASV003972,0,0,0,0,0,0
ASV003973,0,0,0,0,0,0
ASV003974,0,0,0,0,0,0
ASV003975,0,0,0,0,0,0
ASV003976,0,1,0,1,0,0
ASV003977,0,0,0,0,0,0
ASV003978,0,0,0,0,0,1
ASV003979,2,2,0,2,0,0
ASV003980,0,0,0,0,0,0
ASV003981,0,1,0,0,0,0
ASV003982,0,0,0,0,0,0
ASV003983,0,0,0,0,0,0
ASV003984,0,0,0,0,0,0
ASV003985,0,0,0,0,0,0
ASV003986,0,0,0,0,0,0
ASV003987,4,3,0,4,0,1
ASV003988,2,2,0,1,0,0
ASV003989,0,0,0,0,0,0
ASV003990,0,0,0,0,0,0
ASV003991,0,0,0,0,0,0
ASV003992,0,0,0,0,0,0
ASV003993,0,0,0,0,0,0
ASV003994,0,0,0,0,0,0
ASV003995,2,2,0,1,0,0
ASV003996,0,0,0,0,0,0
ASV003997,0,0,0,0,0,0
ASV003998,0,0,0,1,0,0
ASV003999,0,0,0,0,0,0
ASV004000,3,3,0,1,0,0
ASV004001,3,3,0,1,0,0
ASV004002,0,0,0,0,0,0
ASV004003,0,0,0,0,0,0
ASV004004,0,0,0,1,0,0
ASV004005,1,1,0,0,0,0
ASV004006,0,0,0,0,0,0
ASV004007,0,0,0,0,0,0
ASV004008,2,2,0,1,0,0
ASV004009,0,0,0,0,0,0
ASV004010,0,0,0,0,0,0
ASV004011,0,0,0,0,0,0
ASV004012,0,0,0,0,0,0
ASV004013,0,0,0,0,0,0
ASV004014,0,0,0,0,0,0
ASV004015,0,0,0,0,0,0
ASV004016,0,0,0,0,0,0
ASV004017,0,0,0,0,0,0
ASV004018,0,0,0,0,0,0
ASV004019,0,0,0,0,0,0
ASV004020,1,1,0,1,0,0
ASV004021,0,0,0,0,0,0
ASV004022,0,0,0,0,0,0
ASV004023,0,0,0,1,0,0
ASV004024,0,0,0,0,0,0
ASV004025,0,0,0,0,0,0
ASV004026,2,2,0,1,0,0
ASV004027,0,0,0,0,0,0
ASV004028,2,2,0,1,0,0
ASV004029,0,0,0,0,0,0
ASV004030,2,2,1,1,0,0
ASV004031,0,0,0,5,0,0
ASV004032,0,0,0,1,0,0
ASV004033,0,0,0,0,0,0
ASV004034,0,0,0,0,0,0
ASV004035,0,0,0,0,0,0
ASV004036,0,0,0,0,0,0
ASV004037,0,0,0,0,0,0
ASV004038,0,0,0,0,0,0
ASV004039,0,0,0,0,0,0
ASV004040,0,0,0,0,0,0
ASV004041,0,0,0,11,0,1
ASV004042,0,0,0,0,0,0
ASV004043,0,0,0,1,0,0
ASV004044,0,0,0,0,0,0
ASV004045,0,0,0,0,0,0
ASV004046,0,0,0,0,0,0
ASV004047,0,0,0,0,0,0
ASV004048,0,0,0,0,0,0
ASV004049,0,0,0,0,0,0
ASV004050,0,1,0,1,0,1
ASV004051,2,2,0,1,0,0
ASV004052,0,0,0,0,0,0
ASV004053,0,0,0,0,0,0
ASV004054,0,0,0,0,0,0
ASV004055,1,1,0,0,0,0
ASV004056,0,0,0,0,0,0
ASV004057,0,0,0,0,0,0
ASV004058,2,2,0,2,0,0
ASV004059,0,0,0,0,0,0
ASV004060,0,0,0,0,0,0
ASV004061,0,0,0,0,0,0
ASV004062,2,2,0,1,0,0
ASV004063,0,0,0,0,0,0
ASV004064,0,0,0,0,0,0
ASV004065,0,0,0,0,0,0
ASV004066,0,0,0,1,0,0
ASV004067,0,0,0,0,0,1
ASV004068,0,0,0,0,0,0
ASV004069,0,0,0,2,0,0
ASV004070,0,0,0,0,0,0
ASV004071,0,0,0,0,0,0
ASV004072,0,1,0,1,0,0
ASV004073,2,2,0,1,0,0
ASV004074,0,0,0,0,0,0
ASV004075,0,0,0,0,0,0
ASV004076,2,2,0,1,0,0
ASV004077,2,2,0,1,0,0
ASV004078,0,0,0,0,0,0
ASV004079,0,0,0,0,0,0
ASV004080,0,0,0,0,0,0
ASV004081,0,0,0,0,0,0
ASV004082,0,0,0,0,0,0
ASV004083,0,0,0,0,0,1
ASV004084,0,0,0,0,0,0
ASV004085,0,0,0,0,0,0
ASV004086,0,1,0,1,0,0
ASV004087,0,0,0,0,0,0
ASV004088,0,0,0,0,0,0
ASV004089,0,0,0,3,0,0
ASV004090,0,0,0,0,0,0
ASV004091,0,0,0,0,0,0
ASV004092,0,0,0,0,0,0
ASV004093,0,0,0,0,0,0
ASV004094,0,0,0,0,0,0
ASV004095,0,0,0,0,0,0
ASV004096,0,0,0,0,0,0
ASV004097,0,0,0,0,0,0
ASV004098,0,0,0,0,0,0
ASV004099,0,0,0,0,0,0
ASV004100,0,0,0,0,0,0
ASV004101,0,0,0,0,0,0
ASV004102,0,0,0,0,0,0
ASV004103,0,0,0,0,0,0
ASV004104,0,0,0,0,0,0
ASV004105,0,0,0,0,0,0
ASV004106,2,2,1,1,0,0
ASV004107,0,0,0,0,0,0
ASV004108,0,0,0,0,0,0
ASV004109,0,0,0,0,0,0
ASV004110,3,3,0,1,0,0
ASV004111,0,0,0,0,0,0
ASV004112,0,0,0,0,0,0
ASV004113,0,0,0,0,0,0
ASV004114,2,2,0,0,0,0
ASV004115,0,0,0,0,0,0
ASV004116,0,0,0,0,0,0
ASV004117,0,0,0,0,0,0
ASV004118,0,0,0,0,0,0
ASV004119,0,0,0,0,0,0
ASV004120,0,0,0,0,0,0
ASV004121,0,0,0,0,0,0
ASV004122,0,0,0,0,0,0
ASV004123,1,0,0,2,0,0
ASV004124,1,1,0,1,0,0
ASV004125,0,0,0,0,0,0
ASV004126,0,0,0,0,0,0
ASV004127,0,0,0,0,0,0
ASV004128,0,0,0,0,0,0
ASV004129,0,0,0,0,0,0
ASV004130,0,0,0,0,0,0
ASV004131,0,0,0,0,0,0
ASV004132,0,0,0,0,0,0
ASV004133,0,0,0,0,0,0
ASV004134,0,0,0,0,0,0
ASV004135,0,0,0,0,0,0
ASV004136,0,0,0,0,0,0
ASV004137,0,0,0,0,0,0
ASV004138,0,0,0,0,0,0
ASV004139,0,0,0,0,0,0
ASV004140,0,0,0,0,0,0
ASV004141,0,0,0,0,0,0
ASV004142,0,0,0,0,0,0
ASV004143,0,0,0,0,0,0
ASV004144,0,0,0,0,0,0
ASV004145,0,0,0,0,0,0
ASV004146,2,1,0,1,0,0
ASV004147,0,0,0,0,0,0
ASV004148,0,0,0,0,0,0
ASV004149,0,0,0,0,0,0
ASV004150,0,0,0,2,0,0
ASV004151,0,0,0,0,0,0
ASV004152,0,0,0,0,0,0
ASV004153,0,0,0,0,0,0
ASV004154,3,3,0,1,0,0
ASV004155,0,1,0,2,1,0
ASV004156,0,0,0,0,0,0
ASV004157,0,0,0,0,0,0
ASV004158,0,0,0,0,0,0
ASV004159,0,0,0,0,0,0
ASV004160,0,0,0,0,0,0
ASV004161,0,0,0,0,0,0
ASV004162,0,0,0,0,0,0
ASV004163,2,2,0,0,0,0
ASV004164,0,0,0,0,0,0
ASV004165,0,0,0,0,0,0
ASV004166,0,0,0,0,0,0
ASV004167,0,0,0,0,0,1
ASV004168,0,0,0,2,0,0
ASV004169,0,0,0,0,0,0
ASV004170,0,0,0,0,0,0
ASV004171,0,0,0,0,0,0
ASV004172,0,0,0,0,0,0
ASV004173,0,0,0,0,0,0
ASV004174,0,0,0,0,0,0
ASV004175,0,0,0,0,0,0
ASV004176,0,0,0,1,0,0
ASV004177,0,0,0,0,0,0
ASV004178,0,0,0,0,0,0
ASV004179,0,0,0,0,0,0
ASV004180,0,0,0,0,0,0
ASV004181,2,2,0,1,0,0
ASV004182,0,0,0,0,0,1
ASV004183,0,0,0,0,0,0
ASV004184,0,0,0,0,0,0
ASV004185,0,0,0,0,0,0
ASV004186,0,0,0,0,0,0
ASV004187,0,0,0,0,0,0
ASV004188,0,0,0,0,0,0
ASV004189,0,1,0,1,0,0
ASV004190,0,0,0,0,0,0
ASV004191,0,0,0,0,0,0
ASV004192,0,0,0,0,0,0
ASV004193,0,0,0,0,0,0
ASV004194,0,0,0,0,0,0
ASV004195,0,0,0,1,0,0
ASV004196,0,0,0,0,0,0
ASV004197,0,0,0,0,0,0
ASV004198,0,0,0,0,0,0
ASV004199,0,0,0,0,0,0
ASV004200,0,0,0,0,0,0
ASV004201,0,0,0,0,0,0
ASV004202,0,0,0,0,0,0
ASV004203,0,0,0,0,0,0
ASV004204,0,0,0,0,0,0
ASV004205,0,0,0,1,0,0
ASV004206,0,0,0,0,0,0
ASV004207,2,2,0,3,0,0
ASV004208,0,0,0,0,0,0
ASV004209,0,0,0,0,0,0
ASV004210,0,0,0,0,0,0
ASV004211,0,0,0,0,0,0
ASV004212,0,0,0,0,0,0
ASV004213,0,0,0,0,0,0
ASV004214,0,0,0,0,0,0
ASV004215,0,0,0,0,0,0
ASV004216,0,0,0,0,0,0
ASV004217,0,0,0,0,0,0
ASV004218,0,0,0,0,0,0
ASV004219,0,0,0,0,0,0
ASV004220,0,0,0,0,0,0
ASV004221,0,0,0,0,0,0
ASV004222,0,0,0,0,0,0
ASV004223,2,2,0,3,0,0
ASV004224,0,0,0,0,0,0
ASV004225,0,0,0,0,0,0
ASV004226,0,0,0,0,0,0
ASV004227,0,0,0,0,0,0
ASV004228,0,0,0,0,0,0
ASV004229,0,0,0,0,0,0
ASV004230,0,0,0,0,0,0
ASV004231,0,0,0,0,0,0
ASV004232,0,0,0,0,0,0
ASV004233,0,0,0,0,0,0
ASV004234,0,0,0,0,0,0
ASV004235,3,3,0,1,0,0
ASV004236,0,0,0,0,0,0
ASV004237,2,1,0,1,0,0
ASV004238,0,0,0,0,0,0
ASV004239,3,3,0,1,0,0
ASV004240,0,0,0,0,0,0
ASV004241,0,0,0,0,0,0
ASV004242,0,0,0,0,0,0
ASV004243,0,0,0,0,0,0
ASV004244,0,0,0,0,0,0
ASV004245,0,0,0,0,0,0
ASV004246,4,3,0,4,0,1
ASV004247,0,0,0,0,0,0
ASV004248,1,1,0,1,0,0
ASV004249,0,0,0,0,0,0
ASV004250,0,0,0,1,0,0
ASV004251,2,2,0,0,0,1
ASV004252,2,2,0,1,0,0
ASV004253,0,0,0,0,0,0
ASV004254,0,0,0,1,0,0
ASV004255,0,1,0,1,0,0
ASV004256,0,0,0,5,0,0
