,sample,function,taxon,taxon_abun,taxon_rel_abun,genome_function_count,taxon_function_abun,taxon_rel_function_abun
269,Day01BHET1,PETase,ASV000043,0.03,0.117554859,2,0.06,0.235109718
268,Day01BHET1,PETase,ASV000020,0.02,0.078369906,2,0.04,0.156739812
270,Day01BHET1,PETase,ASV000610,0.01,0.039184953,1,0.01,0.039184953
272,Day01BHET2,PETase,ASV000043,0.04,0.147983722,2,0.08,0.295967444
271,Day01BHET2,PETase,ASV000020,0.03,0.110987791,2,0.06,0.221975583
273,Day01BHET2,PETase,ASV000610,0.03,0.110987791,1,0.03,0.110987791
275,Day01BHET2,PETase,ASV002442,0.01,0.03699593,2,0.02,0.073991861
274,Day01BHET2,PETase,ASV001694,0.01,0.03699593,1,0.01,0.03699593
277,Day01BHET3,PETase,ASV000043,0.04,0.162271805,2,0.08,0.324543611
276,Day01BHET3,PETase,ASV000020,0.01,0.040567951,2,0.02,0.081135903
278,Day01BHET3,PETase,ASV010556,0.01,0.040567951,1,0.01,0.040567951
279,Day01ExtractionControl,PETase,ASV003868,0.01,0.010913456,1,0.01,0.010913456
24,Day01LowCrys1,PETase,ASV004312,0.01,0.018871485,2,0.02,0.03774297
25,Day01LowCrys1,PETase,ASV004316,0.01,0.018871485,1,0.01,0.018871485
134,Day01LowCrys2,PETase,ASV000020,0.06,0.129338219,2,0.12,0.258676439
135,Day01LowCrys2,PETase,ASV000043,0.02,0.04311274,2,0.04,0.08622548
136,Day01LowCrys2,PETase,ASV000126,0.01,0.02155637,2,0.02,0.04311274
501,Day01LowCrysWater1,PETase,ASV000098,0.01,0.025131943,2,0.02,0.050263885
502,Day01LowCrysWater1,PETase,ASV000610,0.01,0.025131943,1,0.01,0.025131943
527,Day01LowCrysWater2,PETase,ASV002737,0.01,0.021939447,2,0.02,0.043878894
526,Day01LowCrysWater2,PETase,ASV000610,0.01,0.021939447,1,0.01,0.021939447
0,Day01LowCrysWater3,PETase,ASV001694,0.01,0.025445293,1,0.01,0.025445293
424,Day01NoC3,PETase,ASV000043,0.02,0.032976092,2,0.04,0.065952185
425,Day01NoC3,PETase,ASV004559,0.02,0.032976092,1,0.02,0.032976092
426,Day01NoC3,PETase,ASV016970,0.01,0.016488046,1,0.01,0.016488046
257,Day01PET1,PETase,ASV000486,0.01,0.023331778,2,0.02,0.046663556
258,Day01PET1,PETase,ASV000610,0.02,0.046663556,1,0.02,0.046663556
259,Day01WeatherPET1,PETase,ASV000610,0.01,0.026831232,1,0.01,0.026831232
260,Day01WeatherPET2,PETase,ASV000020,0.02,0.058668231,2,0.04,0.117336462
261,Day01WeatherPET2,PETase,ASV000610,0.01,0.029334116,1,0.01,0.029334116
262,Day01WeatherPET2,PETase,ASV004106,0.01,0.029334116,1,0.01,0.029334116
314,Day03BHET2,PETase,ASV000020,0.01,0.022747953,2,0.02,0.045495905
315,Day03BHET2,PETase,ASV000043,0.01,0.022747953,2,0.02,0.045495905
316,Day03BHET2,PETase,ASV000098,0.01,0.022747953,2,0.02,0.045495905
317,Day03BHET2,PETase,ASV000610,0.01,0.022747953,1,0.01,0.022747953
318,Day03BHET3,PETase,ASV000043,0.05,0.120192308,2,0.1,0.240384615
292,Day03LowCrys1,PETase,ASV000020,0.04,0.075872534,2,0.08,0.151745068
293,Day03LowCrys1,PETase,ASV000610,0.01,0.018968134,1,0.01,0.018968134
294,Day03LowCrys3,PETase,ASV000020,0.07,0.150085763,2,0.14,0.300171527
295,Day03LowCrys3,PETase,ASV000043,0.01,0.021440823,2,0.02,0.042881647
284,Day03LowCrysWater1,PETase,ASV000610,0.01,0.028901734,1,0.01,0.028901734
285,Day03LowCrysWater3,PETase,ASV000020,0.01,0.029515939,2,0.02,0.059031877
286,Day03LowCrysWater3,PETase,ASV004106,0.01,0.029515939,1,0.01,0.029515939
280,Day03NoC1,PETase,ASV000020,0.01,0.017943657,2,0.02,0.035887314
282,Day03NoC2,PETase,ASV000043,0.02,0.042158516,2,0.04,0.084317032
281,Day03NoC2,PETase,ASV000020,0.01,0.021079258,2,0.02,0.042158516
283,Day03NoC3,PETase,ASV004030,0.01,0.018392496,1,0.01,0.018392496
297,Day03PET1,PETase,ASV000043,0.04,0.09310987,2,0.08,0.186219739
296,Day03PET1,PETase,ASV000020,0.02,0.046554935,2,0.04,0.09310987
298,Day03PET1,PETase,ASV000098,0.01,0.023277467,2,0.02,0.046554935
299,Day03PET1,PETase,ASV010979,0.01,0.023277467,1,0.01,0.023277467
300,Day03PET2,PETase,ASV000020,0.03,0.067857951,2,0.06,0.135715901
301,Day03PET2,PETase,ASV000610,0.02,0.045238634,1,0.02,0.045238634
302,Day03PET3,PETase,ASV000043,0.01,0.024148756,2,0.02,0.048297513
303,Day03WeatherPET1,PETase,ASV000020,0.02,0.046533271,2,0.04,0.093066543
304,Day03WeatherPET1,PETase,ASV000043,0.01,0.023266636,2,0.02,0.046533271
305,Day03WeatherPET1,PETase,ASV004030,0.01,0.023266636,1,0.01,0.023266636
306,Day03WeatherPET3,PETase,ASV000020,0.04,0.113895216,2,0.08,0.227790433
307,Day03WeatherPET3,PETase,ASV000043,0.01,0.028473804,2,0.02,0.056947608
308,Day03WeatherPET3,PETase,ASV000098,0.01,0.028473804,2,0.02,0.056947608
309,Day03WeatherPET3,PETase,ASV000126,0.01,0.028473804,2,0.02,0.056947608
310,Day03WeatherPET3,PETase,ASV000610,0.01,0.028473804,1,0.01,0.028473804
394,Day07BHET1,PETase,ASV000020,0.01,0.024131274,2,0.02,0.048262548
395,Day07BHET1,PETase,ASV000043,0.01,0.024131274,2,0.02,0.048262548
396,Day07BHET1,PETase,ASV003151,0.01,0.024131274,1,0.01,0.024131274
397,Day07BHET1,PETase,ASV004559,0.01,0.024131274,1,0.01,0.024131274
400,Day07BHET2,PETase,ASV000126,0.02,0.046040516,2,0.04,0.092081031
398,Day07BHET2,PETase,ASV000020,0.01,0.023020258,2,0.02,0.046040516
399,Day07BHET2,PETase,ASV000043,0.01,0.023020258,2,0.02,0.046040516
401,Day07BHET3,PETase,ASV000020,0.01,0.022411475,2,0.02,0.044822949
402,Day07BHET3,PETase,ASV000621,0.01,0.022411475,2,0.02,0.044822949
403,Day07BHET3,PETase,ASV002887,0.01,0.022411475,2,0.02,0.044822949
404,Day07BHET3,PETase,ASV004312,0.01,0.022411475,2,0.02,0.044822949
333,Day07LowCrys1,PETase,ASV000020,0.01,0.020230629,2,0.02,0.040461258
334,Day07LowCrys2,PETase,ASV000020,0.09,0.191407912,2,0.18,0.382815823
335,Day07LowCrys2,PETase,ASV000043,0.03,0.063802637,2,0.06,0.127605274
336,Day07LowCrys2,PETase,ASV000098,0.01,0.021267546,2,0.02,0.042535091
337,Day07LowCrys3,PETase,ASV000020,0.03,0.072992701,2,0.06,0.145985401
338,Day07LowCrys3,PETase,ASV000043,0.01,0.0243309,2,0.02,0.0486618
332,Day07LowCrysWater3,PETase,ASV000020,0.01,0.028571429,2,0.02,0.057142857
319,Day07NoC1,PETase,ASV000043,0.01,0.01789549,2,0.02,0.035790981
320,Day07NoC1,PETase,ASV000126,0.01,0.01789549,2,0.02,0.035790981
322,Day07NoC2,PETase,ASV000043,0.02,0.039517882,2,0.04,0.079035764
321,Day07NoC2,PETase,ASV000020,0.01,0.019758941,2,0.02,0.039517882
323,Day07NoC2,PETase,ASV000098,0.01,0.019758941,2,0.02,0.039517882
328,Day07NoC2,PETase,ASV011523,0.01,0.019758941,2,0.02,0.039517882
324,Day07NoC2,PETase,ASV000610,0.01,0.019758941,1,0.01,0.019758941
325,Day07NoC2,PETase,ASV003951,0.01,0.019758941,1,0.01,0.019758941
326,Day07NoC2,PETase,ASV006256,0.01,0.019758941,1,0.01,0.019758941
327,Day07NoC2,PETase,ASV007925,0.01,0.019758941,1,0.01,0.019758941
329,Day07NoC3,PETase,ASV000610,0.03,0.048084629,1,0.03,0.048084629
330,Day07NoC3,PETase,ASV001181,0.01,0.01602821,2,0.02,0.032056419
331,Day07NoC3,PETase,ASV016099,0.01,0.01602821,1,0.01,0.01602821
340,Day07PET1,PETase,ASV000043,1.25,2.206920904,2,2.5,4.413841808
339,Day07PET1,PETase,ASV000020,1.14,2.012711864,2,2.28,4.025423729
342,Day07PET1,PETase,ASV000126,0.28,0.494350282,2,0.56,0.988700565
341,Day07PET1,PETase,ASV000098,0.23,0.406073446,2,0.46,0.812146893
343,Day07PET1,PETase,ASV002089,0.05,0.088276836,2,0.1,0.176553672
344,Day07PET2,PETase,ASV000020,2.43,4.891304348,2,4.86,9.782608696
345,Day07PET2,PETase,ASV000043,1.27,2.556360709,2,2.54,5.112721417
346,Day07PET2,PETase,ASV000098,0.42,0.845410628,2,0.84,1.690821256
347,Day07PET2,PETase,ASV000126,0.3,0.603864734,2,0.6,1.207729469
349,Day07PET2,PETase,ASV000621,0.02,0.040257649,2,0.04,0.080515298
351,Day07PET2,PETase,ASV003774,0.02,0.040257649,2,0.04,0.080515298
348,Day07PET2,PETase,ASV000486,0.01,0.020128824,2,0.02,0.040257649
350,Day07PET2,PETase,ASV002887,0.01,0.020128824,2,0.02,0.040257649
352,Day07PET2,PETase,ASV011883,0.01,0.020128824,2,0.02,0.040257649
354,Day07PET3,PETase,ASV000043,0.13,0.257272907,2,0.26,0.514545814
353,Day07PET3,PETase,ASV000020,0.1,0.197902236,2,0.2,0.395804473
356,Day07PET3,PETase,ASV000126,0.02,0.039580447,2,0.04,0.079160895
358,Day07PET3,PETase,ASV001694,0.03,0.059370671,1,0.03,0.059370671
