sample,taxon,taxon_function_abun
Day01BHET1,ASV000001,12.899999999999999
Day01BHET1,ASV000002,0.04
Day01BHET1,ASV000004,0.86
Day01BHET1,ASV000006,0.02
Day01BHET1,ASV000008,3.18
Day01BHET1,ASV000009,3.94
Day01BHET1,ASV000010,0.04
Day01BHET1,ASV000013,0.48
Day01BHET1,ASV000014,1.35
Day01BHET1,ASV000015,1.58
Day01BHET1,ASV000016,0.1
Day01BHET1,ASV000017,0.03
Day01BHET1,ASV000018,2.8499999999999996
Day01BHET1,ASV000022,1.47
Day01BHET1,ASV000023,0.09
Day01BHET1,ASV000025,0.01
Day01BHET1,ASV000026,3.0300000000000002
Day01BHET1,ASV000032,0.18000000000000005
Day01BHET1,ASV000033,0.01
Day01BHET1,ASV000040,1.6500000000000001
Day01BHET1,ASV000042,0.02
Day01BHET1,ASV000044,0.02
Day01BHET1,ASV000048,0.06
Day01BHET1,ASV000049,1.8599999999999999
Day01BHET1,ASV000053,0.02
Day01BHET1,ASV000067,0.08
Day01BHET1,ASV000070,0.8999999999999999
Day01BHET1,ASV000072,0.38
Day01BHET1,ASV000077,0.4
Day01BHET1,ASV000080,0.01
Day01BHET1,ASV000086,0.03
Day01BHET1,ASV000088,0.76
Day01BHET1,ASV000090,0.01
Day01BHET1,ASV000092,0.28
Day01BHET1,ASV000095,0.02
Day01BHET1,ASV000097,0.17
Day01BHET1,ASV000100,0.24
Day01BHET1,ASV000102,0.09
Day01BHET1,ASV000105,0.32
Day01BHET1,ASV000116,0.06
Day01BHET1,ASV000118,0.01
Day01BHET1,ASV000122,0.32
Day01BHET1,ASV000123,0.03
Day01BHET1,ASV000130,0.02
Day01BHET1,ASV000146,0.03
Day01BHET1,ASV000166,0.01
Day01BHET1,ASV000172,0.03
Day01BHET1,ASV000174,0.8
Day01BHET1,ASV000176,0.05
Day01BHET1,ASV000181,0.1
Day01BHET1,ASV000183,0.6
Day01BHET1,ASV000201,0.03
Day01BHET1,ASV000204,0.05
Day01BHET1,ASV000215,0.68
Day01BHET1,ASV000222,0.24
Day01BHET1,ASV000225,0.02
Day01BHET1,ASV000229,0.14
Day01BHET1,ASV000233,0.32
Day01BHET1,ASV000237,0.06
Day01BHET1,ASV000246,0.01
Day01BHET1,ASV000258,0.09
Day01BHET1,ASV000264,0.01
Day01BHET1,ASV000266,0.03
Day01BHET1,ASV000274,0.04
Day01BHET1,ASV000279,0.04
Day01BHET1,ASV000281,0.04
Day01BHET1,ASV000284,0.12
Day01BHET1,ASV000289,0.6
Day01BHET1,ASV000300,0.02
Day01BHET1,ASV000329,0.02
Day01BHET1,ASV000331,0.18
Day01BHET1,ASV000339,0.02
Day01BHET1,ASV000343,0.03
Day01BHET1,ASV000348,0.1
Day01BHET1,ASV000350,0.32
Day01BHET1,ASV000364,0.04
Day01BHET1,ASV000373,0.19999999999999998
Day01BHET1,ASV000377,0.06
Day01BHET1,ASV000386,0.03
Day01BHET1,ASV000391,0.03
Day01BHET1,ASV000397,0.07
Day01BHET1,ASV000408,0.03
Day01BHET1,ASV000411,0.02
Day01BHET1,ASV000428,0.09999999999999999
Day01BHET1,ASV000440,0.03
Day01BHET1,ASV000442,0.15000000000000002
Day01BHET1,ASV000447,0.14
Day01BHET1,ASV000450,0.02
Day01BHET1,ASV000451,0.04
Day01BHET1,ASV000457,0.02
Day01BHET1,ASV000463,0.06
Day01BHET1,ASV000468,0.02
Day01BHET1,ASV000470,0.02
Day01BHET1,ASV000476,0.03
Day01BHET1,ASV000477,0.03
Day01BHET1,ASV000488,0.03
Day01BHET1,ASV000500,0.05
Day01BHET1,ASV000503,0.05
Day01BHET1,ASV000516,0.01
Day01BHET1,ASV000517,0.02
Day01BHET1,ASV000522,0.02
Day01BHET1,ASV000539,0.09999999999999999
Day01BHET1,ASV000554,0.02
Day01BHET1,ASV000597,0.05
Day01BHET1,ASV000601,0.2
Day01BHET1,ASV000625,0.09999999999999999
Day01BHET1,ASV000634,0.08
Day01BHET1,ASV000635,0.01
Day01BHET1,ASV000636,0.01
Day01BHET1,ASV000659,0.04
Day01BHET1,ASV000681,0.16
Day01BHET1,ASV000700,0.02
Day01BHET1,ASV000706,0.09999999999999999
Day01BHET1,ASV000710,0.09
Day01BHET1,ASV000712,0.02
Day01BHET1,ASV000730,0.18
Day01BHET1,ASV000731,0.03
Day01BHET1,ASV000744,0.18000000000000005
Day01BHET1,ASV000754,0.02
Day01BHET1,ASV000765,0.03
Day01BHET1,ASV000766,0.02
Day01BHET1,ASV000781,0.01
Day01BHET1,ASV000791,0.02
Day01BHET1,ASV000795,0.05
Day01BHET1,ASV000796,0.03
Day01BHET1,ASV000805,0.02
Day01BHET1,ASV000815,0.01
Day01BHET1,ASV000824,0.02
Day01BHET1,ASV000836,0.03
Day01BHET1,ASV000843,0.09999999999999999
Day01BHET1,ASV000846,0.03
Day01BHET1,ASV000849,0.01
Day01BHET1,ASV000852,0.02
Day01BHET1,ASV000853,0.02
Day01BHET1,ASV000855,0.09999999999999999
Day01BHET1,ASV000862,0.02
Day01BHET1,ASV000896,0.01
Day01BHET1,ASV000900,0.03
Day01BHET1,ASV000914,0.03
Day01BHET1,ASV000933,0.03
Day01BHET1,ASV000951,0.01
Day01BHET1,ASV000958,0.02
Day01BHET1,ASV000986,0.02
Day01BHET1,ASV000990,0.02
Day01BHET1,ASV001009,0.02
Day01BHET1,ASV001035,0.02
Day01BHET1,ASV001041,0.03
Day01BHET1,ASV001047,0.03
Day01BHET1,ASV001075,0.04
Day01BHET1,ASV001094,0.02
Day01BHET1,ASV001099,0.01
Day01BHET1,ASV001107,0.01
Day01BHET1,ASV001111,0.01
Day01BHET1,ASV001140,0.03
Day01BHET1,ASV001149,0.02
Day01BHET1,ASV001158,0.09999999999999999
Day01BHET1,ASV001160,0.09999999999999999
Day01BHET1,ASV001163,0.02
Day01BHET1,ASV001204,0.19999999999999998
Day01BHET1,ASV001212,0.02
Day01BHET1,ASV001245,0.01
Day01BHET1,ASV001261,0.04
Day01BHET1,ASV001272,0.01
Day01BHET1,ASV001279,0.09999999999999999
Day01BHET1,ASV001312,0.03
Day01BHET1,ASV001316,0.01
Day01BHET1,ASV001356,0.02
Day01BHET1,ASV001424,0.02
Day01BHET1,ASV001439,0.02
