OTU,Simper contribution,BHET mean,BHET std,NoC mean,NoC std,LowCrys mean,LowCrys std,kruskal stats,kruskal p
ASV000001,0.0873544245222682,39.891504216602954,3.3686447088945486,33.54027724303577,4.0230937195748755,25.680123808987283,5.265306454040298,41.37528344671199,1.0362662548724983e-09
ASV000002,0.08020224278448845,0.19998765933175774,0.13714653762159534,2.1659111361754895,1.5304031520862567,14.224564983970765,8.148491642984698,44.13038548752834,2.613416021767971e-10
ASV000003,0.070423840108274,0.004448494934126028,0.006058158294245381,12.908008732590789,3.0506123091574313,5.1169588814227165,3.282428261049379,52.23243757497206,4.5485219245621415e-12
ASV000006,0.038209167050978,0.003540847943297277,0.003618359435550295,4.0147447676672,4.409910618043995,3.947481345149091,2.6868883660330045,38.73809236940873,3.873736914968057e-09
ASV000021,0.03378428624674367,0.00047429091735478126,0.0014878082813547372,4.546069476584468,6.910969416331658,0.7641632741619172,3.4068399393407134,6.214861094738469,0.04471570273817896
ASV000008,0.032594197254465634,1.6390653459631577,0.8753027496387323,0.9348563326454924,0.2902219282736924,5.863991733048174,5.70416172232917,29.89569160997732,3.222797740975122e-07
ASV000007,0.031073820538432006,3.6364604135457124,3.1259287760307264,2.868819365608571,2.509966871076073,0.5437393929645817,0.9911244687515521,8.550291256302032,0.013910022880518975
ASV000014,0.028331502741997333,5.114565582811844,2.8829703714929122,0.070021020092873,0.05022281442038857,0.1443169974449999,0.0923577289826173,44.52962603566255,2.140496715418789e-10
ASV000004,0.026736245653704,7.701143849049022,1.5722584492005576,4.335471078673284,0.6359808639976865,3.355509206944501,1.4260549403959304,43.05555555555554,4.473061851783289e-10
ASV000010,0.019799403807357667,0.04618367081632542,0.0300831896246558,2.1759302408091648,1.0598469723287471,2.580826481397771,2.517796594274332,37.6898927105585,6.542500825957935e-09
ASV000011,0.019463260407264666,0.0011206620534473574,0.002598722179031906,2.6429457301853017,1.3801530053390845,2.492491732828531,1.301404499036928,42.258192975584265,6.664230160433656e-10
ASV000022,0.018603375377429333,3.4022767916687,1.7329153898030112,0.06488345848017388,0.05215174716511422,0.033181992237133404,0.025173673575768964,42.927253313578746,4.76941794407185e-10
ASV000026,0.016995777892610666,2.6741239621942534,4.554139804723927,0.0010684103122963343,0.004778076172312766,0.0008015327775221468,0.002568369974493087,54.228914218594525,1.6762581315378644e-12
ASV000034,0.015881252722042,2.741215061048846,1.9245303608996531,0.0008516341318067587,0.002126441244475884,0.01935957541456652,0.0214002443839686,35.497174216148906,1.9583330680101262e-08
ASV000012,0.01538626128867667,0.0023367688908402873,0.004060069001700588,2.5989562430784994,1.3528051413793691,0.657784493435606,0.8029568017727707,49.27479318549231,1.995788938748774e-11
ASV000023,0.013383557332317634,1.8080893716693605,1.2881846246864572,0.9048523411123368,1.2941865044819445,0.6678772978417813,0.43992401457872854,11.324499919987153,0.0034746901827138878
ASV000009,0.013086334078068002,2.1221073497667,0.6222374043920904,2.117199266120634,1.3867142084892525,2.240590688885843,1.2095244287065539,1.0059523809523796,0.6047281925130135
ASV000040,0.004194811663194366,1.5576657549337338,2.157806900732509,0.0,0.0,0.0,0.0,58.743852948197656,1.7536156370124648e-13
ASV000036,0.0041080076849403,0.0,0.0,0.3091671231080391,0.8270050984221295,1.079837302547811,2.2375087392635487,8.013864143081005,0.01818911262088768
ASV000054,0.0035342875869553334,1.5617098451576996,1.0676772056068613,0.004634197602496231,0.011636747514636963,0.0014196762024215538,0.00300867989628568,33.27651698510777,5.9442374317770416e-08
ASV000019,0.0033547411320783336,0.0020989857425503695,0.005254943356443981,1.2495925467428388,1.2362136210925916,0.3622564966111613,0.22744510784042826,39.89096860835991,2.1766381049523442e-09
