Sample label,Latitude,Longitude,Sampling depth
TARA_004_DCM,36.5533,-6.5669,40
TARA_004_SRF,36.5533,-6.5669,5
TARA_007_DCM,37.0541,1.9478,42
TARA_007_SRF,37.051,1.9378,5
TARA_009_DCM,39.0609,5.9422,55
TARA_009_SRF,39.1633,5.916,5
TARA_018_DCM,35.7528,14.2765,60
TARA_018_DCM,35.7528,14.2765,60
TARA_018_SRF,35.759,14.2574,5
TARA_018_SRF,35.759,14.2574,5
TARA_022_SRF,39.8386,17.4155,5
TARA_023_DCM,42.1735,17.7252,55
TARA_023_DCM,42.1735,17.7252,55
TARA_023_SRF,42.2038,17.715,5
TARA_025_DCM,39.3991,19.3997,50
TARA_025_DCM,39.3991,19.3997,50
TARA_025_SRF,39.3888,19.3905,5
TARA_025_SRF,39.3888,19.3905,5
TARA_030_DCM,33.9235,32.8118,70
TARA_030_DCM,33.9235,32.8118,70
TARA_030_SRF,33.9179,32.898,5
TARA_031_SRF,27.16,34.835,5
TARA_031_SRF,27.16,34.835,5
TARA_032_DCM,23.4183,37.245,80
TARA_032_DCM,23.4183,37.245,80
TARA_032_SRF,23.36,37.2183,5
TARA_032_SRF,23.36,37.2183,5
TARA_033_SRF,21.9467,38.2517,5
TARA_034_DCM,18.4417,39.8567,60
TARA_034_DCM,18.4417,39.8567,60
TARA_034_SRF,18.3967,39.875,5
TARA_034_SRF,18.3967,39.875,5
TARA_034_SRF,18.3967,39.875,5
TARA_036_DCM,20.8222,63.5133,17
TARA_036_DCM,20.8222,63.5133,17
TARA_036_SRF,20.8183,63.5047,5
TARA_036_SRF,20.8183,63.5047,5
TARA_036_SRF,20.8183,63.5047,5
TARA_037_MES,20.8457,63.5851,600
TARA_037_MES,20.8457,63.5851,600
TARA_038_DCM,19.0284,64.5126,25
TARA_038_DCM,19.0284,64.5126,25
TARA_038_MES,19.0351,64.5638,340
TARA_038_MES,19.0351,64.5638,340
TARA_038_SRF,19.0393,64.4913,5
TARA_038_SRF,19.0393,64.4913,5
TARA_038_SRF,19.0393,64.4913,5
TARA_039_DCM,18.5839,66.4727,25
TARA_039_DCM,18.5839,66.4727,25
TARA_039_MES,18.7341,66.3896,270
TARA_039_MES,18.7341,66.3896,270
TARA_039_SRF,18.5918,66.622,5
TARA_039_SRF,18.5918,66.622,5
TARA_041_DCM,14.5536,70.0128,60
TARA_041_DCM,14.5536,70.0128,60
TARA_041_SRF,14.6059,69.9776,5
TARA_041_SRF,14.6059,69.9776,5
TARA_041_SRF,14.6059,69.9776,5
TARA_042_DCM,5.9998,73.9067,80
TARA_042_DCM,5.9998,73.9067,80
TARA_042_SRF,6.0001,73.8955,5
TARA_042_SRF,6.0001,73.8955,5
TARA_045_SRF,0.0033,71.6428,5
TARA_046_SRF,-0.6625,73.161,5
TARA_048_SRF,-9.3921,66.4228,5
TARA_048_SRF,-9.3921,66.4228,5
TARA_052_DCM,-16.9534,53.9601,75
TARA_052_DCM,-16.9534,53.9601,75
TARA_052_SRF,-16.957,53.9801,5
TARA_056_MES,-15.3379,43.2948,1000
TARA_056_SRF,-15.3424,43.2965,5
TARA_057_SRF,-17.0248,42.7401,5
TARA_058_DCM,-17.2855,42.2866,66
TARA_062_SRF,-22.3368,40.3412,5
TARA_064_DCM,-29.5333,37.9117,65
TARA_064_DCM,-29.5333,37.9117,65
TARA_064_DCM,-29.5333,37.9117,65
TARA_064_MES,-29.5046,37.9599,1000
TARA_064_SRF,-29.5019,37.9889,5
TARA_064_SRF,-29.5019,37.9889,5
TARA_065_DCM,-35.2421,26.3048,30
TARA_065_DCM,-35.2421,26.3048,30
TARA_065_DCM,-35.2421,26.3048,30
TARA_065_MES,-35.1889,26.2905,850
TARA_065_SRF,-35.1728,26.2868,5
TARA_065_SRF,-35.1728,26.2868,5
TARA_065_SRF,-35.1728,26.2868,5
TARA_066_DCM,-34.8901,18.0459,30
TARA_066_DCM,-34.8901,18.0459,30
TARA_066_SRF,-34.9449,17.9189,5
TARA_066_SRF,-34.9449,17.9189,5
TARA_067_SRF,-32.2401,17.7103,5
TARA_067_SRF,-32.2401,17.7103,5
TARA_067_SRF,-32.2401,17.7103,5
TARA_067_SRF,-32.2401,17.7103,5
TARA_068_DCM,-31.026999999999997,4.6802,50
TARA_068_DCM,-31.026999999999997,4.6802,50
TARA_068_DCM,-31.026999999999997,4.6802,50
TARA_068_DCM,-31.026999999999997,4.6802,50
TARA_068_MES,-31.0198,4.6685,700
TARA_068_MES,-31.0198,4.6685,700
TARA_068_SRF,-31.0266,4.665,5
TARA_068_SRF,-31.0266,4.665,5
TARA_068_SRF,-31.0266,4.665,5
TARA_068_SRF,-31.0266,4.665,5
TARA_070_MES,-20.4075,-3.1641,800
TARA_070_MES,-20.4075,-3.1641,800
TARA_070_MES,-20.4075,-3.1641,800
TARA_070_MES,-20.4075,-3.1641,800
TARA_070_SRF,-20.4091,-3.1759,5
TARA_070_SRF,-20.4091,-3.1759,5
TARA_070_SRF,-20.4091,-3.1759,5
TARA_070_SRF,-20.4091,-3.1759,5
TARA_072_DCM,-8.7296,-17.9604,100
TARA_072_DCM,-8.7296,-17.9604,100
TARA_072_MES,-8.7986,-17.9034,800
TARA_072_MES,-8.7986,-17.9034,800
TARA_072_SRF,-8.7789,-17.9099,5
TARA_072_SRF,-8.7789,-17.9099,5
TARA_076_DCM,-21.0292,-35.3498,150
TARA_076_DCM,-21.0292,-35.3498,150
TARA_076_DCM,-21.0292,-35.3498,150
TARA_076_DCM,-21.0292,-35.3498,150
TARA_076_MES,-20.9315,-35.1794,800
TARA_076_MES,-20.9315,-35.1794,800
TARA_076_SRF,-20.9354,-35.1803,5
TARA_076_SRF,-20.9354,-35.1803,5
TARA_076_SRF,-20.9354,-35.1803,5
TARA_076_SRF,-20.9354,-35.1803,5
TARA_078_DCM,-30.1484,-43.2705,120
TARA_078_DCM,-30.1484,-43.2705,120
TARA_078_DCM,-30.1484,-43.2705,120
TARA_078_MES,-30.1471,-43.2915,800
TARA_078_MES,-30.1471,-43.2915,800
TARA_078_SRF,-30.1367,-43.2899,5
TARA_078_SRF,-30.1367,-43.2899,5
TARA_078_SRF,-30.1367,-43.2899,5
TARA_078_SRF,-30.1367,-43.2899,5
TARA_082_DCM,-47.2007,-57.9446,40
TARA_082_DCM,-47.2007,-57.9446,40
TARA_082_SRF,-47.1863,-58.2902,5
TARA_084_SRF,-60.2287,-60.6476,5
TARA_085_DCM,-62.2231,-49.2139,90
TARA_085_DCM,-62.2231,-49.2139,90
TARA_085_MES,-61.9689,-49.5017,790
TARA_085_SRF,-62.0385,-49.528999999999996,5
