,90% identity,95% identity,97% identity
TARA_145_MES,2220,343,25
TARA_098_DCM,2563,169,9
TARA_146_SRF,2350,327,10
TARA_148_SRF,2575,242,10
TARA_099_SRF,2945,173,4
TARA_052_SRF,2209,177,5
TARA_041_SRF,3190,249,9
TARA_082_SRF,2640,229,6
TARA_138_MES,1971,230,3
TARA_110_DCM,2604,286,3
TARA_056_SRF,3328,234,16
TARA_004_SRF,2630,169,4
TARA_068_DCM,2152,126,14
TARA_066_DCM,1056,78,12
TARA_109_MES,2257,278,11
TARA_072_SRF,2833,173,9
TARA_064_MES,1808,219,9
TARA_067_SRF,1800,178,20
TARA_112_MES,1934,263,23
TARA_111_SRF,2532,301,10
TARA_123_SRF,2378,169,8
TARA_065_DCM,2848,431,30
TARA_056_MES,2344,231,13
TARA_138_SRF,3201,220,9
TARA_112_SRF,3401,223,11
TARA_111_MES,2509,373,7
TARA_064_SRF,3300,277,5
TARA_122_DCM,2343,253,1
TARA_072_MES,2544,158,7
TARA_137_DCM,2244,246,2
TARA_109_SRF,2553,250,4
TARA_150_SRF,2925,226,10
TARA_145_SRF,1990,172,4
TARA_146_MES,2228,320,27
TARA_033_SRF,2484,137,7
TARA_123_MIX,2645,326,8
TARA_151_DCM,2274,296,20
TARA_039_MES,1640,128,9
TARA_094_SRF,2671,232,4
TARA_102_MES,1751,176,6
TARA_018_DCM,2807,166,7
TARA_062_SRF,2352,157,7
TARA_100_DCM,2343,242,1
TARA_078_DCM,2451,265,20
TARA_133_MES,2553,390,12
TARA_009_SRF,3039,453,10
TARA_076_DCM,2376,193,18
TARA_125_SRF,2359,192,4
TARA_042_DCM,1671,176,15
TARA_007_DCM,2048,101,6
TARA_142_DCM,2374,191,6
TARA_125_MIX,1870,176,4
TARA_093_DCM,3936,299,6
TARA_084_SRF,3182,334,0
TARA_038_SRF,2733,163,10
TARA_085_DCM,3192,318,3
TARA_140_SRF,3075,159,10
TARA_023_DCM,1517,61,3
TARA_030_DCM,2507,193,5
TARA_038_MES,1269,111,2
TARA_102_SRF,1951,145,6
TARA_034_SRF,2125,146,7
TARA_132_DCM,2401,245,5
TARA_036_DCM,2653,181,5
TARA_025_DCM,2775,208,8
TARA_128_SRF,2525,234,15
TARA_133_SRF,2959,189,3
TARA_032_SRF,3044,153,2
TARA_141_SRF,2746,148,6
TARA_142_MES,2548,309,12
TARA_004_DCM,2746,287,0
TARA_085_SRF,3405,400,3
TARA_041_DCM,1930,135,7
TARA_132_SRF,3080,224,8
TARA_102_DCM,2422,152,2
TARA_052_DCM,2422,161,6
TARA_045_SRF,3453,265,8
TARA_100_MES,2376,254,2
TARA_078_MES,2112,272,11
TARA_076_MES,2781,479,28
TARA_133_DCM,2461,182,10
TARA_128_DCM,1955,147,8
TARA_124_SRF,2895,296,8
TARA_031_SRF,3474,215,5
TARA_132_MES,2603,431,23
TARA_078_SRF,2817,170,10
TARA_076_SRF,2889,110,4
TARA_148b_MES,2085,203,25
TARA_100_SRF,2407,294,4
TARA_039_DCM,2731,95,2
TARA_142_SRF,2690,243,4
TARA_037_MES,1819,136,3
TARA_124_MIX,2732,413,17
TARA_085_MES,2247,398,41
TARA_093_SRF,3260,185,1
TARA_070_SRF,1880,194,20
TARA_138_DCM,1661,107,1
TARA_110_MES,2476,290,5
TARA_068_MES,2445,361,11
TARA_065_SRF,1683,197,11
TARA_109_DCM,2013,181,2
TARA_048_SRF,3354,325,12
TARA_007_SRF,1983,193,12
TARA_137_SRF,2619,259,8
TARA_122_SRF,2336,198,5
TARA_064_DCM,3000,267,8
TARA_112_DCM,2815,188,6
TARA_009_DCM,1787,128,3
TARA_098_MES,2047,291,24
TARA_150_DCM,2597,180,3
TARA_042_SRF,2955,270,22
TARA_149_MES,2356,343,22
TARA_151_SRF,2518,210,8
TARA_018_SRF,2911,211,9
TARA_152_MES,2401,329,23
TARA_025_SRF,2794,280,8
TARA_036_SRF,2334,195,16
TARA_098_SRF,2556,155,10
TARA_032_DCM,3008,321,18
TARA_096_SRF,3226,244,3
TARA_030_SRF,2022,130,14
TARA_152_SRF,2342,173,15
TARA_082_DCM,3615,436,3
TARA_023_SRF,1651,140,8
TARA_149_SRF,2472,331,10
TARA_034_DCM,1536,92,4
TARA_068_SRF,2523,112,2
TARA_066_SRF,1741,154,15
TARA_065_MES,2403,358,19
TARA_152_MIX,2546,194,6
TARA_058_DCM,2688,179,5
TARA_110_SRF,2547,268,6
TARA_070_MES,2629,226,16
TARA_111_DCM,2538,190,3
TARA_057_SRF,3202,161,3
TARA_038_DCM,2861,132,1
TARA_122_MES,2329,292,7
TARA_137_MES,2309,349,7
TARA_072_DCM,1425,145,6
