,90% identity,95% identity,97% identity
TARA_145_MES,2192,365,42
TARA_098_DCM,3081,119,0
TARA_146_SRF,2459,244,9
TARA_148_SRF,2672,172,6
TARA_099_SRF,2772,135,2
TARA_052_SRF,2868,116,5
TARA_041_SRF,3293,201,4
TARA_082_SRF,2459,330,3
TARA_138_MES,2264,241,10
TARA_110_DCM,3127,192,2
TARA_056_SRF,3616,177,8
TARA_004_SRF,2600,134,2
TARA_068_DCM,2476,116,4
TARA_066_DCM,1205,61,2
TARA_109_MES,2678,197,18
TARA_072_SRF,2988,139,6
TARA_064_MES,1750,218,17
TARA_067_SRF,1928,144,0
TARA_112_MES,1979,271,26
TARA_111_SRF,2785,222,3
TARA_123_SRF,2432,179,3
TARA_065_DCM,3136,303,17
TARA_056_MES,2364,190,22
TARA_138_SRF,3450,136,8
TARA_112_SRF,3448,163,8
TARA_111_MES,2686,347,21
TARA_064_SRF,4058,87,4
TARA_122_DCM,2858,195,3
TARA_072_MES,2685,156,15
TARA_137_DCM,2313,202,14
TARA_109_SRF,2910,164,3
TARA_150_SRF,3026,184,4
TARA_145_SRF,1868,158,2
TARA_146_MES,2362,336,45
TARA_033_SRF,2717,99,4
TARA_123_MIX,3115,272,10
TARA_151_DCM,2302,238,19
TARA_039_MES,1691,129,11
TARA_094_SRF,2189,157,3
TARA_102_MES,1718,147,7
TARA_018_DCM,2985,121,6
TARA_062_SRF,2593,122,3
TARA_100_DCM,3105,168,1
TARA_078_DCM,2670,230,27
TARA_133_MES,2503,357,19
TARA_009_SRF,2884,359,9
TARA_076_DCM,2708,167,10
TARA_125_SRF,2500,121,2
TARA_042_DCM,1904,113,7
TARA_007_DCM,2440,248,5
TARA_142_DCM,2662,145,4
TARA_125_MIX,1988,199,16
TARA_093_DCM,2690,245,7
TARA_084_SRF,2868,171,0
TARA_038_SRF,3113,101,3
TARA_085_DCM,2999,221,3
TARA_140_SRF,3358,112,8
TARA_023_DCM,1576,54,0
TARA_030_DCM,2232,133,4
TARA_038_MES,1424,99,3
TARA_102_SRF,1954,106,0
TARA_034_SRF,2377,104,1
TARA_132_DCM,2729,187,5
TARA_036_DCM,2616,131,1
TARA_025_DCM,2970,148,7
TARA_128_SRF,2995,187,6
TARA_133_SRF,2827,105,3
TARA_032_SRF,3272,131,1
TARA_141_SRF,2853,113,1
TARA_142_MES,2742,241,25
TARA_004_DCM,3035,221,0
TARA_085_SRF,3117,171,3
TARA_041_DCM,2077,112,2
TARA_132_SRF,3159,162,6
TARA_102_DCM,2726,90,0
TARA_052_DCM,2737,110,6
TARA_045_SRF,3889,179,7
TARA_100_MES,2552,165,9
TARA_078_MES,2036,267,20
TARA_076_MES,2713,373,38
TARA_133_DCM,2441,130,3
TARA_128_DCM,2321,113,2
TARA_124_SRF,3464,161,8
TARA_031_SRF,3800,149,3
TARA_132_MES,2930,430,34
TARA_078_SRF,3132,174,7
TARA_076_SRF,2974,53,4
TARA_148b_MES,2141,221,26
TARA_100_SRF,2638,215,4
TARA_039_DCM,2895,74,1
TARA_142_SRF,2860,172,3
TARA_037_MES,2242,155,9
TARA_124_MIX,2888,336,23
TARA_085_MES,2274,363,58
TARA_093_SRF,2818,160,0
TARA_070_SRF,2172,123,2
TARA_138_DCM,1862,100,0
TARA_110_MES,2706,270,6
TARA_068_MES,2488,365,23
TARA_065_SRF,1795,147,3
TARA_109_DCM,2280,155,0
TARA_048_SRF,3530,256,8
TARA_007_SRF,1614,140,3
TARA_137_SRF,2957,198,1
TARA_122_SRF,2618,146,2
TARA_064_DCM,3524,87,8
TARA_112_DCM,3358,121,5
TARA_009_DCM,1865,112,4
TARA_098_MES,2071,321,38
TARA_150_DCM,3011,105,3
TARA_042_SRF,2972,211,17
TARA_149_MES,2382,337,27
TARA_151_SRF,2607,129,10
TARA_018_SRF,2881,150,7
TARA_152_MES,2263,294,31
TARA_025_SRF,2837,187,6
TARA_036_SRF,2413,123,3
TARA_098_SRF,2313,124,1
TARA_032_DCM,3330,272,16
TARA_096_SRF,2638,181,2
TARA_030_SRF,1467,102,6
TARA_152_SRF,2411,170,24
TARA_082_DCM,3211,459,1
TARA_023_SRF,1410,88,0
TARA_149_SRF,2735,262,5
TARA_034_DCM,1806,91,6
TARA_068_SRF,2713,126,1
TARA_066_SRF,1513,132,2
TARA_065_MES,2558,339,31
TARA_152_MIX,2533,160,2
TARA_058_DCM,2928,112,5
TARA_110_SRF,2794,202,3
TARA_070_MES,3385,189,26
TARA_111_DCM,2959,122,2
TARA_057_SRF,3614,98,2
TARA_038_DCM,3242,105,1
TARA_122_MES,2336,238,17
TARA_137_MES,2761,314,11
TARA_072_DCM,1656,104,1
