,Sequences
TARA_145_MES,98337
TARA_098_DCM,73002
TARA_146_SRF,118221
TARA_148_SRF,118053
TARA_099_SRF,96066
TARA_052_SRF,108588
TARA_041_SRF,101365
TARA_082_SRF,72336
TARA_138_MES,100842
TARA_110_DCM,128677
TARA_056_SRF,101902
TARA_004_SRF,91124
TARA_068_DCM,56160
TARA_066_DCM,39410
TARA_109_MES,110154
TARA_072_SRF,78627
TARA_064_MES,63894
TARA_067_SRF,40590
TARA_112_MES,82500
TARA_111_SRF,115161
TARA_123_SRF,86324
TARA_065_DCM,155299
TARA_056_MES,95667
TARA_138_SRF,111087
TARA_112_SRF,119900
TARA_111_MES,117215
TARA_064_SRF,186898
TARA_122_DCM,93757
TARA_072_MES,73884
TARA_137_DCM,118179
TARA_109_SRF,128823
TARA_150_SRF,123658
TARA_145_SRF,84116
TARA_146_MES,83957
TARA_033_SRF,69314
TARA_123_MIX,125791
TARA_151_DCM,104170
TARA_039_MES,78278
TARA_094_SRF,127765
TARA_102_MES,56449
TARA_018_DCM,115928
TARA_062_SRF,69585
TARA_100_DCM,103040
TARA_078_DCM,87909
TARA_133_MES,123509
TARA_009_SRF,147018
TARA_076_DCM,68102
TARA_125_SRF,129135
TARA_042_DCM,56690
TARA_007_DCM,77642
TARA_142_DCM,100452
TARA_125_MIX,79206
TARA_093_DCM,186478
TARA_084_SRF,134591
TARA_038_SRF,68985
TARA_085_DCM,128279
TARA_140_SRF,115773
TARA_023_DCM,53084
TARA_030_DCM,157853
TARA_038_MES,54844
TARA_102_SRF,74287
TARA_034_SRF,64924
TARA_132_DCM,104381
TARA_036_DCM,100170
TARA_025_DCM,96926
TARA_128_SRF,102780
TARA_133_SRF,149404
TARA_032_SRF,86601
TARA_141_SRF,77211
TARA_142_MES,111238
TARA_004_DCM,143169
TARA_085_SRF,163215
TARA_041_DCM,76328
TARA_132_SRF,106220
TARA_102_DCM,112336
TARA_052_DCM,96919
TARA_045_SRF,124540
TARA_100_MES,111240
TARA_078_MES,83820
TARA_076_MES,115294
TARA_133_DCM,92255
TARA_128_DCM,76317
TARA_124_SRF,144234
TARA_031_SRF,124569
TARA_132_MES,112779
TARA_078_SRF,78486
TARA_076_SRF,78051
TARA_148b_MES,95080
TARA_100_SRF,122482
TARA_039_DCM,71132
TARA_142_SRF,109445
TARA_037_MES,103619
TARA_124_MIX,141432
TARA_085_MES,91144
TARA_093_SRF,89154
TARA_070_SRF,40905
TARA_138_DCM,68607
TARA_110_MES,114271
TARA_068_MES,115422
TARA_065_SRF,61426
TARA_109_DCM,77265
TARA_048_SRF,139279
TARA_007_SRF,75826
TARA_137_SRF,119711
TARA_122_SRF,108073
TARA_064_DCM,161337
TARA_112_DCM,106315
TARA_009_DCM,96015
TARA_098_MES,100451
TARA_150_DCM,118668
TARA_042_SRF,97737
TARA_149_MES,109336
TARA_151_SRF,122930
TARA_018_SRF,133643
TARA_152_MES,109195
TARA_025_SRF,133238
TARA_036_SRF,62530
TARA_098_SRF,72312
TARA_032_DCM,127264
TARA_096_SRF,136798
TARA_030_SRF,95690
TARA_152_SRF,92320
TARA_082_DCM,161515
TARA_023_SRF,81189
TARA_149_SRF,120367
TARA_034_DCM,57414
TARA_068_SRF,68154
TARA_066_SRF,70388
TARA_065_MES,118035
TARA_152_MIX,113269
TARA_058_DCM,95349
TARA_110_SRF,106731
TARA_070_MES,114132
TARA_111_DCM,112059
TARA_057_SRF,100892
TARA_038_DCM,100385
TARA_122_MES,114755
TARA_137_MES,124039
TARA_072_DCM,49909
