Sample label,Latitude,Longitude,Sampling depth
TARA_004_DCM_0.22-1.6,36.5533,-6.5669,40
TARA_004_SRF_0.22-1.6,36.5533,-6.5669,5
TARA_007_DCM_0.22-1.6,37.0541,1.9478,42
TARA_007_SRF_0.22-1.6,37.051,1.9378,5
TARA_009_DCM_0.22-1.6,39.0609,5.9422,55
TARA_009_SRF_0.22-1.6,39.1633,5.916,5
TARA_018_DCM_0.22-1.6,35.7528,14.2765,60
TARA_018_DCM_<-0.22,35.7528,14.2765,60
TARA_018_SRF_0.22-1.6,35.759,14.2574,5
TARA_018_SRF_<-0.22,35.759,14.2574,5
TARA_022_SRF_<-0.22,39.8386,17.4155,5
TARA_023_DCM_0.22-1.6,42.1735,17.7252,55
TARA_023_DCM_<-0.22,42.1735,17.7252,55
TARA_023_SRF_0.22-1.6,42.2038,17.715,5
TARA_025_DCM_0.22-1.6,39.3991,19.3997,50
TARA_025_DCM_<-0.22,39.3991,19.3997,50
TARA_025_SRF_0.22-1.6,39.3888,19.3905,5
TARA_025_SRF_<-0.22,39.3888,19.3905,5
TARA_030_DCM_0.22-1.6,33.9235,32.8118,70
TARA_030_DCM_<-0.22,33.9235,32.8118,70
TARA_030_SRF_0.22-1.6,33.9179,32.898,5
TARA_031_SRF_0.22-1.6,27.16,34.835,5
TARA_031_SRF_<-0.22,27.16,34.835,5
TARA_032_DCM_0.22-1.6,23.4183,37.245,80
TARA_032_DCM_<-0.22,23.4183,37.245,80
TARA_032_SRF_0.22-1.6,23.36,37.2183,5
TARA_032_SRF_<-0.22,23.36,37.2183,5
TARA_033_SRF_0.22-1.6,21.9467,38.2517,5
TARA_034_DCM_0.22-1.6,18.4417,39.8567,60
TARA_034_DCM_<-0.22,18.4417,39.8567,60
TARA_034_SRF_0.1-0.22,18.3967,39.875,5
TARA_034_SRF_0.22-1.6,18.3967,39.875,5
TARA_034_SRF_<-0.22,18.3967,39.875,5
TARA_036_DCM_0.22-1.6,20.8222,63.5133,17
TARA_036_DCM_<-0.22,20.8222,63.5133,17
TARA_036_SRF_0.1-0.22,20.8183,63.5047,5
TARA_036_SRF_0.22-1.6,20.8183,63.5047,5
TARA_036_SRF_<-0.22,20.8183,63.5047,5
TARA_037_MES_0.1-0.22,20.8457,63.5851,600
TARA_037_MES_0.22-1.6,20.8457,63.5851,600
TARA_038_DCM_0.22-1.6,19.0284,64.5126,25
TARA_038_DCM_<-0.22,19.0284,64.5126,25
TARA_038_MES_0.1-0.22,19.0351,64.5638,340
TARA_038_MES_0.22-1.6,19.0351,64.5638,340
TARA_038_SRF_0.1-0.22,19.0393,64.4913,5
TARA_038_SRF_0.22-1.6,19.0393,64.4913,5
TARA_038_SRF_<-0.22,19.0393,64.4913,5
TARA_039_DCM_0.22-1.6,18.5839,66.4727,25
TARA_039_DCM_<-0.22,18.5839,66.4727,25
TARA_039_MES_0.1-0.22,18.7341,66.3896,270
TARA_039_MES_0.22-1.6,18.7341,66.3896,270
TARA_039_SRF_0.1-0.22,18.5918,66.622,5
TARA_039_SRF_<-0.22,18.5918,66.622,5
TARA_041_DCM_0.22-1.6,14.5536,70.0128,60
TARA_041_DCM_<-0.22,14.5536,70.0128,60
TARA_041_SRF_0.1-0.22,14.6059,69.9776,5
TARA_041_SRF_0.22-1.6,14.6059,69.9776,5
TARA_041_SRF_<-0.22,14.6059,69.9776,5
TARA_042_DCM_0.22-1.6,5.9998,73.9067,80
TARA_042_DCM_<-0.22,5.9998,73.9067,80
TARA_042_SRF_0.22-1.6,6.0001,73.8955,5
TARA_042_SRF_<-0.22,6.0001,73.8955,5
TARA_045_SRF_0.22-1.6,0.0033,71.6428,5
TARA_046_SRF_<-0.22,-0.6625,73.161,5
TARA_048_SRF_0.1-0.22,-9.3921,66.4228,5
TARA_048_SRF_0.22-1.6,-9.3921,66.4228,5
TARA_052_DCM_0.22-1.6,-16.9534,53.9601,75
TARA_052_DCM_<-0.22,-16.9534,53.9601,75
TARA_052_SRF_0.22-1.6,-16.957,53.9801,5
TARA_056_MES_0.22-3,-15.3379,43.2948,1000
TARA_056_SRF_0.22-3,-15.3424,43.2965,5
TARA_057_SRF_0.22-3,-17.0248,42.7401,5
TARA_058_DCM_0.22-3,-17.2855,42.2866,66
TARA_062_SRF_0.22-3,-22.3368,40.3412,5
TARA_064_DCM_0.1-0.22,-29.5333,37.9117,65
TARA_064_DCM_0.22-3,-29.5333,37.9117,65
TARA_064_DCM_<-0.22,-29.5333,37.9117,65
