,90% identity,95% identity,97% identity
TARA_145_MES,0.0022667657387656047,0.00037744958697511215,4.3432555213574545e-05
TARA_098_DCM,4.220432316922824,0.1630092326237637,0.0
TARA_146_SRF,2.080002706794901,0.20639311120697676,0.007612860659273733
TARA_148_SRF,2.2633901722107868,0.1456972715644668,0.005082462961551168
TARA_099_SRF,2.88551620760727,0.1405283867341203,0.002081902025690671
TARA_052_SRF,2.6411758205326556,0.10682580027258996,0.004604560356577154
TARA_041_SRF,3.248655847679179,0.19829329650273764,0.003946135253785823
TARA_082_SRF,3.3994138464941384,0.45620437956204374,0.004147312541473125
TARA_138_MES,2.245096289244561,0.23898772336923108,0.009916503044366434
TARA_110_DCM,2.4301157160953393,0.14921081467550534,0.0015542793195365138
TARA_056_SRF,3.5485073894526113,0.17369629644167925,0.007850680065160645
TARA_004_SRF,2.853254905403626,0.14705236820157147,0.0021948114656950967
TARA_068_DCM,4.408831908831909,0.20655270655270658,0.007122507122507122
TARA_066_DCM,3.057599594011672,0.15478304998731285,0.005074854097944685
TARA_109_MES,2.4311418559471285,0.17884053234562522,0.0163407593006155
TARA_072_SRF,3.8002212980273953,0.1767840563674056,0.0076309664619024
TARA_064_MES,2.738911321876859,0.34119009609666007,0.02660656712680377
TARA_067_SRF,4.7499384084749945,0.3547671840354767,0.0
TARA_112_MES,2.398787878787879,0.3284848484848485,0.03151515151515152
TARA_111_SRF,2.418353435624908,0.19277359522755097,0.0026050485841560946
TARA_123_SRF,2.817292989203466,0.2073583244520643,0.003475279180760854
TARA_065_DCM,2.0193304528683376,0.19510750230201096,0.010946625541696984
TARA_056_MES,2.4710715293674936,0.19860557977149904,0.022996435552489362
TARA_138_SRF,3.1056739312430794,0.12242656656494459,0.007201562739114388
TARA_112_SRF,2.8757297748123434,0.1359466221851543,0.006672226855713094
TARA_111_MES,2.2915155910079767,0.29603719660453015,0.017915795759928337
TARA_064_SRF,2.1712377874562594,0.04654945478282272,0.0021402048176010447
TARA_122_DCM,3.0483057265057543,0.20798447049286986,0.00319976108450569
TARA_072_MES,3.6340750365437713,0.21114178983271076,0.020302095176222185
TARA_137_DCM,1.9572005178585028,0.17092715287826094,0.011846436338097293
TARA_109_SRF,2.258913392794765,0.12730645925028916,0.0023287766936028504
TARA_150_SRF,2.4470717624415728,0.14879748985104077,0.0032347280402400167
TARA_145_SRF,2.2207427837747873,0.18783584573683962,0.0023776689333777166
TARA_146_MES,2.8133449265695534,0.4002048667770406,0.053598866086210804
TARA_033_SRF,3.9198430331534757,0.1428282886574141,0.005770839945754104
TARA_123_MIX,2.4763297851197623,0.21623168589167746,0.007949694334252848
TARA_151_DCM,2.2098492848228855,0.22847268887395603,0.01823941633867716
TARA_039_MES,2.160249367638417,0.16479726104397147,0.014052479623904546
TARA_094_SRF,1.7133017649591045,0.12288185340273158,0.0023480608930458264
TARA_102_MES,3.043455154209995,0.2604120533578983,0.012400573969423729
TARA_018_DCM,2.574874059761231,0.10437512939065625,0.005175626250776344
TARA_062_SRF,3.726377811309909,0.17532514191276857,0.004311273981461522
TARA_100_DCM,3.013392857142857,0.16304347826086957,0.0009704968944099379
TARA_078_DCM,3.037231682762857,0.2616341899009203,0.030713578814455855
TARA_133_MES,2.026572962294246,0.2890477617015764,0.015383494320251967
TARA_009_SRF,1.9616645580813232,0.2441877865295406,0.006121699383748929
TARA_076_DCM,3.9763883586385127,0.245220404687087,0.014683856568089045
TARA_125_SRF,1.935958493049909,0.09370039106361559,0.0015487667944399273
TARA_042_DCM,3.3586170400423354,0.1993296877756218,0.012347856764861529
TARA_007_DCM,3.1426289894644652,0.31941474974884726,0.0064398135030009525
TARA_142_DCM,2.6500219010074466,0.1443475490781667,0.00398200135388046
TARA_125_MIX,2.5099108653384845,0.25124359265712193,0.02020048986187915
TARA_093_DCM,1.442529413657375,0.13138279046321816,0.003753794013234805
TARA_084_SRF,2.1309002830798494,0.12705158591584875,0.0
TARA_038_SRF,4.512575197506704,0.14640863955932448,0.004348771472059143
TARA_085_DCM,2.3378729176248645,0.17228073184231246,0.0023386524684476805
TARA_140_SRF,2.9005035716445113,0.09674103633835178,0.006910074024167984
TARA_023_DCM,2.968879511717278,0.10172556702584583,0.0
TARA_030_DCM,1.4139737603973317,0.0842556048982281,0.0025340031548339277
TARA_038_MES,2.596455400773102,0.1805119976661075,0.005470060535336592
TARA_102_SRF,2.630339090284976,0.1426898380604951,0.0
TARA_034_SRF,3.6612038691393014,0.16018729591522396,0.001540262460723307
TARA_132_DCM,2.6144604861037926,0.1791513781243713,0.004790143800116879
TARA_036_DCM,2.611560347409404,0.13077767794748926,0.000998302885095338
TARA_025_DCM,3.0641933021067618,0.15269380764707097,0.0072220044157398425
TARA_128_SRF,2.913991048842187,0.181942012064604,0.005837711617046118
TARA_133_SRF,1.8921849481941582,0.07027924285829028,0.0020079783673797222
TARA_032_SRF,3.778247364349142,0.1512684611032205,0.0011547210771238208
TARA_141_SRF,3.6950693554027274,0.1463522037015451,0.001295152245146417
TARA_142_MES,2.464984987144681,0.21665258275049892,0.022474334310217732
TARA_004_DCM,2.1198723187282162,0.1543630255153001,0.0
TARA_085_SRF,1.9097509420090066,0.10476978218913703,0.0018380663541953865
TARA_041_DCM,2.7211508227649093,0.1467351430667645,0.0026202704119065085
TARA_132_SRF,2.974016192807381,0.15251365091319902,0.005648653737525889
TARA_102_DCM,2.4266486255519157,0.08011679247970374,0.0
TARA_052_DCM,2.8240076765133773,0.11349683756538965,0.006190736594475799
TARA_045_SRF,3.1226915047374337,0.14372892243455918,0.0056206841175525935
TARA_100_MES,2.294138798993168,0.1483279395900755,0.008090614886731391
TARA_078_MES,2.429014554998807,0.3185397279885469,0.023860653781913623
TARA_076_MES,2.3531146460353534,0.32352073828646766,0.032959217305323786
TARA_133_DCM,2.645927050024389,0.14091377161129479,0.0032518562679529567
TARA_128_DCM,3.0412621041183483,0.14806661687435302,0.002620648086271735
TARA_124_SRF,2.4016528696423864,0.11162416628534187,0.005546542424116366
TARA_031_SRF,3.050518186707768,0.11961242363669936,0.002408303831611396
TARA_132_MES,2.598001400970039,0.38127665611505684,0.030147456530027754
TARA_078_SRF,3.9905206024004283,0.221695589022246,0.008918788064113345
TARA_076_SRF,3.810329143764974,0.06790431897092926,0.005124854261956926
TARA_148b_MES,2.2517879680269246,0.23243584350021038,0.027345393352965923
TARA_100_SRF,2.153785862412436,0.17553599712610832,0.0032657859930438756
TARA_039_DCM,4.069898217398639,0.10403194061744361,0.0014058370353708597
TARA_142_SRF,2.6131847046461694,0.15715656265704234,0.0027411028370414366
TARA_037_MES,2.1636958472866943,0.14958646580260376,0.00868566575628022
TARA_124_MIX,2.041970699700209,0.23756999830307143,0.016262232026698343
TARA_085_MES,2.4949530413411742,0.39827086807688933,0.06363556569823577
TARA_093_SRF,3.1608228458622154,0.17946474639388024,0.0
TARA_070_SRF,5.3098643197653095,0.3006967363403007,0.004889377826671556
TARA_138_DCM,2.714008774614835,0.14575772151529728,0.0
TARA_110_MES,2.36805488706671,0.23628042110421715,0.005250676024538159
TARA_068_MES,2.1555682625496004,0.3162308745299856,0.019926877025177175
TARA_065_SRF,2.922215348549474,0.23931234330739426,0.004883925373620291
TARA_109_DCM,2.9508833236264804,0.20060829612373,0.0
TARA_048_SRF,2.5344811493477124,0.18380373207734116,0.005743866627416911
TARA_007_SRF,2.128557486877852,0.1846332392583019,0.0039564265555350414
TARA_137_SRF,2.4701155282304885,0.16539833432182507,0.0008353451228375004
TARA_122_SRF,2.42243668631388,0.13509387173484588,0.0018506009826691216
TARA_064_DCM,2.184247878663915,0.05392439428029528,0.00495856499129152
TARA_112_DCM,3.1585383059775194,0.11381272633212622,0.0047030052203357944
TARA_009_DCM,1.9424048325782428,0.11664844034786231,0.004166015726709368
TARA_098_MES,2.0617017252192613,0.31955878985774155,0.03782938945356443
TARA_150_DCM,2.537331041224256,0.08848215188593386,0.002528061482455253
TARA_042_SRF,3.040813612040476,0.2158854886071805,0.017393617565507433
TARA_149_MES,2.178605399868296,0.3082241896539109,0.024694519645862296
TARA_151_SRF,2.1207191084356953,0.10493776946229562,0.008134710811030668
TARA_018_SRF,2.155743286217759,0.11223932416961607,0.005237835127915417
TARA_152_MES,2.0724392142497368,0.2692430972114108,0.028389578277393655
TARA_025_SRF,2.129272429787298,0.14035035050060796,0.004503219802158544
TARA_036_SRF,3.8589477051015515,0.19670558132096594,0.004797697105389413
TARA_098_SRF,3.1986392300033186,0.17147914592322158,0.0013828963380904968
TARA_032_DCM,2.616607995976867,0.21372894141312546,0.012572290671360321
