sample	weighted_NSTI
Day01LowCrysWater3	0.013582855
Day21BHET2	0.050721311
Day21BHET3	0.04990867
Day21ExtractionControl	0.036185855
Day30NoC1	0.01590509
Day30NoC2	0.022706411
Day30NoC3	0.02015242
Day30LowCrysWater1	0.018335542
Day30LowCrysWater2	0.020181243
Day30LowCrysWater3	0.021248723
Day30LowCrys1	0.016580527
Day01LowCrys1	0.028688441
Day30LowCrys2	0.016186655
Day30LowCrys3	0.018859105
Day30PET1	0.035855229
Day30PET2	0.028167888
Day30PET3	0.02454252
Day30WeatherPET1	0.03259625
Day30WeatherPET2	0.035157516
Day30WeatherPET3	0.033247211
Day30BHET1	0.055719801
Day30BHET2	0.056622769
Day01LowCrys2	0.026572376
Day30BHET3	0.044826929
Day30ExtractionControl	0.034503389
Day42NoC1	0.021884792
Day42NoC2	0.025343285
Day42NoC3	0.025303497
Day42LowCrysWater1	0.025029029
Day42LowCrysWater2	0.020411764
Day42LowCrysWater3	0.027160351
Day42LowCrys1	0.017384647
Day01LowCrys3	0.022302064
Day42LowCrys3	0.022813317
Day42PET2	0.03727016
Day42PET3	0.016578496
Day42WeatherPET1	0.031026452
Day42WeatherPET2	0.038001351
Day42WeatherPET3	0.037353575
Day42BHET1	0.059969974
Day42BHET2	0.054362072
Day42BHET3	0.052354466
Day01PET1	0.021091676
Day42ExtractionControl	0.036235273
Day01PET2	0.018645444
Day01PET3	0.015990794
Day01WeatherPET1	0.022748249
Day01WeatherPET2	0.030527929
Day01WeatherPET3	0.028949904
Inoc2	0.056996178
Day01BHET1	0.057863943
Day01BHET2	0.055311356
Day01BHET3	0.058059189
Day01ExtractionControl	0.034736528
Day03NoC1	0.016736119
Day03NoC2	0.025457262
Day03NoC3	0.020212767
Day03LowCrysWater1	0.022191195
Day03LowCrysWater2	0.021496554
Day03LowCrysWater3	0.020440886
Inoc3	0.064843067
Day03LowCrys1	0.024271761
Day03LowCrys2	0.022758625
Day03LowCrys3	0.021616154
Day03PET1	0.02613199
Day03PET2	0.022550012
Day03PET3	0.024572476
Day03WeatherPET1	0.024372938
Day03WeatherPET2	0.032527137
Day03WeatherPET3	0.031114707
Day03BHET1	0.04830625
Inoc4	0.067333778
Day03BHET2	0.042955118
Day03BHET3	0.044098231
Day03ExtractionControl	0.028724971
Day07NoC1	0.024605833
Day07NoC2	0.025494841
Day07NoC3	0.021649672
Day07LowCrysWater1	0.018944067
Day07LowCrysWater2	0.022564565
Day07LowCrysWater3	0.020048277
Day07LowCrys1	0.021317361
Day01NoC1	0.021474684
Day07LowCrys2	0.021494319
Day07LowCrys3	0.022613554
Day07PET1	0.035472165
Day07PET2	0.026724745
Day07PET3	0.019448594
Day07WeatherPET1	0.021548908
Day07WeatherPET2	0.025627158
Day07WeatherPET3	0.027640438
Day07BHET1	0.045443871
Day07BHET2	0.047748004
Day01NoC2	0.025777477
Day07BHET3	0.044653637
Day07ExtractionControl	0.037482001
Day14NoC1	0.018825671
Day14NoC2	0.023892923
Day14NoC3	0.020761011
Day14LowCrysWater1	0.019323343
Day14LowCrysWater2	0.021912913
Day14LowCrysWater3	0.022263782
Day14LowCrys1	0.018372361
Day14LowCrys2	0.02514824
Day01NoC3	0.021613831
Day14LowCrys3	0.022010421
Day14PET1	0.025393471
Day14PET2	0.026377313
Day14PET3	0.017447967
Day14WeatherPET1	0.035460256
Day14WeatherPET2	0.027267209
Day14WeatherPET3	0.022575069
Day14BHET1	0.051266167
Day14BHET2	0.049085694
Day14BHET3	0.04572072
Day01LowCrysWater1	0.017655406
Day14ExtractionControl	0.042624079
Day21NoC1	0.017633773
Day21NoC2	0.024711211
Day21NoC3	0.020173619
Day21LowCrysWater1	0.019160951
Day21LowCrysWater2	0.01512929
Day21LowCrysWater3	0.017501156
Day21LowCrys1	0.018869219
Day21LowCrys2	0.021754506
Day21LowCrys3	0.021677056
Day01LowCrysWater2	0.018373198
Day21PET1	0.024533717
Day21PET2	0.026614416
Day21PET3	0.020835914
Day21WeatherPET1	0.030033299
MiSeqControl1	0.029671683
MiSeqControl2	0.015019294
MiSeqControl3	0.050991085
Day21WeatherPET2	0.027085206
Day21WeatherPET3	0.026739806
Day21BHET1	0.051639984
