Software Version,3.00.19,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Experiment File Path:,C:\Users\Public\Documents\Experiments\RW\Jan 2019\Plastics\Day 7.xpt,,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\RW_OD600.prt,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,,
Date,06/02/2019,,,,,,,,,,,,,
Time,11:25:45,,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,,
Reader Serial Number:,1607191D,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,,
Read,Absorbance Endpoint,,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,,
,Wavelengths:  600,,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,
Actual Temperature:,36.3,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,
,A,0.078,0.073,0.071,0.043,0.043,0.045,0.058,0.095,0.063,0.044,0.043,0.043,600
,B,0.074,0.065,0.074,0.05,0.044,0.044,0.086,0.073,0.097,0.061,0.041,0.041,600
,C,0.038,0.047,0.039,0.043,0.038,0.037,0.086,0.075,0.073,0.038,0.038,0.038,600
,D,0.046,0.048,0.043,0.054,0.054,0.055,0.077,0.08,0.073,0.043,0.051,0.046,600
,E,0.039,0.04,0.043,0.042,0.044,0.04,0.097,0.094,0.092,0.065,0.05,0.039,600
,F,0.044,0.044,0.045,0.044,0.044,0.044,0.043,0.043,0.043,0.044,0.043,0.043,600
,G,0.049,0.045,0.044,0.046,0.044,0.043,0.043,0.043,0.044,0.044,0.043,0.043,600
,H,0.043,0.043,0.046,0.043,0.043,0.044,0.045,0.045,0.045,0.045,0.043,0.044,600
