,0,1,3,7,14,21,30,42
BHET,6.20E-16,-0.018104,-0.0665037,-0.07881,-0.101033,-0.09943,-0.10775,-0.109657
LC,6.19E-16,0.220687,0.2151286,0.222629,0.218001,0.22694,0.20435,0.210951
LCW  ,4.49E-16,0.052187,0.0378544,0.046326,0.02384,0.03848,0.01833,0.005362
PET,7.16E-16,0.007456,-0.0005492,-0.006294,-0.016722,-0.01143,-0.02404,-0.019387
WPET,5.31E-16,0.010428,0.0003491,0.004416,-0.008526,-0.01309,-0.01167,-0.02106
