.wavelength,Control,Control,Control,Control,Control,Control,Control,Control,Control,Thioclava,Thioclava,Thioclava,Thioclava,Thioclava,Thioclava,Thioclava,Thioclava,Thioclava,Bacillus,Bacillus,Bacillus,Bacillus,Bacillus,Bacillus,Bacillus,Bacillus,Bacillus,Community,Community,Community,Community,Community,Community,Community,Community,Community
650,1.7967700643147901,2.0035096008132802,1.30907319160748,2.2028640415067597,2.09265984966481,1.46612273300975,2.10256788904911,1.50627053401714,1.65846191018162,2.0975809251712,1.7929296341052499,1.76933692901876,1.77714288458713,1.79258458988329,2.2406609258429504,2.32051690460619,1.6799910073350701,1.4347987546695602,1.5679537633838898,1.28400654022463,1.238723111785,1.74369266225231,1.6588150158392398,1.43101175655226,1.96541975791464,1.2474732221053602,1.07906516337151,1.66429169164798,1.60447044247855,1.5210187028008402,1.66874502060069,1.7264622124140099,1.5205635459246698,1.56278506654579,1.86638133504033,1.71552171817998
651,1.80524729243509,2.0017823446182703,1.32523023512375,2.21023752732562,2.09784287977743,1.47886267107461,2.1166313377353703,1.5085954270208302,1.6628736022177901,2.1067001977998103,1.8019940403610302,1.7619098082590101,1.7822757978309098,1.7896758650144602,2.2374103896952002,2.3418166040173,1.6823059619199898,1.42288723718793,1.5812223779194499,1.28380738609189,1.24808049901202,1.7565932297905902,1.6703756221576598,1.46719381044153,1.9810745009684199,1.2717495113716297,1.10626708751827,1.6801852910939699,1.62184524013441,1.54640742635201,1.67779748906232,1.7357534163006898,1.5228318126698703,1.57434221357748,1.87774464695472,1.7168260267229198
652,1.81460977730018,2.001320184477,1.34152765021816,2.21805271225701,2.10345737490016,1.4913716477715802,2.13121953669088,1.51213978375904,1.66781079785368,2.11630978508447,1.81152642587318,1.75700029858981,1.7882538004489699,1.7885621464087502,2.2353278257434197,2.36158773330771,1.68608611228237,1.41343614337253,1.5945181219375402,1.2848196962624099,1.25940772982588,1.7699730960607702,1.6830561464185199,1.5018852911224498,1.9973419674901298,1.2954401522932901,1.13257781343467,1.69568275530392,1.6389893628041898,1.57079086180728,1.6875828676138502,1.745900333485,1.5270992383628001,1.5856900340731899,1.88946664062618,1.71937711876556
653,1.8247836034445801,2.00212489843752,1.3579313983154602,2.2263356258624802,2.10953048650073,1.5036667892514899,2.1462572463938,1.5169000540605,1.6733449126533002,2.12643729619477,1.8215445205325,1.7545018004971102,1.79504196741224,1.78920812413165,2.23450340900857,2.37992055448718,1.6912508642992499,1.40654990354489,1.60784758602339,1.28713471037256,1.2725335140773302,1.78387308421734,1.6967440592762801,1.53495447985985,2.0142187875823603,1.3185656098766898,1.15802652032436,1.7108755003344198,1.6559022251956999,1.5941431396876398,1.6980549983955202,1.75688331414112,1.53333070971347,1.5968731228319197,1.9015281179446102,1.72318724909655
654,1.83570812836468,2.00420086822397,1.3743970490428101,2.23510907948287,2.11611549661769,1.51578380766942,2.16169882668287,1.52286752469753,1.6795242170119598,2.13711566662254,1.83202472726933,1.7543058973210401,1.80265131983758,1.79159162187879,2.23501035693897,2.3969352850466,1.69773639365509,1.4023297061543198,1.62124607249751,1.2908170490633302,1.28735593810398,1.79835753461146,1.71139679228057,1.5663328438334398,2.0316828049088,1.34120878300674,1.1826841864109798,1.7258662970615402,1.67261962848951,1.61651392024818,1.7091775866852599,1.76869766635007,1.5414840828782201,1.60797482934446,1.9139110883863601,1.7282491773192001
655,1.8473335690953299,2.00755706087257,1.39087940984857,2.24439219002649,2.12328687344163,1.52777270083101,2.1775279835601498,1.530033322168,1.68637355922456,2.14837865831341,1.8429097952217701,1.7563097906360599,1.81112624496569,1.79570327250054,2.23690394025265,2.41277057610059,1.7054946654266798,1.4008625508066397,1.6347736727268,1.2959009462498199,1.30382612290587,1.81350321080444,1.7270265426448401,1.5960198054208503,2.04970036888735,1.36350027208633,1.20665821374465,1.7407694359064299,1.68920700392246,1.6380172769341999,1.72092875789725,1.78135532196536,1.5515111236911399,1.61911062611909,1.9266006637469097,1.73454241836497
656,1.8596202308758798,2.01220985985446,1.40735379459131,2.25419501926128,2.13113329200628,1.53968794549148,2.19377045940117,1.53839612960004,1.6938809164904198,2.16024811122929,1.85410856584604,1.7604395566208402,1.8205293362698,1.80155325221173,2.24019791959709,2.4275575861244,1.7144968305716002,1.4021844987453702,1.64851326167409,1.30236721393387,1.32193298271827,1.8293801511289298,1.7436912053476799,1.62411669962766,2.06823061682397,1.38560117251865,1.23009241886662,1.7557080408307002,1.70575221947842,1.658830554564,1.73331730148195,1.7948945192357901,1.5633572708550598,1.6304191768851297,1.93959074796488,1.74203892040864
657,1.8725435591888002,2.01818419160993,1.42381966552249,2.26451763475907,2.1397522854158,1.55158790609994,2.21049225268866,1.5479666618290502,1.7019971626394201,2.17273238071262,1.8655051371909699,1.76665829205118,1.83093390353003,1.80916818507269,2.2448729548514903,2.44140868362763,1.7247411189633102,1.40627746584235,1.66256343415528,1.3101412334968998,1.34171315285425,1.84604163713655,1.76148991018127,1.6508298064173899,2.08723906072537,1.4076908638656598,1.2531559253790903,1.7708083224161801,1.7223631294823998,1.6791810067822799,1.74638454968604,1.80937980769356,1.57696921742399,1.64205558777742,1.9528842792679297,1.7507090875578202
658,1.8861073442941898,2.02551513149288,1.44031717677273,2.27534393628454,2.14922558393992,1.5635260809386498,2.22778948694546,1.5587843939355799,1.7106342493804898,2.18581627841387,1.87699215091366,1.77499917300502,1.84238511401387,1.81857829704746,2.2508992779966,2.4543657873909597,1.7362782640782402,1.41304947797919,1.6770058460386599,1.31908392927444,1.3632737056609698,1.8634831004291401,1.7805355742207598,1.67647651301533,2.10674685792333,1.4299132722002599,1.27599922008776,1.7861778659528798,1.7391534914428701,1.6992876417686102,1.76021236030554,1.82490296293219,1.5923226632241,1.65416037704299,1.9664935212294499,1.7605462294943701
659,1.90035492909652,2.03423901619298,1.4569256081925601,2.2866364367381804,2.15958369914044,1.57552986545874,2.2457833909819103,1.57091704951758,1.71966648350223,2.19945157908048,1.88849993749506,1.78558888907754,1.8548885239663202,1.82981817613134,2.25823011242318,2.46635376125091,1.7492177970992402,1.4223374990828601,1.69188136101753,1.3290027218782399,1.3867989763749,1.8816229459246,1.8009463578827802,1.7014383559535602,2.1268311514898,1.45232175027173,1.29870571414971,1.8018546450800401,1.75620695502909,1.71930413874955,1.7749118535530901,1.84156110184649,1.6094404648718201,1.66681106497837,1.98043882855967,1.7715702521220902
660,1.915392339614,2.04436150901316,1.47374685272548,2.29832222426203,2.17069186202805,1.5875328757378602,2.26458249409525,1.58445661003145,1.72894989968171,2.21353170127897,1.90009570312426,1.7987032584328402,1.8683613094833003,1.8429177578812501,2.2668012484957,2.47704091544468,1.7637359364882401,1.43394111090619,1.7071051469942098,1.33970836719774,1.41254941633205,1.90024786439026,1.82279492959678,1.72597127540874,2.1476298808040903,1.47469960340917,1.3211320418468,1.81765407807713,1.7734595279013703,1.7391175581175402,1.79057426480078,1.8593798040548102,1.62845017994345,1.6798684416158198,1.99473822026197,1.7838430497648101
661,1.9313564151752702,2.0557535953123103,1.49087056479409,2.3102300118119903,2.18197657426904,1.59915975164608,2.28410318834294,1.5994586120863798,1.73837820617395,2.2278098336447205,1.9121286974185903,1.8148682797235,1.8823939867178,1.85784925499432,2.2764447501731295,2.48549799478453,1.7800285036026,1.4476462994050199,1.72220379000501,1.35115616123584,1.44070553020477,1.9189211662318901,1.84586017216623,1.74969652890599,2.16936437278637,1.4961404531848201,1.34256122767875,1.83288884113732,1.7904454138905799,1.7578390917441002,1.80716575376334,1.8781838233209198,1.6497044979651898,1.6926085487606102,2.00936663377692,1.7974942692896598
662,1.9479813814523,2.06797892969493,1.50808617524306,2.32219231837573,2.19196572513021,1.60940207538964,2.30317270568621,1.61578350597731,1.74857491982389,2.24196027423497,1.9258750311725301,1.8343943147027,1.8955716914969,1.8741866581404099,2.28746684127585,2.49007454123384,1.7977199493903,1.46407677255355,1.73579434748074,1.36447787974327,1.46996330891917,1.9370167842859598,1.8683252551001999,1.7694780522043703,2.19245352192904,1.51412985213051,1.36096167599585,1.84622252925795,1.8056530495461398,1.77235670912869,1.82395185426901,1.89709535928427,1.67386849416805,1.7030978588732901,2.02407382206155,1.81287809648616
663,1.96232127338182,2.08250048888946,1.5226532547270102,2.33507605735312,2.20367419822733,1.62063722509032,2.32048080026239,1.6337021549460802,1.7610236004983402,2.25705243178289,1.93899043365188,1.8527393658090001,1.9098119242546396,1.89270455014394,2.30589058193636,2.49716379387386,1.81474462215801,1.49133000888594,1.75182987643788,1.38310460602121,1.4976261999853302,1.9587541565631499,1.8895410928878102,1.78614557968404,2.21837390213418,1.53416279609232,1.3817067498908302,1.86487869620729,1.8224707912229898,1.78784955180127,1.84023444683267,1.91771209682231,1.70061625864059,1.7178593860589702,2.03786757970889,1.8294193464919999
664,1.9776447801681498,2.10031995530025,1.53782409017592,2.35056389007194,2.2197609338458704,1.6346684028208998,2.33854051038464,1.6536302113981298,1.77596674603708,2.27498645254406,1.9535120280112,1.8703161108882702,1.9278999312600902,1.91365971680274,2.32953249743903,2.5084106422793098,1.83231169262674,1.5240672443761598,1.77162598133252,1.40487197248122,1.5254952798205599,1.9826267331129301,1.9116065975584497,1.8026838928681002,2.24567579262927,1.5575691185988798,1.40426864188758,1.88734014867233,1.8407748679246798,1.80531961323418,1.85780069826771,1.9398699545626297,1.7275872767192502,1.73609708639709,2.05257054551097,1.8477705317344901
