.wavelength	spc
650	2.099856991663
651	2.1177896365826
652	2.13536022773368
653	2.15267111636509
654	2.16980843303293
655	2.18683606118465
656	2.20376510819146
657	2.22055656451291
658	2.23712690399535
659	2.25333622071144
660	2.26897727171503
661	2.28377524831349
662	2.2981541047447
663	2.31540523382851
664	2.33563216589823
665	2.35839295289008
666	2.38221099048703
667	2.40765681967804
668	2.43261713416497
669	2.46020437206015
670	2.48733201274518
671	2.51602637918198
672	2.54546276296702
673	2.57407774930619
674	2.60375700667473
675	2.63086674530215
676	2.65665148644948
677	2.6801588717467
678	2.70248172754448
679	2.72441622234593
680	2.74715989563973
681	2.77037353016251
682	2.79277498153552
683	2.81650261320925
684	2.83775265549128
685	2.86185486860167
686	2.8869024391948
687	2.91534326621481
688	2.94863619772104
689	2.98552502069185
690	3.02772832745878
691	3.07459294900511
692	3.12610279975416
693	3.18353101966671
694	3.24477877440308
695	3.31150480350465
696	3.38057359843372
697	3.45059985358497
698	3.52300522640173
699	3.5910676111046
700	3.66063980552248
701	3.72589442259277
702	3.79187770272528
703	3.85648588241376
704	3.92233042956969
705	3.98912738879216
706	4.05808286036248
707	4.12852051201315
708	4.20447093804542
709	4.28118668470611
710	4.36652371560376
711	4.45203272616369
712	4.54680927900925
713	4.64051971731832
714	4.74477836959065
715	4.8439742522896
716	4.95062601351836
717	5.04705055381094
718	5.13597251278253
719	5.20418161318376
720	5.24802579018863
721	5.25047390224443
722	5.22652728443461
723	5.13533941999369
724	5.02906257304336
725	4.84424329127977
726	4.6471039227723
727	4.39622689536931
728	4.12419513777437
729	3.83112358547063
730	3.52284785320902
731	3.20992202933228
732	2.89755084709806
733	2.58715121649131
734	2.28644017246611
735	1.99620550578796
736	1.71841495835216
737	1.45824643369009
738	1.22089743461004
739	0.999041001468604
740	0.816525073016238
741	0.649228066210069
742	0.525478894278379
743	0.423253997073964
744	0.356989033314745
745	0.315023211619598
746	0.297321944316989
747	0.296122055912297
748	0.310567936861192
749	0.329524634224793
750	0.35978700663616
751	0.388566352145371
752	0.42506989580313
753	0.459377139027842
754	0.497593256135737
755	0.533696846247305
756	0.571098492848721
757	0.606870952132692
758	0.642562071751584
759	0.677708845264136
760	0.712437159804997
761	0.746902145777371
762	0.78053922835362
763	0.813681108306942
764	0.845673233829438
765	0.876953859729922
766	0.907835939816819
767	0.93868669416249
768	0.969671295390664
769	1.00103330800522
770	1.03245225983111
771	1.06356212477063
772	1.09441792908081
773	1.12496781660082
774	1.15540661389489
775	1.18572906904273
776	1.21641411831608
777	1.24618303053966
778	1.2771132561297
779	1.30706232003242
780	1.33853699432387
781	1.37192710965673
782	1.40620983552965
783	1.44718893106512
784	1.4887816389701
785	1.53764439771957
786	1.58657083950679
787	1.63557621871766
788	1.67946253658535
789	1.71665005263328
790	1.73708462509047
791	1.75417779862161
792	1.74376118857334
793	1.73783813167627
794	1.70783064601613
795	1.67908629259013
796	1.64495808119817
797	1.60778277753054
798	1.57774343509821
799	1.55006341755629
800	1.53169200448747
801	1.5226416890269
802	1.52076635561646
803	1.52601968895336
804	1.53714659110659
805	1.54717855754942
806	1.56145587496701
807	1.5721365944521
808	1.58362236821981
809	1.59460646897424
810	1.60520343185818
811	1.61616681859366
812	1.62756639492042
813	1.63867302565219
814	1.64975283312492
815	1.66089430629363
816	1.6719414677127
817	1.68358961265286
818	1.69637280150306
819	1.70937360950811
820	1.72542846447558
821	1.74142554407818
822	1.76054036819268
823	1.78055774867437
824	1.80175623563117
825	1.82442188831062
826	1.84776438235884
827	1.87235994090277
828	1.89811906606473
829	1.92524823009348
830	1.95334553798532
831	1.98321260089748
832	2.01335430302442
833	2.04504381960977
834	2.07716265153753
835	2.11038564281568
836	2.14414711202684
837	2.17943797113974
838	2.21416635403039
839	2.25009080734971
840	2.28387678194095
841	2.31594393534999
842	2.34377241056175
843	2.36685149172462
844	2.38170053007706
845	2.39264707780181
846	2.39011256193398
847	2.38708519216937
848	2.36936613970915
849	2.35172561427429
850	2.32626168544292
851	2.29941975328869
852	2.273038212026
853	2.24792458832067
854	2.22765588125293
855	2.21298848095946
856	2.20397668917047
857	2.20187121248039
858	2.20623810929873
859	2.21650833718655
860	2.23573802842519
861	2.26796422251782
862	2.30629584425178
863	2.37577489487669
864	2.44278042635622
865	2.54086382952401
866	2.62994638361943
867	2.72197895571181
868	2.79660037606296
869	2.85072171966475
870	2.86943771118067
871	2.86999595047997
872	2.81574149417227
873	2.7558652990513
874	2.64359273063871
875	2.52485426819958
876	2.39109050212808
877	2.24177202290072
878	2.11603891419601
879	1.98744171897638
880	1.89091984588033
881	1.80996780192182
882	1.75091822054531
883	1.70754109354268
884	1.67662982348383
885	1.65342953613646
886	1.63851037726065
887	1.62955430679618
888	1.62674455664557
889	1.62956561298265
890	1.63661487493343
891	1.64715771254114
892	1.65967951709788
893	1.67299412176209
894	1.68611534315217
895	1.69770423953899
896	1.70693831330619
897	1.71380071480489
898	1.71627591483616
899	1.71678729599491
900	1.71192180162865
901	1.70563912794788
902	1.69462897602247
903	1.68258539865773
904	1.66816224121208
905	1.65317431771531
906	1.63854545805643
907	1.62476332750959
908	1.61309821955252
909	1.60360393116387
910	1.59661638329853
911	1.59265408208689
912	1.59059571846543
913	1.5917982015514
914	1.59469028728263
915	1.60016233667441
916	1.60773093927376
917	1.61652112212703
918	1.6272004110857
919	1.63832534725168
920	1.65045444565416
921	1.66317509931954
922	1.67648439297667
923	1.69050343368356
924	1.70510949664195
925	1.72026153777703
926	1.73573928176969
927	1.75161996985088
928	1.76710379176023
