.wavelength,Bacillus,Community,Control,Thioclava
650,1.4684623326032045,1.650026637292538,1.7931444237960825,1.8783936172466003
651,1.4851515583634955,1.6615259514298215,1.8008114797031958,1.8807751002317379
652,1.502113334982851,1.6733976903157746,1.809056607247521,1.88423225234569
653,1.5193220390677955,1.685642041926772,1.817875001657762,1.8887731600120174
654,1.5367868894129788,1.6982771418625333,1.8272672219770891,1.8944112194138067
655,1.5545454617189944,1.7113380698386456,1.837239629896479,1.9011621660248919
656,1.5726584136266377,1.7248787501893967,1.847805294174702,1.9090350730240178
657,1.5912072249124178,1.7389705542319578,1.8589845910836844,1.918033124649141
658,1.6102797798722943,1.7536952348214445,1.8708048204427152,1.9281515356487635
659,1.6299499261047612,1.7691221449766903,1.8832929420912379,1.9393762528452148
660,1.6502042806644268,1.7852316805041868,1.8964485185765545,1.9516809935039368
661,1.6707343780444077,1.8017440970720715,1.910142991068006,1.9649630667182458
662,1.6902889641987902,1.81768864145279,1.9239041929748089,1.9790362304667835
663,1.7112494399663056,1.835434239309664,1.938007672597319,1.9956030791662798
664,1.7340471122543897,1.85501452478037,1.9543243911336532,2.0149662573586222
665,1.7591861951777692,1.8769840150386743,1.9737585155169646,2.0367476284909003
666,1.7841031904874778,1.899255219340077,1.994278464185172,2.0590326568995634
667,1.80995694188357,1.9237982162802245,2.018835908399158,2.0826468708489476
668,1.8365385395483997,1.949882027352281,2.0433029881671247,2.1066432828808135
669,1.8621649746048645,1.9767543549272277,2.071897847177959,2.1332466078276053
670,1.8908048702053557,2.0062134857282548,2.1015227614098158,2.161994145732771
671,1.9169298188424524,2.0343810875059187,2.1330883682115225,2.193676280546988
672,1.9448080646323591,2.063311176528892,2.166433059539998,2.2272759409614236
673,1.9698078050918169,2.0895491117291014,2.197873437114181,2.261364907975013
674,1.9936645425999988,2.114641317836778,2.229291094433397,2.2944328947982573
675,2.0160235943977542,2.1373150447047067,2.2568543842665916,2.32548641786821
676,2.037013734334189,2.1586186086232857,2.2822567051371414,2.3536895897601493
677,2.0586476632219015,2.179588129487029,2.305240827276649,2.379255886517638
678,2.0813460632188456,2.2009818188732275,2.327037259376704,2.4027084314203204
679,2.1050434284605033,2.2230749241209624,2.348402578019216,2.4258562438735245
680,2.1270949623145077,2.24396192108349,2.369181086305389,2.4460277852752896
681,2.150071120909816,2.265102662857743,2.389996846178837,2.4672567537396515
682,2.168900406281698,2.283261491006673,2.408091665186335,2.4841310979893607
683,2.1889999751890734,2.301694754439122,2.427220479118314,2.501277223379422
684,2.2100713631250266,2.3215886170174924,2.4448959942231108,2.519567818601411
685,2.23171562094799,2.342542643860977,2.4644367350641523,2.5373797815432235
686,2.257049798052539,2.3667226845258087,2.486844989549394,2.562016534870189
687,2.284271768159742,2.3937495961197466,2.5120130708074466,2.5885760628875834
688,2.31484096487549,2.423594611085422,2.5422341014830443,2.621832736474655
689,2.348960976241815,2.4569931948281534,2.57615061028261,2.659375465225699
690,2.387685257460203,2.4946876258451045,2.614748916387899,2.701976514191794
691,2.4316855762258967,2.537488528915789,2.657811532277693,2.74936813135016
692,2.4810758184050257,2.5855684617211043,2.705587879542693,2.8015487064673668
693,2.536898344580935,2.6405616292904277,2.759684609087205,2.859016713206102
694,2.596168657637942,2.699265649900672,2.818357813657161,2.91986993776794
695,2.6604386079937012,2.7639433923253813,2.883825405558365,2.9867431378758593
696,2.726033384676722,2.830511722093114,2.951901200973743,3.0546588142150815
697,2.794001563439306,2.899719686295411,3.0236195759771944,3.1263826669329546
698,2.8633844880581343,2.970732114229952,3.096482422956822,3.199119256506407
699,2.932340191596541,3.0407083920727396,3.1689471992483624,3.270246904392411
700,3.003759257197956,3.112872162979446,3.2422105704200086,3.342795300516295
701,3.07249326875354,3.181792559447577,3.3130503014471704,3.4109736617009876
702,3.1418829293070605,3.251319420419268,3.3843134788279157,3.4797013111935504
703,3.2083437376754222,3.3178148622894224,3.4527585171878727,3.544711158384462
704,3.273424149354616,3.3833171329430245,3.5202467709201724,3.6088978369355624
705,3.3371313126407065,3.447673069449133,3.585863080922975,3.6715012730445022
706,3.400720938773906,3.5122034439391405,3.6500630303540067,3.7340757004752336
707,3.464646830191386,3.5775001507721678,3.7142497084377357,3.7974309664110795
708,3.530629613093721,3.64585040873557,3.7805625248397927,3.86569132419271
709,3.598091321073772,3.715868629547634,3.847607184820371,3.935301579416882
710,3.6699474922383777,3.7925086981216185,3.9229346054178253,4.014574732704683
711,3.741716414533629,3.868928713620191,3.9973863424193876,4.093694401917538
712,3.8221629877430456,3.9567079181364875,4.0844093890621185,4.185285582240179
713,3.89921159042535,4.041104859229387,4.168580771304594,4.27479313037659
714,3.9870128592685097,4.138699094705585,4.265749674820568,4.377855074342967
715,4.069514781072778,4.230699870715396,4.358026023773375,4.476320535122334
716,4.158173864449578,4.33003238390646,4.458372973484893,4.583190349631725
717,4.2388505191447905,4.419886658207255,4.55008785132392,4.680909712551162
718,4.313603508506356,4.502161508190023,4.635204499877541,4.771454456111357
719,4.372371285706165,4.564894452055562,4.7014416117310915,4.842039560594257
720,4.412737317854311,4.605772705393229,4.74601071224452,4.889872276234583
721,4.420942991533244,4.608056945264319,4.752401633502544,4.897969741029382
