Group,Day00Inoc,Day01NoC,Day03NoC,Day07NoC,Day14NoC,Day21NoC,Day30NoC,Day42NoC,Day01BHET,Day03BHET,Day07BHET,Day14BHET,Day21BHET,Day30BHET,Day42BHET,Day01LowCrys,Day03LowCrys,Day07LowCrys,Day14LowCrys,Day21LowCrys,Day30LowCrys,Day42LowCrys,Day01LowCrysWater,Day03LowCrysWater,Day07LowCrysWater,Day14LowCrysWater,Day21LowCrysWater,Day30LowCrysWater,Day42LowCrysWater,Day01PET,Day03PET,Day07PET,Day14PET,Day21PET,Day30PET,Day42PET,Day01WeatherPET,Day03WeatherPET,Day07WeatherPET,Day14WeatherPET,Day21WeatherPET,Day30WeatherPET,Day42WeatherPET
ASV000031,0.355831601,0.151086214,0.325798785,0.104448088,0.127269009,0.122292019,0.086300247,0.041560021,0.001245128,0.001082005,0,0,0,0,0.005472555,1.573760795,1.199529588,1.540394189,1.17834589,1.072607023,0.623718258,0.228037936,1.57731462,1.832391903,1.523366517,0.718493832,0.263270337,0.105175403,0.037450865,0.719394626,0.530688251,0.197843373,0.28349782,0.170276446,0.200346613,0.119400859,0.790064501,0.456965869,0.310299757,0.236554629,0.237790371,0.121122962,0.048355332
ASV000011,0.012295586,0.175680195,4.346923697,3.646344726,3.365715127,2.717623418,2.0320352,2.216297748,0.001245128,0,0.001380948,0,0.005218558,0,0,0.317329577,2.597393646,2.079629805,3.296066501,2.290150328,3.856727402,2.515217308,0.183155991,2.765063748,2.207287022,3.104641659,3.699269134,3.091663312,3.193354385,0.193157237,3.586836078,2.20488174,2.054618774,1.514605254,1.495954644,0.964096065,0.194022121,3.417636414,2.327790393,1.90023088,1.913389396,1.839027708,1.266930258
ASV000081,0.149035347,0.063621706,0.099884874,0.057828029,0.040737647,0.062980079,0.022781716,0.016156295,0.002606339,0.001082005,0,0,0.00513268,0,0,0.254215685,0.189107611,0.251233854,0.21208337,0.276654513,0.17716284,0.038058576,0.352150843,0.271803073,0.264268258,0.152115764,0.048344341,0.043190835,0.018486093,0.256819392,0.234995039,0.094906185,0.120235912,0.052948886,0.03460343,0.085285006,0.297963755,0.173653246,0.147474205,0.087994977,0.076335781,0.044105538,0.032121348
ASV000003,0.028768938,17.27764931,13.29598118,13.2575705,12.36594349,11.93258108,13.91807108,8.30826449,0.005328761,0.001822589,0.001958825,0.001759944,0.007015328,0.003598061,0.009655955,2.228438392,4.463514648,3.938164154,2.576220457,5.507526641,10.21996655,8.327321998,11.92081359,4.709174316,5.765990735,9.939950599,13.40459668,16.9661949,11.22442186,7.394779274,4.218785314,4.073584857,7.796222034,8.455988348,6.199380919,7.593062199,3.209419984,1.74174905,1.975734864,2.973521969,4.42236676,3.282451716,2.652055453
ASV000006,0.467838894,3.011177059,3.106223782,2.602898585,4.191987828,4.287202088,5.898933682,5.004790349,0.004956781,0.004311895,0.003011679,0.004550745,0.005218558,0,0.002736278,7.437316747,6.14055621,3.957268354,2.176484138,2.393870506,3.979922767,2.320426041,2.21499117,2.191192634,1.754737723,2.62187588,3.877409096,4.362841332,4.503040272,6.722253317,5.760300511,2.878687856,4.09983672,4.12492265,3.308674986,4.632912552,4.088820951,3.590619148,2.479673258,3.40662972,2.87465768,3.038091202,3.490515229
ASV000019,0.211000433,0.937601585,0.964477781,1.042038391,1.508420787,1.15359853,1.371871521,1.769139232,0.002722422,0,0.010269104,0.001701375,0,0,0,0.565511971,0.491909328,0.511220713,0.196590497,0.181237957,0.410252873,0.268608205,1.029055823,0.956537471,0.905291913,1.357882759,1.451499439,1.639720704,1.857670371,1.993720957,1.969852019,1.487501753,1.85552315,1.717807031,1.255737319,0.926647922,1.175869708,1.659642151,0.938046636,1.305792812,1.476944001,1.231529727,1.403281318
ASV000012,0.803824772,2.577596384,2.047128899,2.006680174,2.655500865,2.766129329,3.086594021,3.053064029,0.005444844,0,0.001052853,0.004492176,0.001818909,0.0035486,0,0.828229323,0.621354837,0.610803983,0.218983028,0.270456014,0.493665871,0.341497597,1.0260663,1.004657188,0.779619046,0.945266994,1.429459868,1.794987281,1.770410447,2.429231459,2.160991909,1.473759043,1.824725298,1.61130855,1.14989,0.781665572,1.434799102,1.684261815,1.100115328,1.470460468,1.27750712,1.15836892,1.471870545
ASV000042,0.028851108,0.014402058,0.118246547,0.317302378,0.624136811,0.648369706,0.517385905,0.539738449,0.007516516,0.006385914,0.011943814,0.013786705,0.003637819,0.00987211,0.002736278,0.002480296,0.155841158,0.159838205,0.095172379,0.238816775,0.479622296,0.512860948,0.004503693,0.110284006,0.32407331,0.813133614,0.907079623,1.172769612,1.589190438,0.003322701,0.167694505,0.279121186,0.546306493,0.573159984,0.377849519,1.138396389,0.011153571,0.204421164,0.535489972,0.566466331,0.579293328,0.562499988,0.508339696
ASV000002,5.763699962,2.722584286,5.217979267,2.058187799,1.370426603,1.849874594,1.434091965,0.50823344,0.390012729,0.097908999,0.157600384,0.090085681,0.218780192,0.224607466,0.220918163,19.92026894,16.86139071,23.26627105,18.00031494,16.02041665,4.189382713,1.970864849,24.27939043,25.04715664,23.6002948,10.1915458,2.828614744,1.045232278,0.643112438,13.19728809,10.61846695,4.460859399,3.717753003,3.498382903,3.247279748,2.838160093,13.56332149,9.977445919,6.719662459,3.838671146,3.947180018,2.84381363,1.626601928
ASV000010,0.023769033,2.813173094,3.223889014,3.481166705,2.407766951,1.354852993,0.909875701,1.040787228,0.022094983,0.054785707,0.078871233,0.030531514,0.059677245,0.063397874,0.01392714,1.256829732,3.183237948,1.507383852,1.085000502,2.076773805,7.829149406,1.691115188,2.448194721,3.436791633,3.136732317,3.61527341,2.999379733,1.764306158,1.344810852,1.106763924,2.689024029,5.519539678,3.085459396,2.690161533,1.913203581,1.039754457,1.91232474,3.099134549,2.707306295,1.966970407,1.894326633,1.581259474,1.243820004
ASV000023,0.018387621,0.967067433,1.256337776,0.966143032,1.305764027,0.922160231,0.511108218,0.405385671,0.058026194,3.85181381,2.017339556,0.680955254,1.576050074,2.354702313,2.1177384,0.801166195,0.447618499,0.427549721,0.641142858,0.935195832,0.722200357,1.050401436,0.025527657,0.049241951,0.075760395,0.094841478,0.056027031,0.079040909,0.09138641,0.001730074,0.015713052,0.001729446,0,0,0.006781653,0.012607161,0.026510235,0.018042041,0.019434844,0.026181657,0.042674237,0.030761836,0.020875861
ASV000045,0.006282788,0.072675341,0.172133521,0.121439514,0.088632189,0.101259822,0.087755176,0.068574497,0.002443652,0.090701875,0.069704059,0.12288928,0.0931785,0.136956935,0.154602981,0.287497012,0.322844505,0.625854709,1.933015013,1.297781471,1.41865388,1.62977578,0.074121481,0.135569593,0.118153507,0.063772391,0.064562536,0.07260068,0.058103657,0.032856357,0.143742458,0.148858448,0.090954762,0.191800916,0.189176733,0.251779134,0.070038714,0.110752466,0.193626223,0.117581145,0.176610307,0.133078285,0.089063319
ASV000122,0.112450859,0.024270245,0.043693977,0.024404025,0.030703867,0.057456828,0.037257686,0.038053898,0.15297445,0.030215518,0.039680525,0.015177903,0.049414561,0.059643737,0.022278925,0.033591005,0.045970634,0.069090777,0.049240525,0.077194024,0.070906589,0.090314301,0.027175236,0.021947751,0.010567697,0.036040641,0.023513438,0.04736653,0.029677524,0.034333607,0.030019846,0.008924001,0.004931012,0.017263277,0.025148726,0.044868657,0.030806749,0.007761198,0.019777463,0.010231008,0.01222109,0.006050705,0.004467598
ASV000046,0.002049264,0,0.080617068,0.319683304,0.266075441,0.359614175,0.539471026,0.555827954,0.001245128,0.004727184,0.110280364,0.122444635,0.195790285,0.205995863,0.230795066,0.001140693,0.166395435,0.332038076,1.350917673,1.38197094,0.533265746,1.309890418,0.011730611,0.046383132,0.17676735,0.16925603,0.260595209,0.45025758,0.47177065,0.00688769,0.042657769,0.165579424,0.157772722,0.294474865,0.211411172,0.14869415,0.011017585,0.06769814,0.228096787,0.186898639,0.282698788,0.228757001,0.324606469
ASV000069,0.015571975,0.022431744,0.114470422,0.230844195,0.28033718,0.274277855,0.320121294,0.462136691,0.003920945,0.007142623,0.002105706,0.003402749,0.005240696,0.005606975,0.003897496,0.001140693,0.012074637,0.02746515,0.020015745,0.023349143,0.056292864,0.111213987,0.019236766,0.104829256,0.218916367,0.425549804,0.492853869,0.604623843,0.986623464,0.004984051,0.128246521,0.241713658,0.260006551,0.339579953,0.124226745,0.16538028,0.025817505,0.175381122,0.329626095,0.336352159,0.377986306,0.270351994,0.375018791
ASV000116,0.035900277,0.040019988,0.05930028,0.051063045,0.029204077,0.05613032,0.035156521,0.060889889,0.043075747,0.014449105,0.037290704,0.032182723,0.014011194,0.020723447,0.013194778,0.064804345,0.072646503,0.042409303,0.043270041,0.041158659,0.067315539,0.031688562,0.050823676,0.062206353,0.104771443,0.084849181,0.119477578,0.0700537,0.088282025,0.048123034,0.062324483,0.079095353,0.107270568,0.050956669,0.029386405,0.030777393,0.068878515,0.063826848,0.065783498,0.071065905,0.063048504,0.037430669,0.020356898
ASV000008,0.392715425,0.418215562,0.808314016,1.00400472,1.158035779,1.206225033,1.100417332,0.848781887,3.212067077,1.927240222,2.493665061,1.124254052,1.069193657,0.812025255,0.835012097,1.444855194,3.1449116,4.506569491,11.38043307,5.0609899,5.46757086,15.06391803,0.479372583,0.901034714,1.098612746,1.92052075,1.596500985,1.828151829,1.945987905,0.517821222,1.576490854,2.12005017,2.773177023,3.338502953,4.046762338,10.57069711,0.736433987,1.075953664,1.905949085,1.917575524,1.8958253,2.457910273,1.845554102
ASV000113,0.06797495,0.070481418,0.055211386,0.080676582,0.090192889,0.095148393,0.091912315,0.067490166,0.007841891,0.008623791,0.00381475,0.008624011,0.008986531,0.014960396,0.016949322,0.041857692,0.043939979,0.023366476,0.014207291,0.031856391,0.025958739,0.042847963,0.080473429,0.050529581,0.038558012,0.055623154,0.059635052,0.033666569,0.056958845,0.077154554,0.083774625,0.075089818,0.100438102,0.080263891,0.089382078,0.051912746,0.067159487,0.069843838,0.100718662,0.090638301,0.033029813,0.089160329,0.100585836
ASV000017,0.604584522,1.118796859,1.088274007,0.841622274,0.556579708,0.717668642,0.598982236,1.120984832,0.059910586,0.078945129,0.079733027,0.087429872,0.126630127,0.135169942,0.169513405,0.799105071,0.975931273,0.674615611,0.477692757,0.736697125,1.119165726,1.36279465,0.91957354,1.164764298,1.128130689,1.068078888,1.311508038,1.113349457,2.000701733,1.323995338,1.355532564,0.997809184,0.951154228,0.894408341,1.017713554,1.091654862,1.66893852,1.701783075,1.302175834,1.063043026,1.070266968,1.0843491,1.574225157
ASV000029,0.368206424,0.700897874,0.593702669,0.471302222,0.352555629,0.397632901,0.307415113,0.701479863,0.042958804,0.053872083,0.053602557,0.058213134,0.079017689,0.068585082,0.125121059,0.541657035,0.476158302,0.400613521,0.299978366,0.37537647,0.534291316,0.736299511,0.497461873,0.563626078,0.640664003,0.684671409,0.743906757,0.690776153,0.983377318,0.801988102,0.783902448,0.793234514,0.534196254,0.502926344,0.604448485,0.680799029,0.892488478,0.96805274,0.711756562,0.682917723,0.581804775,0.654989509,0.931632506
