ASV1.Vibrio,ASV2.Alteromonas
1231.7225,883.90534
ASV3.Bacillus,ASV4.Vibrio
645.99553,963.53775
ASV5.Sediminibacterium.salmoneum,ASV6.Pseudoalteromonas
-661.41676,619.65837
ASV7.Sunxiuqinia,ASV8.Alcanivorax
128.24191,781.83179
ASV9.Thiobacimonas.profunda,ASV10.Thalassospira.lucentensis
793.76336,604.10102
ASV11.Methylophaga,ASV12.Pseudoalteromonas
333.05507,494.48798
ASV13.Vibrio,ASV14.Thalassospira
738.92941,459.18703
ASV15.Alcanivorax,ASV16.Thalassospira
704.6681,592.64548
ASV17.Vibrio.alginolyticus,ASV18.Halomonas
672.16598,600.24222
ASV19.Catenococcus,ASV20.Pseudomonas
412.8589,-206.64758
ASV21.Pseudoalteromonas,ASV22.Thalassospira
-845.55615,360.34183
ASV23.Shewanella,ASV24.Beijerinckiaceae
137.78463,-822.13171
ASV25.DSSD61,ASV26.Exiguobacterium
-764.48961,-943.35003
ASV27.Rhizobiales_Incertae_Sedis,ASV28.Roseivirga
-887.4862,-45.67085
ASV29.Vibrio.alginolyticus,ASV30.Pedomicrobium
596.56958,-820.87779
ASV31.Alteromonas,ASV32.Reyranella
304.86236,-941.74629
ASV33.Paucibacter,ASV34.Oricola.cellulosilytica
-866.94363,-639.29211
ASV35.Sphingomonas,ASV36.Lysobacter.maris
-989.9094,-1048.22514
ASV37.Leptothrix,ASV38.Nitrospira
-939.39611,-837.04098
ASV39.Catenococcus,ASV40.Exiguobacterium
65.74736,-998.5886
ASV41.Asinibacterium,ASV42.Tistlia
-986.1145,280.19579
ASV43.Azomonas,ASV44.Aquabacterium
-452.77824,-874.7081
ASV45.Rhizobiaceae,ASV46.Maritimibacter
269.98141,190.26002
ASV47.Afipia,ASV48.Catenococcus
-970.62355,232.22279
ASV49.Halomonadaceae,ASV50.Xanthobacteraceae
391.28659,-1003.72997
ASV51.Hyphomicrobium.facile,ASV52.env.OPS_17
-974.56043,-1059.59122
ASV53.Vibrionaceae,ASV54.Oricola
-180.89375,-817.75423
ASV55.Catenococcus,ASV56.Sphingomonas
-598.35474,-817.10871
ASV57.Chitinophagaceae,ASV58.Caulobacteraceae
-977.29687,-957.81972
ASV59.Piscinibacter,ASV60.Nevskia
-938.44004,-875.71782
ASV61.Ferruginibacter,ASV62.Halomonas
-1037.17465,-737.62665
ASV63.Vibrionaceae,ASV64.Parvibaculum
-121.2801,-306.96557
ASV65.Catenococcus,ASV66.Bryobacter
-1029.19795,-917.61228
ASV67.Bradyrhizobium,ASV68.Turneriella
-978.41746,-1062.43558
ASV69.Alphaproteobacteria,ASV70.Catenococcus
125.09041,-962.18781
ASV71.Hyphomonas,ASV72.Marinobacter
-142.0349,394.82324
ASV73.Catenococcus,ASV74.Micropepsaceae
-1000.16304,-1003.21823
ASV75.Vibrionaceae,ASV76.Aestuariibacter.aggregatus
-318.8692,-577.02342
ASV77.Vibrio.pacinii,ASV78.Catenococcus
335.26744,-840.44222
ASV79.Sediminibacterium,ASV80.Labrenzia.aggregata
-1035.34808,88.83526
ASV81.Alteromonas,ASV82.Pelomonas
160.70562,-1048.03254
ASV83.Methylobacterium,ASV84.Catenococcus
-988.9452,-5.89972
ASV85.Hyphobacterium,ASV86.Vibrionaceae
-451.18217,235.97024
ASV87.Stappia,ASV88.Vibrio
-110.42345,256.36064
ASV89.Vibrio,ASV90.Xanthobacteraceae
357.83384,-1027.72685
ASV91.Gemmatimonadaceae,ASV92.Marinobacter
-1048.19685,255.92718
ASV93.Burkholderiaceae,ASV94.Alteromonas
-948.58315,-197.06417
ASV95.Rhizobiaceae,ASV96.Bacillaceae
211.99797,-1184.12312
ASV97.Catenococcus,ASV98.Gammaproteobacteria
268.60997,-721.3547
ASV99.Pseudoalteromonas,ASV100.Vibrio
-430.11184,243.02832
ASV101.Fimbriimonadaceae,ASV102.Vibrio
-1044.22294,-72.6211
ASV103.Maritimibacter,ASV104.Acidibacter
-38.19895,-1073.15933
ASV105.Marinobacter,ASV106.Pseudooceanicola
193.79229,43.77597
ASV107.Sulfuritalea,ASV108.Acinetobacter
-1082.97115,-988.5326
ASV109.Bacillaceae,ASV110.Catenococcus
-849.89498,127.60033
ASV111.Catenococcus,ASV112.Vibrio
-48.96647,-508.3958
ASV113.Catenococcus,ASV114.Vibrio
237.78144,-251.10845
ASV115.Gemmata,ASV116.Vibrio
-1057.30476,230.66981
ASV117.Nitratireductor,ASV118.Shewanella
-198.76353,-178.96763
ASV119.Subgroup_2,ASV120.Catenococcus
-947.75066,-555.98493
ASV121.Novosphingobium,ASV122.Halomonas
-1088.08782,120.31208
ASV123.Thalassospira,ASV124.Stakelama
-187.66113,-839.77045
ASV125.Pelagibacterium.halotolerans,ASV126.Azomonas
-270.74075,-877.88636
ASV127.Bryobacter,ASV128.Catenococcus
-1047.63736,-446.31215
ASV129.Isosphaeraceae,ASV130.Thalassospira
-1039.09101,-91.31828
ASV131.Obscuribacterales,ASV132.Catenococcus
-997.79612,-141.60157
ASV133.Reyranella,ASV134.Hyphobacterium
-1141.38602,-538.90499
ASV135.Escherichia.Shigella,ASV136.Hyphomonas
-1214.47603,-404.2911
ASV137.Polymorphum,ASV138.Vibrionaceae
-115.41452,-304.22534
ASV139.Catenococcus,ASV140.Methyloligella
-710.11156,-690.07428
ASV141.Sunxiuqinia,ASV142.Alteromonas
-1205.41664,-311.95844
ASV143.Bryobacter,ASV144.Solibacteraceae_.Subgroup_3.
-1082.27625,-1049.12483
ASV145.Tenacibaculum.litoreum,ASV146.Vibrio
-984.90946,26.94989
ASV147.Halomonadaceae,ASV148.Parvibaculum
-946.76275,-502.01541
ASV149.Galbitalea,ASV150.Rhodobacteraceae
-899.97842,-1012.66663
ASV151.Ochrobactrum,ASV152.Catenococcus
-1160.7842,-439.38842
ASV153.Mesoflavibacter.zeaxanthinifaciens,ASV154.Rheinheimera.aquimaris
-658.73862,-306.33966
ASV155.Cutibacterium,ASV156.Catenococcus
-1042.31033,-148.40021
