ASV000333,ASV333: $Desulforhopalus$
ASV000334,ASV334: $Fibrella$
ASV000339,ASV339: $Tistlia$
ASV000342,ASV342: $Thalassobaculum$
ASV000343,ASV343: $Rhodobacteraceae$
ASV000344,ASV344: $Stakelama$
ASV000346,ASV346: $Acinetobacter$
ASV000348,ASV348: $Psychrobacter$
ASV000350,ASV350: $Marinobacterium$
ASV000351,ASV351: $Rhodobacteraceae$
ASV000356,ASV356: $Hyphomicrobium$
ASV000357,ASV357: $Filomicrobium$
ASV000364,ASV364: $Catenococcus$
ASV000367,ASV367: $Thalassospira$
ASV000368,ASV368: $Kinneretia$
ASV000371,ASV371: $Flavobacteriaceae$
ASV000373,ASV373: $Marinobacterium$ $stanieri$
ASV000374,ASV374: $Chitinophagaceae$
ASV000376,ASV376: $Thiobacillus$ $thioparus$
ASV000379,ASV379: $Catenococcus$
ASV000380,ASV380: $Xanthobacteraceae$
ASV000381,ASV381: $Tenacibaculum$ $mesophilum$
ASV000382,ASV382: $Aquamicrobium$
ASV000387,ASV387: $Oricola$
ASV000398,ASV398: $Acinetobacter$
ASV000400,ASV400: $Desulfobulbaceae$
ASV000402,ASV402: $Thalassospira$
ASV000406,ASV406: $Nitratireductor$
ASV000410,ASV410: $Thalassospira$
ASV000413,ASV413: $Stappiaceae$
ASV000418,ASV418: $Thalassobaculum$
ASV000425,ASV425: $Roseovarius$
ASV000427,ASV427: $Alphaproteobacteria$
ASV000428,ASV428: $Marinobacterium$
ASV000430,ASV430: $Burkholderiaceae$
ASV000432,ASV432: $Rhodobacteraceae$
ASV000433,ASV433: $Oricola$
ASV000436,ASV436: $Alphaproteobacteria$
ASV000437,ASV437: $Mesoflavibacter$
ASV000439,ASV439: $Xanthobacteraceae$
ASV000440,ASV440: $Vibrionaceae$
ASV000442,ASV442: $Catenococcus$
ASV000447,ASV447: $Marinomonas$
ASV000449,ASV449: $Thiobacimonas$
ASV000456,ASV456: $Lutibaculum$
ASV000460,ASV460: $Catenococcus$
ASV000461,ASV461: $Hyphomicrobiaceae$
ASV000463,ASV463: $Vibrionaceae$
ASV000467,ASV467: $Hoeflea$
ASV000469,ASV469: $Alphaproteobacteria$
ASV000473,ASV473: $Pseudooceanicola$
ASV000477,ASV477: $Antarctobacter$ $heliothermus$
ASV000482,ASV482: $Amb-16S-1323$
ASV000485,ASV485: $Filomicrobium$
ASV000486,ASV486: $Pseudonocardiaceae$
ASV000487,ASV487: $Chitinophagaceae$
ASV000495,ASV495: $Rhodobacteraceae$
ASV000496,ASV496: $Stappia$
ASV000498,ASV498: $Thermopetrobacter$
ASV000500,ASV500: $Burkholderiaceae$
ASV000501,ASV501: $Thalassospira$
ASV000505,ASV505: $Aquabacterium$
ASV000507,ASV507: $Burkholderiaceae$
ASV000509,ASV509: $Thalassospira$
ASV000515,ASV515: $Thioclava$ $dalianensis$
ASV000517,ASV517: $Vibrio$
ASV000526,ASV526: $Rhizobiaceae$
ASV000528,ASV528: $Martelella$
ASV000529,ASV529: $Catenococcus$
ASV000533,ASV533: $Martelella$ $endophytica$
ASV000535,ASV535: $Celeribacter$
ASV000537,ASV537: $Cucumibacter$
ASV000539,ASV539: $Marinobacterium$
ASV000543,ASV543: $Sedimentitalea$
ASV000545,ASV545: $Thalassospira$
ASV000551,ASV551: $Fodinicurvataceae$
ASV000552,ASV552: $Maritalea$
ASV000553,ASV553: $DSSD61$
ASV000561,ASV561: $Marinobacterium$
ASV000570,ASV570: $Methylocella$
ASV000572,ASV572: $Halomonadaceae$
ASV000576,ASV576: $Afipia$ $birgiae$
ASV000578,ASV578: $Halomonadaceae$
ASV000587,ASV587: $Amorphus$
ASV000599,ASV599: $Thalassobaculum$
ASV000601,ASV601: $Neptunomonas$
ASV000602,ASV602: $Burkholderia-Caballeronia-Paraburkholderia$
ASV000603,ASV603: $Thiobacimonas$
ASV000609,ASV609: $Alphaproteobacteria$
ASV000610,ASV610: $Rhodobacteraceae$
ASV000611,ASV611: $Alcanivorax$
ASV000612,ASV612: $Pelagibacterium$
ASV000613,ASV613: $Rhizobiales$
ASV000617,ASV617: $Thiobacimonas$
ASV000620,ASV620: $Neptunomonas$ $concharum$
ASV000621,ASV621: $Pseudomonadaceae$
ASV000624,ASV624: $Halomonadaceae$
ASV000625,ASV625: $Gammaproteobacteria$
ASV000629,ASV629: $Marinobacter$
ASV000635,ASV635: $Modicisalibacter$
ASV000636,ASV636: $Desulfuromusa$
ASV000640,ASV640: $Catenococcus$
ASV000641,ASV641: $DSSD61$
ASV000643,ASV643: $Halomonas$
ASV000644,ASV644: $Rhodobacteraceae$
ASV000647,ASV647: $Cohaesibacter$
ASV000650,ASV650: $Rhizobiaceae$
ASV000651,ASV651: $Chitinophagaceae$
ASV000657,ASV657: $Catenococcus$
ASV000658,ASV658: $Thalassobaculum$
ASV000661,ASV661: $Rhodobacteraceae$
ASV000666,ASV666: $Caulobacteraceae$
ASV000671,ASV671: $Roseivirga$
ASV000672,ASV672: $Aquabacterium$
ASV000677,ASV677: $Rhizobiaceae$
ASV000679,ASV679: $Marinobacter$
ASV000681,ASV681: $Neptunomonas$
ASV000686,ASV686: $Curvibacter$
ASV000687,ASV687: $Corynebacteriales$
ASV000694,ASV694: $Novosphingobium$
ASV000702,ASV702: $Yangia$ $pacifica$
ASV000703,ASV703: $Catenococcus$
ASV000704,ASV704: $Thalassotalea$ $marina$
ASV000706,ASV706: $Gammaproteobacteria$
ASV000707,ASV707: $Leptothrix$
ASV000708,ASV708: $Nevskia$
ASV000710,ASV710: $Catenococcus$
