ASV003708,ASV3708: $Rhodobacteraceae$
ASV003709,ASV3709: $Halomonas$
ASV003710,ASV3710: $Gammaproteobacteria$
ASV003711,ASV3711: $Martelella$
ASV003712,ASV3712: $Thalassospira$
ASV003715,ASV3715: $Planctomicrobium$
ASV003717,ASV3717: $Thalassobaculum$
ASV003718,ASV3718: $Thalassobaculum$
ASV003720,ASV3720: $Alphaproteobacteria$
ASV003722,ASV3722: $Alphaproteobacteria$
ASV003723,ASV3723: $Lacibacter$
ASV003727,ASV3727: $Thalassospira$
ASV003729,ASV3729: $Rhizobiaceae$
ASV003730,ASV3730: $Gemmataceae$
ASV003731,ASV3731: $Rhodobacteraceae$
ASV003736,ASV3736: $Thalassospira$
ASV003743,ASV3743: $Kinneretia$
ASV003746,ASV3746: $Stappia$
ASV003747,ASV3747: $Acidiphilium$
ASV003749,ASV3749: $Acidiphilium$
ASV003750,ASV3750: $Sphingomonas$
ASV003752,ASV3752: $Thalassospira$
ASV003753,ASV3753: $Roseivirga$
ASV003758,ASV3758: $Pelagimonas$
ASV003760,ASV3760: $Alphaproteobacteria$
ASV003765,ASV3765: $Alcanivorax$
ASV003767,ASV3767: $Alcanivorax$
ASV003770,ASV3770: $Rhodobacteraceae$
ASV003771,ASV3771: $Rhodobacteraceae$
ASV003772,ASV3772: $Polymorphum$
ASV003773,ASV3773: $Thiobacimonas$
ASV003774,ASV3774: $Azomonas$
ASV003776,ASV3776: $Marinobacter$
ASV003777,ASV3777: $Aquamicrobium$
ASV003778,ASV3778: $Portibacter$
ASV003779,ASV3779: $Roseicitreum$
ASV003781,ASV3781: $Alphaproteobacteria$
ASV003787,ASV3787: $Loktanella$
ASV003792,ASV3792: $Oricola$
ASV003794,ASV3794: $Rhodobacteraceae$
ASV003799,ASV3799: $Alcanivorax$
ASV003800,ASV3800: $Stakelama$
ASV003801,ASV3801: $Caulobacteraceae$
ASV003803,ASV3803: $Alphaproteobacteria$
ASV003804,ASV3804: $Rhizobiales$
ASV003810,ASV3810: $Catenococcus$
ASV003811,ASV3811: $Alphaproteobacteria$
ASV003812,ASV3812: $Rhodobacteraceae$
ASV003817,ASV3817: $Piscinibacter$
ASV003818,ASV3818: $Rhodospirillales$
ASV003819,ASV3819: $Alphaproteobacteria$
ASV003822,ASV3822: $Thalassospira$
ASV003826,ASV3826: $Pseudoalteromonas$ $spongiae$
ASV003828,ASV3828: $Burkholderiaceae$
ASV003829,ASV3829: $Gammaproteobacteria$
ASV003834,ASV3834: $Thalassospira$
ASV003840,ASV3840: $Vibrio$
ASV003844,ASV3844: $Halomonas$
ASV003849,ASV3849: $Halomonadaceae$
ASV003850,ASV3850: $Marinobacterium$
ASV003852,ASV3852: $Thalassospira$
ASV003853,ASV3853: $Catenococcus$
ASV003856,ASV3856: $Roseobacter$
ASV003866,ASV3866: $Alcanivorax$
ASV003867,ASV3867: $Thalassospira$
ASV003868,ASV3868: $Micromonosporaceae$
ASV003882,ASV3882: $Rhizobiaceae$
ASV003888,ASV3888: $Rhodobacteraceae$
ASV003890,ASV3890: $Roseomonas$
ASV003891,ASV3891: $Rubripirellula$
ASV003892,ASV3892: $Rubidimonas$
ASV003894,ASV3894: $Rhodobacteraceae$
ASV003895,ASV3895: $Saprospiraceae$
ASV003896,ASV3896: $Oceanibulbus$
ASV003897,ASV3897: $Halomonas$
ASV003899,ASV3899: $Sagittula$
ASV003902,ASV3902: $Sediminispirochaeta$
ASV003904,ASV3904: $Modicisalibacter$
ASV003905,ASV3905: $Marinobacterium$
ASV003907,ASV3907: $Loktanella$
ASV003908,ASV3908: $Rhodobacteraceae$
ASV003912,ASV3912: $Pseudoruegeria$
ASV003913,ASV3913: $Thiobacimonas$
ASV003916,ASV3916: $Roseobacter$
ASV003919,ASV3919: $Acinetobacter$
ASV003924,ASV3924: $Thalassospira$
ASV003930,ASV3930: $Rhizobiaceae$
ASV003933,ASV3933: $Thalassospira$
ASV003936,ASV3936: $Alphaproteobacteria$
ASV003937,ASV3937: $Halomonas$
ASV003940,ASV3940: $Oricola$
ASV003941,ASV3941: $Rhodobacteraceae$
ASV003948,ASV3948: $Rhodobacteraceae$
ASV003950,ASV3950: $Thalassobaculum$
ASV003951,ASV3951: $Rhodobacteraceae$
ASV003956,ASV3956: $Rhodobacteraceae$
ASV003959,ASV3959: $Oricola$
ASV003960,ASV3960: $Stappiaceae$
ASV003962,ASV3962: $Rhodobacteraceae$
ASV003964,ASV3964: $Rhodobacteraceae$
ASV003966,ASV3966: $Thiobacimonas$
ASV003973,ASV3973: $Maritimibacter$
ASV003975,ASV3975: $Catenococcus$
ASV003977,ASV3977: $Pseudodonghicola$
ASV003978,ASV3978: $Hyphomonas$
ASV003979,ASV3979: $Rhizobiaceae$
ASV003983,ASV3983: $Rhodobacteraceae$
ASV003986,ASV3986: $Thalassospira$
ASV003988,ASV3988: $Pseudahrensia$
ASV003990,ASV3990: $Rhizobiaceae$
ASV003993,ASV3993: $Roseivirga$
ASV003995,ASV3995: $Thiobacimonas$
ASV004000,ASV4000: $Thalassospira$
ASV004001,ASV4001: $Thalassospira$
ASV004004,ASV4004: $Rhodospirillales$
ASV004005,ASV4005: $Stappiaceae$
ASV004006,ASV4006: $Rhizobiaceae$
ASV004008,ASV4008: $Martelella$
ASV004018,ASV4018: $Blastopirellula$
ASV004020,ASV4020: $Vibrionaceae$
ASV004023,ASV4023: $Alphaproteobacteria$
ASV004026,ASV4026: $Rhodobacteraceae$
ASV004028,ASV4028: $Rhodobacteraceae$
ASV004030,ASV4030: $Rhodobacteraceae$
ASV004031,ASV4031: $Marinobacterium$
ASV004032,ASV4032: $Rhodobacteraceae$
ASV004041,ASV4041: $Parablastomonas$
ASV004043,ASV4043: $Thiobacimonas$
ASV004046,ASV4046: $Oricola$
ASV004050,ASV4050: $Rhodobacteraceae$
ASV004051,ASV4051: $Rhodobacteraceae$
ASV004052,ASV4052: $Catenococcus$
ASV004053,ASV4053: $Rhizobiaceae$
ASV004055,ASV4055: $Halomonas$
ASV004058,ASV4058: $Rhizobiales$
ASV004062,ASV4062: $Rhizobiaceae$
ASV004066,ASV4066: $Neptunomonas$
ASV004067,ASV4067: $Desulforhopalus$
ASV004069,ASV4069: $Alcanivorax$
ASV004073,ASV4073: $Stappia$
ASV004076,ASV4076: $Yangia$
ASV004077,ASV4077: $Rhodobacteraceae$
ASV004081,ASV4081: $Thalassospira$
ASV004083,ASV4083: $Desulfobacter$
ASV004084,ASV4084: $Catenococcus$
ASV004089,ASV4089: $Nevskia$
ASV004090,ASV4090: $Proteobacteria$
ASV004092,ASV4092: $Vibrionaceae$
ASV004101,ASV4101: $Catenococcus$
ASV004106,ASV4106: $Rhodobacteraceae$
ASV004110,ASV4110: $Thalassospira$
ASV004114,ASV4114: $Rhodobacteraceae$
ASV004123,ASV4123: $Halomonadaceae$
ASV004124,ASV4124: $Alphaproteobacteria$
ASV004134,ASV4134: $Sulfitobacter$
ASV004135,ASV4135: $Thalassospira$
ASV004138,ASV4138: $Catenococcus$
ASV004145,ASV4145: $Rhizobiaceae$
ASV004146,ASV4146: $Rhodobacteraceae$
ASV004150,ASV4150: $Alphaproteobacteria$
ASV004152,ASV4152: $Nitratireductor$
ASV004154,ASV4154: $Thalassospira$
ASV004155,ASV4155: $Thiobacimonas$
ASV004163,ASV4163: $Rhodobacteraceae$
ASV004167,ASV4167: $Rickettsiales$
ASV004168,ASV4168: $Alcanivorax$
ASV004171,ASV4171: $Tropicimonas$
ASV004175,ASV4175: $Rhizobiaceae$
ASV004176,ASV4176: $Thalassospira$
ASV004181,ASV4181: $Rhodobacteraceae$
ASV004182,ASV4182: $Filomicrobium$
ASV004185,ASV4185: $Roseivirga$
ASV004189,ASV4189: $Rhodobacteraceae$
ASV004193,ASV4193: $Pirellula$
ASV004195,ASV4195: $Saccharospirillaceae$
ASV004201,ASV4201: $Mesoflavibacter$
ASV004205,ASV4205: $Sagittula$
ASV004207,ASV4207: $Rhodobacteraceae$
ASV004211,ASV4211: $Arcticiflavibacter$
ASV004219,ASV4219: $Rhodobacteraceae$
ASV004223,ASV4223: $Rhodobacteraceae$
ASV004235,ASV4235: $Thalassospira$
ASV004237,ASV4237: $Thiobacimonas$
ASV004239,ASV4239: $Thalassospira$
ASV004245,ASV4245: $Catenococcus$
ASV004247,ASV4247: $Catenococcus$
ASV004248,ASV4248: $Rhizobiaceae$
ASV004250,ASV4250: $Desulfoluna$
ASV004251,ASV4251: $Cucumibacter$
ASV004252,ASV4252: $Rhodobacteraceae$
ASV004254,ASV4254: $Rhodobacteraceae$
ASV004256,ASV4256: $Marinobacterium$
ASV004259,ASV4259: $Roseivivax$
ASV004265,ASV4265: $Hyphomonas$
ASV004267,ASV4267: $Modestobacter$
ASV004272,ASV4272: $Alphaproteobacteria$
ASV004273,ASV4273: $Stappiaceae$
ASV004278,ASV4278: $Gammaproteobacteria$
ASV004279,ASV4279: $Tistlia$
ASV004281,ASV4281: $Maritalea$
ASV004284,ASV4284: $Polymorphum$
ASV004285,ASV4285: $Oricola$
ASV004286,ASV4286: $Gammaproteobacteria$
ASV004288,ASV4288: $Alphaproteobacteria$
ASV004295,ASV4295: $Catenococcus$
ASV004299,ASV4299: $Alphaproteobacteria$
ASV004301,ASV4301: $Alphaproteobacteria$
ASV004302,ASV4302: $Rhodobacteraceae$
ASV004303,ASV4303: $Thiobacimonas$
ASV004305,ASV4305: $Halomonadaceae$
ASV004306,ASV4306: $Rhodobacteraceae$
ASV004307,ASV4307: $Rhodobacteraceae$
ASV004308,ASV4308: $Catenococcus$
ASV004309,ASV4309: $Thalassospira$
ASV004310,ASV4310: $Roseivirga$
ASV004312,ASV4312: $Oleibacter$
ASV004316,ASV4316: $Frankiales$
ASV004317,ASV4317: $Marinobacterium$
ASV004319,ASV4319: $Sulfitobacter$ $pontiacus$
ASV004322,ASV4322: $Roseivirga$
ASV004327,ASV4327: $Thalassospira$
ASV004329,ASV4329: $Gammaproteobacteria$
ASV004330,ASV4330: $Rhodobacteraceae$
ASV004331,ASV4331: $Gammaproteobacteria$
ASV004334,ASV4334: $Pseudolabrys$
ASV004335,ASV4335: $Rhizobiaceae$
ASV004337,ASV4337: $Cyclobacteriaceae$
ASV004340,ASV4340: $Pseudohoeflea$
ASV004343,ASV4343: $Rhodobacteraceae$
ASV004344,ASV4344: $Azomonas$
ASV004348,ASV4348: $Lutibaculum$
ASV004352,ASV4352: $Halomonadaceae$
ASV004357,ASV4357: $Roseobacter$
ASV004359,ASV4359: $Rhodobacteraceae$
ASV004360,ASV4360: $Thalassospira$
ASV004362,ASV4362: $Oricola$
ASV004364,ASV4364: $Gammaproteobacteria$
ASV004365,ASV4365: $Thalassospira$
ASV004366,ASV4366: $Breoghania$
ASV004368,ASV4368: $Castellaniella$
ASV004371,ASV4371: $Halomonas$
ASV004372,ASV4372: $Neptunomonas$
ASV004377,ASV4377: $Catenococcus$
ASV004383,ASV4383: $Alphaproteobacteria$
ASV004386,ASV4386: $Saprospiraceae$
ASV004389,ASV4389: $Fimbriimonadaceae$
ASV004391,ASV4391: $Amorphus$
ASV004401,ASV4401: $Thiobacimonas$
ASV004403,ASV4403: $Martelella$
ASV004404,ASV4404: $Nitratireductor$
ASV004407,ASV4407: $Amorphus$
ASV004409,ASV4409: $Ahrensia$
ASV004410,ASV4410: $Rhodobacteraceae$
ASV004413,ASV4413: $Fimbriimonadaceae$
ASV004415,ASV4415: $Alphaproteobacteria$
ASV004416,ASV4416: $Alphaproteobacteria$
ASV004418,ASV4418: $Rhodobacteraceae$
ASV004420,ASV4420: $Stappia$
ASV004421,ASV4421: $Burkholderiaceae$
ASV004423,ASV4423: $Marinobacterium$
ASV004425,ASV4425: $Nitratireductor$
ASV004426,ASV4426: $Pseudahrensia$
ASV004427,ASV4427: $Alphaproteobacteria$
ASV004429,ASV4429: $Alphaproteobacteria$
ASV004430,ASV4430: $Tistlia$
ASV004433,ASV4433: $Saprospiraceae$
ASV004434,ASV4434: $Thalassobaculum$
ASV004436,ASV4436: $Thalassospira$
ASV004438,ASV4438: $Rhodobacteraceae$
ASV004440,ASV4440: $Rhizobiales$
ASV004445,ASV4445: $Portibacter$
ASV004448,ASV4448: $Rhizobiaceae$
ASV004453,ASV4453: $Thiobacimonas$
ASV004454,ASV4454: $Pseudopelagicola$
ASV004462,ASV4462: $Rhodobacteraceae$
ASV004466,ASV4466: $Thiobacimonas$
ASV004467,ASV4467: $Alphaproteobacteria$
ASV004468,ASV4468: $Vibrio$
ASV004470,ASV4470: $Rhizobiaceae$
ASV004472,ASV4472: $Sulfitobacter$
ASV004476,ASV4476: $Desulfobacterium$
ASV004477,ASV4477: $Marinobacter$
ASV004479,ASV4479: $Desulfobacter$
ASV004480,ASV4480: $Rhodobacteraceae$
ASV004482,ASV4482: $Flavivirga$
ASV004488,ASV4488: $Halomonas$
ASV004491,ASV4491: $Roseovarius$
ASV004494,ASV4494: $Aidingimonas$
ASV004499,ASV4499: $Rhodobacteraceae$
ASV004500,ASV4500: $Saprospiraceae$
ASV004502,ASV4502: $Rhodobacteraceae$
ASV004507,ASV4507: $Desulforhopalus$
ASV004508,ASV4508: $Catenococcus$
ASV004510,ASV4510: $Rubripirellula$
ASV004514,ASV4514: $Thalassospira$
ASV004515,ASV4515: $Halomonadaceae$
ASV004518,ASV4518: $Rhodobacteraceae$
ASV004519,ASV4519: $Thalassospira$
ASV004522,ASV4522: $Polymorphum$
ASV004526,ASV4526: $Aurantivirga$
ASV004530,ASV4530: $Kinneretia$
ASV004531,ASV4531: $Xanthomonadaceae$
ASV004536,ASV4536: $Rhodobacteraceae$
ASV004537,ASV4537: $Thalassospira$
ASV004542,ASV4542: $Nitratireductor$
ASV004543,ASV4543: $Rhizobiaceae$
ASV004545,ASV4545: $Rhodobacteraceae$
ASV004547,ASV4547: $Thiobacimonas$
ASV004549,ASV4549: $Alphaproteobacteria$
ASV004550,ASV4550: $Alphaproteobacteria$
ASV004552,ASV4552: $Rhodobacteraceae$
ASV004555,ASV4555: $Stappiaceae$
ASV004556,ASV4556: $Roseivirga$
ASV004559,ASV4559: $Aliisedimentitalea$
ASV004560,ASV4560: $Alphaproteobacteria$
ASV004562,ASV4562: $Cucumibacter$
ASV004563,ASV4563: $Halomonas$
ASV004565,ASV4565: $Oricola$
ASV004568,ASV4568: $Rhodobacteraceae$
ASV004570,ASV4570: $Halomonadaceae$
ASV004571,ASV4571: $Rhodobacteraceae$
ASV004577,ASV4577: $Aidingimonas$
ASV004580,ASV4580: $Catenococcus$
ASV004592,ASV4592: $Aurantivirga$
ASV004594,ASV4594: $Colwelliaceae$
ASV004597,ASV4597: $Burkholderiaceae$
ASV004598,ASV4598: $NRL2$
ASV004605,ASV4605: $Saprospiraceae$
ASV004606,ASV4606: $Halomonadaceae$
ASV004607,ASV4607: $Desulfobacterium$
ASV004608,ASV4608: $Thiobacimonas$
ASV004609,ASV4609: $Thalassospira$
ASV004611,ASV4611: $XY-R5$
ASV004614,ASV4614: $Rhizobiaceae$
ASV004615,ASV4615: $Thalassospira$
ASV004616,ASV4616: $Rhodobacteraceae$
ASV004619,ASV4619: $Halomonadaceae$
ASV004620,ASV4620: $Halomonadaceae$
ASV004621,ASV4621: $Rhizobiaceae$
ASV004622,ASV4622: $Stappia$
ASV004627,ASV4627: $Marinobacter$
ASV004629,ASV4629: $Rhodobacteraceae$
ASV004633,ASV4633: $Roseivirga$
ASV004634,ASV4634: $Thalassobaculum$
ASV004638,ASV4638: $Rhodobacteraceae$
ASV004639,ASV4639: $Rhizobiaceae$
ASV004641,ASV4641: $Rhizobiaceae$
ASV004646,ASV4646: $Stappiaceae$
ASV004649,ASV4649: $Roseivirga$
ASV004650,ASV4650: $Rhizobiaceae$
ASV004652,ASV4652: $Stappiaceae$
ASV004657,ASV4657: $Thalassospira$
ASV004671,ASV4671: $Rhizobiaceae$
ASV004676,ASV4676: $Rhizobiaceae$
ASV004677,ASV4677: $Thalassospira$
ASV004678,ASV4678: $Hyphomonas$
ASV004679,ASV4679: $Bacteria$
ASV004683,ASV4683: $Rhodobacteraceae$
ASV004685,ASV4685: $Kiloniellaceae$
ASV004686,ASV4686: $Rhizobiaceae$
ASV004687,ASV4687: $Asticcacaulis$
ASV004688,ASV4688: $Rhizobiaceae$
ASV004689,ASV4689: $Alcanivorax$
ASV004699,ASV4699: $Jannaschia$
ASV004705,ASV4705: $Thalassospira$
ASV004706,ASV4706: $Thalassospira$
ASV004707,ASV4707: $Roseivirga$
ASV004711,ASV4711: $Thalassospira$
ASV004715,ASV4715: $Rhizobiaceae$
ASV004718,ASV4718: $Vibrio$
ASV004719,ASV4719: $Thalassospira$
ASV004720,ASV4720: $Polymorphum$
ASV004721,ASV4721: $Polymorphum$
ASV004726,ASV4726: $Gammaproteobacteria$
ASV004727,ASV4727: $Pelagibacterium$
ASV004730,ASV4730: $Rhizobiaceae$
ASV004736,ASV4736: $Gammaproteobacteria$
ASV004738,ASV4738: $Gammaproteobacteria$
ASV004739,ASV4739: $Hyphomonas$
ASV004744,ASV4744: $Rhodobacteraceae$
ASV004746,ASV4746: $Rhizobiaceae$
ASV004748,ASV4748: $Oricola$
ASV004753,ASV4753: $Thalassospira$
ASV004757,ASV4757: $Hyphomonas$
ASV004759,ASV4759: $Rhizobiaceae$
ASV004762,ASV4762: $Thalassospira$
ASV004765,ASV4765: $Reinekea$
ASV004769,ASV4769: $Saprospiraceae$
ASV004770,ASV4770: $Stakelama$
ASV004773,ASV4773: $Pelagibacterium$
ASV004774,ASV4774: $Hyphomonadaceae$
ASV004775,ASV4775: $Thalassospira$
ASV004779,ASV4779: $Alphaproteobacteria$
ASV004781,ASV4781: $Alphaproteobacteria$
ASV004782,ASV4782: $Rhodobacteraceae$
ASV004783,ASV4783: $Rhodobacteraceae$
ASV004786,ASV4786: $Rhodobacteraceae$
ASV004787,ASV4787: $Amorphus$
ASV004790,ASV4790: $Alphaproteobacteria$
ASV004795,ASV4795: $Rhodobacteraceae$
ASV004796,ASV4796: $Thalassospira$
ASV004797,ASV4797: $Gammaproteobacteria$
ASV004799,ASV4799: $Thalassobaculum$
ASV004801,ASV4801: $Alphaproteobacteria$
ASV004807,ASV4807: $Bacteria$
ASV004811,ASV4811: $Rhodobacteraceae$
ASV004813,ASV4813: $Ruegeria$
ASV004821,ASV4821: $Rhodobacteraceae$
ASV004823,ASV4823: $Catenococcus$
ASV004825,ASV4825: $Rhizobiaceae$
ASV004826,ASV4826: $Nitratireductor$
ASV004827,ASV4827: $Alphaproteobacteria$
ASV004829,ASV4829: $Halomonadaceae$
ASV004830,ASV4830: $Pseudohoeflea$
ASV004833,ASV4833: $Sedimentitalea$
ASV004834,ASV4834: $Rhodobacteraceae$
ASV004835,ASV4835: $Rhodopirellula$
ASV004837,ASV4837: $Rhodobacteraceae$
ASV004838,ASV4838: $Thalassospira$
ASV004839,ASV4839: $Rhodobacteraceae$
ASV004840,ASV4840: $Maritimibacter$
ASV004842,ASV4842: $Blastopirellula$
ASV004852,ASV4852: $Halomonas$
ASV004854,ASV4854: $Desulfoconvexum$
ASV004855,ASV4855: $Desulfoconvexum$
ASV004862,ASV4862: $Thiobacimonas$
ASV004867,ASV4867: $Rhodobacteraceae$
ASV004874,ASV4874: $Rhodobacteraceae$
ASV004877,ASV4877: $Desulfobacula$
ASV004880,ASV4880: $Algimonas$
ASV004887,ASV4887: $Pelagibacterium$
ASV004890,ASV4890: $Thalassospira$
ASV004895,ASV4895: $Thalassospira$
ASV004896,ASV4896: $Pelagimonas$
ASV004897,ASV4897: $Desulfobacteraceae$
ASV004902,ASV4902: $Thiobacimonas$
ASV004906,ASV4906: $Blastopirellula$
ASV004908,ASV4908: $Rhodobacteraceae$
ASV004911,ASV4911: $Marinobacter$
ASV004912,ASV4912: $Desulfobulbaceae$
ASV004914,ASV4914: $Marinobacterium$
ASV004917,ASV4917: $Thioclava$
ASV004918,ASV4918: $Desulfotalea$
ASV004920,ASV4920: $Thermopetrobacter$
ASV004922,ASV4922: $Marinobacterium$
ASV004926,ASV4926: $Pir4_lineage$
ASV004929,ASV4929: $Saprospiraceae$
ASV004932,ASV4932: $Filomicrobium$
ASV004933,ASV4933: $Rhodobacteraceae$
ASV004949,ASV4949: $Rhodobacteraceae$
ASV004952,ASV4952: $Thalassospira$
ASV004953,ASV4953: $Thalassospira$
ASV004955,ASV4955: $Rhodobacteraceae$
ASV004965,ASV4965: $Halomonadaceae$
ASV004967,ASV4967: $Mesorhizobium$
ASV004970,ASV4970: $Solibacillus$
ASV004973,ASV4973: $Catenococcus$
ASV004975,ASV4975: $Thalassospira$
ASV004977,ASV4977: $Thalassospira$
ASV004978,ASV4978: $Rhodobacteraceae$
ASV004981,ASV4981: $Yangia$
ASV004982,ASV4982: $Martelella$
ASV004983,ASV4983: $Rhizobiaceae$
ASV004986,ASV4986: $Alphaproteobacteria$
ASV004987,ASV4987: $Rhizobiales$
ASV004990,ASV4990: $Oricola$
ASV004992,ASV4992: $Catenococcus$
ASV004999,ASV4999: $Rhodobacteraceae$
ASV005001,ASV5001: $Catenococcus$
ASV005005,ASV5005: $Aidingimonas$
ASV005006,ASV5006: $Halomonas$
ASV005008,ASV5008: $Nitratireductor$
ASV005012,ASV5012: $Maritalea$
ASV005017,ASV5017: $Gaiellales$
ASV005020,ASV5020: $Rhizobiales$
ASV005023,ASV5023: $Rhizobiaceae$
ASV005029,ASV5029: $Bacteria$
ASV005031,ASV5031: $Spirosoma$
ASV005035,ASV5035: $Rhodobacteraceae$
ASV005049,ASV5049: $Halomonadaceae$
ASV005050,ASV5050: $Catenococcus$
ASV005054,ASV5054: $Sulfitobacter$
ASV005055,ASV5055: $Marinobacterium$
ASV005057,ASV5057: $Pirellula$
ASV005061,ASV5061: $Rhodobacteraceae$
ASV005062,ASV5062: $Pelagibacterium$
ASV005066,ASV5066: $Rhodobacteraceae$
ASV005070,ASV5070: $Bacteroidia$
ASV005077,ASV5077: $Thalassospira$
ASV005080,ASV5080: $Gimesiaceae$
ASV005083,ASV5083: $Portibacter$
ASV005084,ASV5084: $Rhizobiaceae$
ASV005086,ASV5086: $Rhizobiaceae$
ASV005087,ASV5087: $Gammaproteobacteria$
ASV005088,ASV5088: $Thalassospira$
ASV005091,ASV5091: $Neptunomonas$
ASV005094,ASV5094: $Roseivirga$
ASV005095,ASV5095: $Desulfoconvexum$
ASV005096,ASV5096: $Rhodobacteraceae$
ASV005103,ASV5103: $Roseivirga$
ASV005106,ASV5106: $Roseivirga$
ASV005107,ASV5107: $Pelagibacterium$
ASV005108,ASV5108: $Devosiaceae$
ASV005110,ASV5110: $Thalassobaculum$
ASV005111,ASV5111: $Pelagibacterium$
ASV005116,ASV5116: $Roseivirga$
ASV005122,ASV5122: $Filomicrobium$
ASV005139,ASV5139: $Alphaproteobacteria$
ASV005140,ASV5140: $Thalassobaculum$
ASV005144,ASV5144: $Rhizobiales$
ASV005147,ASV5147: $Rhizobiaceae$
ASV005150,ASV5150: $Thalassospira$
ASV005151,ASV5151: $Alphaproteobacteria$
ASV005152,ASV5152: $Rhodobacteraceae$
ASV005154,ASV5154: $Amorphus$
ASV005158,ASV5158: $Gammaproteobacteria$
ASV005161,ASV5161: $Nitratireductor$
ASV005162,ASV5162: $Nitratireductor$
ASV005164,ASV5164: $Thalassospira$
ASV005169,ASV5169: $Rhizobiaceae$
ASV005170,ASV5170: $Kinneretia$
ASV005173,ASV5173: $Pseudoalteromonadaceae$
ASV005174,ASV5174: $Nitratireductor$
ASV005175,ASV5175: $Maritimibacter$
ASV005176,ASV5176: $Alphaproteobacteria$
ASV005177,ASV5177: $Alphaproteobacteria$
ASV005178,ASV5178: $Gammaproteobacteria$
ASV005182,ASV5182: $Rhizobiaceae$
ASV005184,ASV5184: $Rhizobiaceae$
ASV005185,ASV5185: $Roseivirga$
ASV005186,ASV5186: $Thalassospira$
ASV005187,ASV5187: $Alphaproteobacteria$
ASV005194,ASV5194: $Azomonas$
ASV005195,ASV5195: $Roseivirga$
ASV005197,ASV5197: $Catenococcus$
ASV005198,ASV5198: $Pelagibacterium$
ASV005206,ASV5206: $Rhodobacteraceae$
ASV005207,ASV5207: $Mesorhizobium$
ASV005213,ASV5213: $Halomonadaceae$
ASV005216,ASV5216: $Hoeflea$
ASV005217,ASV5217: $Rhizobiaceae$
ASV005218,ASV5218: $Rhizobiaceae$
ASV005219,ASV5219: $Cellvibrionales$
ASV005220,ASV5220: $Breoghania$
ASV005222,ASV5222: $Rhizobiaceae$
ASV005225,ASV5225: $Catenococcus$
ASV005229,ASV5229: $Rhodobacteraceae$
ASV005231,ASV5231: $Marinobacterium$
ASV005233,ASV5233: $Aidingimonas$
ASV005234,ASV5234: $Halomonas$
ASV005239,ASV5239: $Sulfitobacter$
ASV005246,ASV5246: $Rhizobiaceae$
ASV005247,ASV5247: $Alphaproteobacteria$
ASV005248,ASV5248: $Catenococcus$
ASV005249,ASV5249: $Catenococcus$
ASV005250,ASV5250: $Thiobacimonas$
ASV005253,ASV5253: $Filomicrobium$
ASV005254,ASV5254: $Alphaproteobacteria$
ASV005255,ASV5255: $Halomonas$
ASV005256,ASV5256: $Modicisalibacter$
ASV005258,ASV5258: $Alphaproteobacteria$
ASV005260,ASV5260: $Thalassobaculum$
ASV005262,ASV5262: $Rhizobiaceae$
ASV005274,ASV5274: $Thiobacimonas$
ASV005276,ASV5276: $Thalassobaculum$
ASV005277,ASV5277: $Rhizobiaceae$
ASV005278,ASV5278: $Martelella$
ASV005282,ASV5282: $Hyphomonas$
ASV005284,ASV5284: $Rhodobacteraceae$
ASV005285,ASV5285: $Rhizobiaceae$
ASV005287,ASV5287: $Thalassospira$
ASV005289,ASV5289: $Nevskia$
ASV005291,ASV5291: $Catenococcus$
ASV005292,ASV5292: $Stappia$
ASV005294,ASV5294: $Azomonas$
ASV005301,ASV5301: $Halomonadaceae$
ASV005304,ASV5304: $Gammaproteobacteria$
ASV005312,ASV5312: $Rhodobacteraceae$
ASV005313,ASV5313: $Rhizobiaceae$
ASV005318,ASV5318: $Psychrobacter$
ASV005323,ASV5323: $SAR86_clade$
ASV005327,ASV5327: $Thalassotalea$
ASV005330,ASV5330: $Thalassospira$
ASV005333,ASV5333: $Thalassospira$
ASV005336,ASV5336: $Pirellulaceae$
ASV005337,ASV5337: $Rhodobacteraceae$
ASV005340,ASV5340: $Desulfobacter$
ASV005343,ASV5343: $Rhodobacteraceae$
ASV005347,ASV5347: $Rhodobacteraceae$
ASV005355,ASV5355: $Nitratireductor$
ASV005358,ASV5358: $Thalassospira$
ASV005359,ASV5359: $Stappiaceae$
ASV005367,ASV5367: $Rhodobacteraceae$
ASV005373,ASV5373: $Thalassospira$
ASV005381,ASV5381: $Pseudobowmanella$
ASV005383,ASV5383: $Halieaceae$
ASV005385,ASV5385: $Catenococcus$
ASV005386,ASV5386: $Rhodopirellula$
ASV005387,ASV5387: $Rhodobacteraceae$
ASV005388,ASV5388: $Rhodobacteraceae$
ASV005389,ASV5389: $Neptunomonas$
ASV005398,ASV5398: $Gammaproteobacteria$
ASV005405,ASV5405: $Rhodobacteraceae$
ASV005409,ASV5409: $Catenococcus$
ASV005413,ASV5413: $Desulfoluna$
ASV005414,ASV5414: $Caldilineaceae$
ASV005421,ASV5421: $Alphaproteobacteria$
ASV005424,ASV5424: $Psychrobacter$
ASV005425,ASV5425: $Halomonadaceae$
ASV005426,ASV5426: $Enterovibrio$
ASV005434,ASV5434: $Rhodobacteraceae$
ASV005435,ASV5435: $Roseivirga$
ASV005436,ASV5436: $Rhodobacteraceae$
ASV005437,ASV5437: $Rhizobiaceae$
ASV005439,ASV5439: $Polymorphum$
ASV005441,ASV5441: $Rhodobacteraceae$
ASV005443,ASV5443: $Rhizobiales$
