,Day00Inoc,Day01NoC,Day03NoC,Day07NoC,Day14NoC,Day21NoC,Day30NoC,Day42NoC,Day01LowCrysWater,Day03LowCrysWater,Day07LowCrysWater,Day14LowCrysWater,Day21LowCrysWater,Day30LowCrysWater,Day42LowCrysWater,Day01LowCrys,Day03LowCrys,Day07LowCrys,Day14LowCrys,Day21LowCrys,Day30LowCrys,Day42LowCrys,Day01PET,Day03PET,Day07PET,Day14PET,Day21PET,Day30PET,Day42PET,Day01WeatherPET,Day03WeatherPET,Day07WeatherPET,Day14WeatherPET,Day21WeatherPET,Day30WeatherPET,Day42WeatherPET,Day01BHET,Day03BHET,Day07BHET,Day14BHET,Day21BHET,Day30BHET,Day42BHET
ASV10: $Thalassospira$ $lucentensis$,0.035,2.813333333333333,3.223333333333333,3.4800000000000004,2.4066666666666667,1.3533333333333333,0.9100000000000001,1.04,2.4499999999999997,3.436666666666667,3.1366666666666667,3.6166666666666667,3.0,1.7633333333333334,1.3466666666666667,1.2566666666666666,3.1799999999999997,1.5066666666666668,1.0833333333333333,2.0766666666666667,7.826666666666665,1.69,1.1066666666666667,2.69,5.5200000000000005,3.0866666666666664,2.69,1.9133333333333333,1.04,1.9133333333333333,3.1,2.7099999999999995,1.9633333333333336,1.8933333333333333,1.58,1.2433333333333334,0.02333333333333333,0.05333333333333334,0.08,0.03333333333333333,0.06,0.06333333333333334,0.02
ASV14: $Thalassospira$,0.48,0.26666666666666666,0.24666666666666667,0.18000000000000002,0.14666666666666664,0.07333333333333333,0.05333333333333334,0.04,0.26,0.3,0.26,0.14666666666666667,0.15333333333333332,0.11333333333333334,0.04,0.20666666666666667,0.39999999999999997,0.23333333333333336,0.2066666666666667,0.3933333333333333,0.5,0.12,0.66,0.62,0.68,0.21333333333333335,0.26666666666666666,0.22,0.03,0.6000000000000001,0.46,0.48,0.21999999999999997,0.15333333333333332,0.08,0.11333333333333334,0.9666666666666667,17.353333333333335,17.233333333333334,11.906666666666666,9.633333333333333,8.520000000000001,5.9799999999999995
ASV16: $Thalassospira$,0.023333333333333334,2.063333333333333,1.9399999999999997,1.9900000000000002,1.4166666666666667,0.7399999999999999,0.5033333333333333,0.6699999999999999,1.37,1.8866666666666667,1.83,1.9366666666666668,1.7166666666666668,1.22,0.9,0.22333333333333336,0.5966666666666667,0.44333333333333336,0.19000000000000003,0.24,1.1566666666666665,0.34500000000000003,0.6133333333333334,2.0,3.2466666666666666,1.9033333333333333,1.4166666666666667,0.8566666666666668,0.385,1.29,2.4466666666666668,1.49,1.3033333333333332,1.0666666666666667,0.91,0.8933333333333334,0.04,0.07333333333333333,0.08666666666666667,0.04,0.07333333333333333,0.04666666666666667,0.03333333333333333
ASV18: $Halomonas$,8.726666666666667,1.7766666666666666,0.6366666666666666,0.5933333333333334,0.45999999999999996,0.6833333333333332,0.5833333333333334,0.13333333333333333,0.8266666666666667,0.36000000000000004,0.3666666666666667,0.27,0.07666666666666667,0.01,0.0,1.9533333333333334,3.176666666666667,1.7499999999999998,0.7066666666666667,0.34,0.07666666666666667,0.08,1.7233333333333334,0.98,0.6333333333333333,0.5833333333333334,0.6766666666666666,0.5499999999999999,0.845,1.9799999999999998,0.7433333333333333,0.8000000000000002,0.5466666666666667,0.7933333333333333,0.39000000000000007,0.3133333333333333,1.08,0.12,0.27,0.13,0.26,0.41333333333333333,0.21999999999999997
ASV22: $Thalassospira$,0.24666666666666667,0.21333333333333335,0.18000000000000002,0.3,0.09999999999999999,0.06,0.04,0.05,0.21333333333333335,0.26666666666666666,0.2866666666666667,0.17333333333333334,0.12,0.09,0.03333333333333333,0.04666666666666667,0.11333333333333333,0.07333333333333333,0.07,0.05333333333333334,0.10666666666666667,0.02,0.47333333333333333,0.5733333333333334,0.7200000000000001,0.28,0.19333333333333336,0.09333333333333332,0.04,0.5466666666666667,0.7066666666666667,0.32,0.26666666666666666,0.18000000000000002,0.06666666666666667,0.08666666666666667,0.9666666666666667,12.146666666666667,9.38,8.213333333333333,6.646666666666666,5.38,4.906666666666666
ASV27: $Rhizobiales_Incertae_Sedis$,0.0,0.01,0.01,0.01,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.4000000000000001,0.19000000000000003,0.1366666666666667,0.17666666666666667,0.33,0.23666666666666666,0.385,0.01,0.0,0.0,0.0,0.0,0.03,0.0,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01
ASV32: $Reyranella$,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.3466666666666667,0.32666666666666666,0.22333333333333336,0.24,0.25,0.16333333333333333,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.01,0.01,0.0,0.01
ASV34: $Oricola$ $cellulosilytica$,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.025,0.02,0.0,0.0,0.0,0.01,0.015,0.03,0.016666666666666666,0.05666666666666667,0.03,0.015,0.025,0.0,0.01,0.02,0.01,0.01,0.01,0.0,0.01,0.01,0.013333333333333334,0.0,0.02,0.01,0.0,0.0,0.06999999999999999,2.6533333333333333,2.686666666666667,4.536666666666666,4.54,4.703333333333334
ASV45: $Rhizobiaceae$,0.02,0.07333333333333332,0.17333333333333334,0.12333333333333334,0.08666666666666667,0.09999999999999999,0.08666666666666667,0.06666666666666667,0.07333333333333335,0.13333333333333333,0.11666666666666668,0.06333333333333334,0.06666666666666667,0.07333333333333333,0.06,0.29,0.32666666666666666,0.6233333333333334,1.9333333333333336,1.2966666666666666,1.42,1.6300000000000001,0.03333333333333333,0.14333333333333334,0.1466666666666667,0.09000000000000001,0.19000000000000003,0.18666666666666668,0.25,0.07,0.11,0.19333333333333333,0.12,0.17666666666666667,0.13333333333333333,0.08666666666666667,0.0,0.09000000000000001,0.06666666666666667,0.12333333333333335,0.09333333333333334,0.13333333333333333,0.15333333333333332
ASV46: $Maritimibacter$,0.01,0.0,0.08,0.31666666666666665,0.26666666666666666,0.36000000000000004,0.5399999999999999,0.5566666666666666,0.01,0.04666666666666667,0.17666666666666667,0.17,0.26,0.44999999999999996,0.47000000000000003,0.0,0.16666666666666666,0.33,1.3499999999999999,1.3833333333333335,0.5333333333333333,1.31,0.01,0.043333333333333335,0.16333333333333333,0.15666666666666668,0.29333333333333333,0.21,0.15000000000000002,0.02,0.06666666666666667,0.22999999999999998,0.19000000000000003,0.27999999999999997,0.22999999999999998,0.3233333333333333,0.0,0.01,0.11,0.12,0.19333333333333336,0.20666666666666667,0.2333333333333333
ASV47: $Afipia$,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.15333333333333335,0.09333333333333334,0.12333333333333334,0.18000000000000002,0.12333333333333334,0.135,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASV49: $Halomonadaceae$,2.546666666666667,0.7433333333333333,0.32666666666666666,0.33666666666666667,0.22,0.27666666666666667,0.24333333333333332,0.08333333333333333,0.32,0.18000000000000002,0.19999999999999998,0.12000000000000001,0.030000000000000002,0.0,0.0,0.19333333333333336,0.27666666666666667,0.22,0.06333333333333334,0.030000000000000002,0.01,0.0,0.7333333333333334,0.5333333333333333,0.2866666666666667,0.24666666666666667,0.32,0.19999999999999998,0.115,0.9566666666666667,0.43,0.33,0.2733333333333334,0.2733333333333334,0.18333333333333335,0.16333333333333336,0.6033333333333334,0.17,0.20000000000000004,0.07333333333333332,0.18333333333333335,0.25,0.17333333333333334
ASV50: $Xanthobacteraceae$,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19666666666666668,0.13,0.11333333333333333,0.14666666666666667,0.16333333333333333,0.12666666666666668,0.165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0
ASV54: $Oricola$,0.0,0.02,0.0,0.05,0.01,0.01,0.01,0.0,0.0,0.02,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.1366666666666667,1.26,2.0233333333333334,2.5033333333333334,2.7466666666666666,2.263333333333333
ASV59: $Piscinibacter$,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.015,0.0,0.0,0.0,0.01,0.0,0.21333333333333335,0.09666666666666668,0.11666666666666665,0.12666666666666668,0.11666666666666665,0.07333333333333335,0.12000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
ASV62: $Halomonas$,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.10333333333333333,0.01,0.0,0.023333333333333334,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.043333333333333335,0.09333333333333334,0.12333333333333334,0.16666666666666666
ASV67: $Bradyrhizobium$,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.19999999999999998,0.16,0.14666666666666667,0.15333333333333335,0.27999999999999997,0.15333333333333335,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,0.0,0.0
ASV80: $Labrenzia$ $aggregata$,0.05000000000000001,0.030000000000000002,0.12666666666666668,0.06,0.07333333333333333,0.03333333333333333,0.03666666666666667,0.03333333333333333,0.023333333333333334,0.05666666666666667,0.05333333333333334,0.05000000000000001,0.043333333333333335,0.05,0.035,0.02,0.19999999999999998,0.26333333333333336,0.73,0.4266666666666667,0.12666666666666668,0.365,0.013333333333333334,0.12666666666666668,0.12666666666666668,0.08,0.16666666666666666,0.18333333333333335,0.135,0.02666666666666667,0.09999999999999999,0.15,0.18000000000000002,0.18000000000000002,0.16666666666666666,0.11666666666666665,0.01,0.0,0.0,0.0,0.0,0.0,0.0
ASV83: $Methylobacterium$,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASV87: $Stappia$,0.0,0.0,0.08,0.15333333333333332,0.04666666666666667,0.07666666666666667,0.07666666666666667,0.04666666666666667,0.01,0.06333333333333334,0.043333333333333335,0.03333333333333333,0.01,0.049999999999999996,0.03,0.025,0.1466666666666667,0.25333333333333335,0.8566666666666666,0.36333333333333334,0.18000000000000002,0.34500000000000003,0.01,0.03333333333333333,0.10000000000000002,0.03333333333333333,0.06333333333333334,0.04,0.07500000000000001,0.0,0.023333333333333334,0.12333333333333334,0.056666666666666664,0.043333333333333335,0.07333333333333332,0.013333333333333334,0.0,0.01,0.07,0.030000000000000002,0.025,0.025,0.030000000000000002
