Assembly	TARA_SOC_RAW
# contigs (>= 1000 bp)	415586
# contigs (>= 5000 bp)	19141
# contigs (>= 10000 bp)	4867
# contigs (>= 25000 bp)	747
# contigs (>= 50000 bp)	144
Total length (>= 1000 bp)	866533402
Total length (>= 5000 bp)	185086086
Total length (>= 10000 bp)	90185918
Total length (>= 25000 bp)	31098627
Total length (>= 50000 bp)	11211162
# contigs	415586
Largest contig	377717
Total length	866533402
GC (%)	40.98
N50	2132
N75	1392
L50	101937
L75	230076
# N's per 100 kbp	0.00
