Wavenumber (cm^-1),LC,LC,LC,LC,LC,LC,LC,LC,LC,PET,PET,PET,PET,PET,PET,PET,PET,PET,WPET,WPET,WPET,WPET,WPET,WPET,WPET,WPET,WPET
3999.433499,104.32,102.26,101.26,104.32,102.26,101.26,104.32,102.26,101.26,96.7,96.62,98,95.45,97.32,98.7,97.67,98.28,96.82,98.42,99.65,99.65,97.08,96.28,101.3,96.21,97.53,96.62
3997.56983,104.41,102.31,101.33,104.41,102.31,101.33,104.41,102.31,101.33,96.72,96.62,97.94,95.44,97.4,98.67,97.68,98.31,96.79,98.4,99.68,99.68,97.06,96.28,101.31,96.25,97.53,96.6
3995.706161,104.3,102.15,101.36,104.3,102.15,101.36,104.3,102.15,101.36,96.68,96.56,97.93,95.38,97.39,98.68,97.68,98.36,96.78,98.43,99.66,99.66,96.99,96.19,101.27,96.24,97.43,96.51
3993.842493,104.25,102.09,101.27,104.25,102.09,101.27,104.25,102.09,101.27,96.58,96.49,97.97,95.34,97.32,98.67,97.65,98.32,96.75,98.44,99.62,99.62,97.05,96.17,101.3,96.19,97.37,96.52
3991.978824,104.34,102.22,101.26,104.34,102.22,101.26,104.34,102.22,101.26,96.63,96.56,97.99,95.39,97.29,98.69,97.63,98.33,96.72,98.45,99.64,99.64,97.11,96.2,101.28,96.14,97.37,96.54
3990.115155,104.27,102.2,101.22,104.27,102.2,101.22,104.27,102.2,101.22,96.7,96.65,98.01,95.48,97.3,98.71,97.63,98.3,96.73,98.5,99.69,99.69,97.17,96.26,101.34,96.13,97.4,96.59
3988.251486,104.21,102.1,101.09,104.21,102.1,101.09,104.21,102.1,101.09,96.75,96.7,98.04,95.49,97.3,98.73,97.63,98.3,96.81,98.48,99.62,99.62,97.12,96.28,101.34,96.16,97.38,96.62
3986.387817,104.25,102.14,101.1,104.25,102.14,101.1,104.25,102.14,101.1,96.77,96.67,98.06,95.48,97.36,98.8,97.64,98.31,96.86,98.43,99.54,99.54,97.05,96.29,101.31,96.2,97.42,96.63
3984.524148,104.2,102.19,101.16,104.2,102.19,101.16,104.2,102.19,101.16,96.72,96.61,98.01,95.44,97.34,98.8,97.61,98.27,96.79,98.4,99.53,99.53,97.04,96.3,101.3,96.2,97.49,96.66
3982.660479,104.17,102.2,101.13,104.17,102.2,101.13,104.17,102.2,101.13,96.7,96.62,98.01,95.39,97.32,98.71,97.62,98.29,96.76,98.49,99.69,99.69,97.12,96.35,101.39,96.25,97.59,96.67
3980.79681,104.23,102.18,101.14,104.23,102.18,101.14,104.23,102.18,101.14,96.74,96.66,98.02,95.42,97.33,98.66,97.62,98.32,96.8,98.51,99.66,99.66,97.12,96.25,101.31,96.22,97.53,96.53
3978.933141,104.21,102.14,101.14,104.21,102.14,101.14,104.21,102.14,101.14,96.67,96.6,98.04,95.41,97.31,98.62,97.58,98.27,96.77,98.45,99.61,99.61,96.99,96.06,101.25,96.11,97.36,96.45
3977.069472,104.13,102.07,100.98,104.13,102.07,100.98,104.13,102.07,100.98,96.61,96.54,98.1,95.4,97.34,98.68,97.66,98.31,96.8,98.41,99.59,99.59,97,96.05,101.25,96.14,97.32,96.51
3975.205803,104.26,102.19,101.09,104.26,102.19,101.09,104.26,102.19,101.09,96.61,96.53,98.07,95.39,97.34,98.7,97.68,98.29,96.78,98.45,99.65,99.65,97.05,96.14,101.3,96.18,97.39,96.53
3973.342134,104.28,102.21,101.19,104.28,102.21,101.19,104.28,102.21,101.19,96.64,96.6,98.02,95.39,97.38,98.71,97.67,98.29,96.8,98.4,99.65,99.65,97.09,96.2,101.25,96.25,97.46,96.54
3971.478466,104.31,102.14,101.17,104.31,102.14,101.17,104.31,102.14,101.17,96.74,96.69,98.02,95.41,97.41,98.75,97.68,98.38,96.85,98.39,99.61,99.61,97.08,96.22,101.2,96.35,97.4,96.59
3969.614797,104.25,102.07,101.22,104.25,102.07,101.22,104.25,102.07,101.22,96.76,96.63,97.98,95.43,97.36,98.73,97.68,98.36,96.85,98.46,99.65,99.65,97.01,96.23,101.22,96.34,97.39,96.64
3967.751128,104.27,102.08,101.25,104.27,102.08,101.25,104.27,102.08,101.25,96.68,96.53,97.99,95.47,97.38,98.74,97.72,98.32,96.86,98.61,99.77,99.77,97.04,96.29,101.39,96.24,97.45,96.67
3965.887459,104.27,102.13,101.21,104.27,102.13,101.21,104.27,102.13,101.21,96.64,96.54,98.02,95.5,97.38,98.76,97.71,98.34,96.86,98.48,99.64,99.64,97.02,96.27,101.37,96.21,97.45,96.58
3964.02379,104.2,102.15,101.16,104.2,102.15,101.16,104.2,102.15,101.16,96.61,96.52,98.07,95.54,97.36,98.77,97.69,98.34,96.85,98.35,99.58,99.58,97.04,96.25,101.33,96.25,97.49,96.57
3962.160121,104.11,102.06,101.1,104.11,102.06,101.1,104.11,102.06,101.1,96.62,96.55,98.07,95.49,97.35,98.76,97.68,98.29,96.79,98.4,99.67,99.67,97.1,96.23,101.32,96.22,97.45,96.55
3960.296452,104.15,102.11,101.09,104.15,102.11,101.09,104.15,102.11,101.09,96.65,96.58,97.94,95.36,97.24,98.63,97.55,98.14,96.65,98.31,99.63,99.63,97.04,96.19,101.23,96.18,97.31,96.52
3958.432783,104.26,102.22,101.14,104.26,102.22,101.14,104.26,102.22,101.14,96.58,96.56,97.93,95.35,97.21,98.65,97.55,98.14,96.72,98.26,99.58,99.58,97.07,96.2,101.15,96.22,97.33,96.59
3956.569114,104.31,102.14,101.13,104.31,102.14,101.13,104.31,102.14,101.13,96.55,96.59,98,95.44,97.3,98.73,97.59,98.23,96.82,98.42,99.63,99.63,97.16,96.29,101.24,96.31,97.46,96.65
3954.705445,104.3,102.14,101.09,104.3,102.14,101.09,104.3,102.14,101.09,96.64,96.61,97.98,95.44,97.32,98.69,97.58,98.29,96.76,98.42,99.55,99.55,97.16,96.35,101.18,96.29,97.5,96.59
3952.841776,104.24,102.22,101.1,104.24,102.22,101.1,104.24,102.22,101.1,96.62,96.56,97.97,95.4,97.33,98.68,97.56,98.27,96.71,98.29,99.44,99.44,97.09,96.24,101.15,96.23,97.46,96.51
