,Treatment1_All,Treatment2_LC_P_B,Treatment3_BHET_LCB,Treatment4_PET,Treatment5_PET_BHET,Treatment6_BHET_NoC,Treatment7_LC_NoC
RD30P3,Day30PET3,,,PET,PET,,
RD30WP1,Day30WeatherPET1,,,WPET,PET,,
RD30WP2,Day30WeatherPET2,,,WPET,PET,,
RD30WP3,Day30WeatherPET3,,,WPET,PET,,
RD30B1,Day30BHET1,,BHET,,BHET,BHET,
RD30B2,Day30BHET2,,BHET,,BHET,BHET,
RD30B3,Day30BHET3,,BHET,,BHET,BHET,
RD30C1,Day30ExtractionControl,,,,,,
RD42W1,Day42NoC1,,,,,NoC,NoC
RD42W2,Day42NoC2,,,,,NoC,NoC
RD42W3,Day42NoC3,,,,,NoC,NoC
RD42LCW1,Day42LowCrysWater1,LCP,,,,,
RD42LCW2,Day42LowCrysWater2,LCP,,,,,
RD42LCW3,Day42LowCrysWater3,LCP,,,,,
RD42LC1,Day42LowCrys1,LCB,LCB,LCB,PET,,LCB
RD42LC2,,,,,,,LCB
RD42LC3,Day42LowCrys3,LCB,LCB,LCB,PET,,LCB
RD42P1,,,,PET,PET,,
RD42P2,Day42PET2,,,PET,PET,,
RD42P3,Day42PET3,,,PET,PET,,
RD42WP1,Day42WeatherPET1,,,WPET,PET,,
RD42WP2,Day42WeatherPET2,,,WPET,PET,,
RD42WP3,Day42WeatherPET3,,,WPET,PET,,
RD42B1,Day42BHET1,,BHET,,BHET,BHET,
RD42B2,Day42BHET2,,BHET,,BHET,BHET,
RD42B3,Day42BHET3,,BHET,,BHET,BHET,
RD42C1,Day42ExtractionControl,,,,,,
P116SB1,MiSeqControl1,,,,,,
P116SB2,MiSeqControl2,,,,,,
P116SB3,MiSeqControl3,,,,,,
