Wavenumber (cm^-1),Powder,Weathered powder,Low crystallinity pieces
3999.433499,95.76,96.61,99.55
3997.56983,95.75,96.64,99.51
3995.706161,95.72,96.67,99.42
3993.842493,95.75,96.7,99.44
3991.978824,95.81,96.75,99.5
3990.115155,95.82,96.72,99.53
3988.251486,95.75,96.65,99.57
3986.387817,95.65,96.59,99.56
3984.524148,95.72,96.53,99.56
3982.660479,95.81,96.61,99.52
3980.79681,95.76,96.67,99.48
3978.933141,95.76,96.61,99.44
3977.069472,95.81,96.58,99.43
3975.205803,95.71,96.66,99.46
3973.342134,95.68,96.77,99.55
3971.478466,95.77,96.71,99.57
3969.614797,95.76,96.62,99.53
3967.751128,95.75,96.58,99.49
3965.887459,95.72,96.58,99.53
3964.02379,95.73,96.63,99.59
3962.160121,95.79,96.65,99.57
3960.296452,95.82,96.64,99.53
3958.432783,95.8,96.62,99.54
3956.569114,95.79,96.59,99.6
3954.705445,95.8,96.59,99.61
3952.841776,95.79,96.61,99.56
3950.978107,95.79,96.66,99.46
3949.114439,95.8,96.72,99.47
3947.25077,95.74,96.69,99.57
3945.387101,95.67,96.63,99.55
3943.523432,95.76,96.66,99.54
3941.659763,95.85,96.65,99.53
3939.796094,95.83,96.63,99.56
3937.932425,95.76,96.64,99.57
3936.068756,95.67,96.63,99.64
3934.205087,95.62,96.65,99.59
3932.341418,95.74,96.64,99.47
3930.477749,95.83,96.61,99.48
3928.61408,95.78,96.63,99.55
3926.750412,95.75,96.65,99.57
3924.886743,95.78,96.64,99.53
3923.023074,95.72,96.64,99.49
3921.159405,95.66,96.61,99.49
3919.295736,95.67,96.63,99.41
3917.432067,95.76,96.75,99.44
3915.568398,95.84,96.73,99.51
3913.704729,95.83,96.67,99.58
3911.84106,95.84,96.63,99.63
3909.977391,95.78,96.58,99.64
3908.113722,95.6,96.49,99.66
3906.250053,95.47,96.49,99.65
3904.386384,95.57,96.58,99.59
3902.522716,95.73,96.6,99.41
3900.659047,95.89,96.7,99.39
3898.795378,95.98,96.8,99.46
3896.931709,95.9,96.76,99.56
3895.06804,95.75,96.68,99.61
3893.204371,95.72,96.68,99.55
3891.340702,95.75,96.69,99.56
3889.477033,95.63,96.6,99.5
3887.613364,95.67,96.66,99.58
3885.749695,95.76,96.72,99.6
3883.886026,95.72,96.56,99.57
3882.022357,95.84,96.57,99.55
3880.158689,95.97,96.73,99.54
3878.29502,95.92,96.71,99.56
3876.431351,95.94,96.66,99.61
3874.567682,95.86,96.67,99.67
3872.704013,95.65,96.54,99.56
3870.840344,95.77,96.64,99.59
3868.976675,95.82,96.71,99.59
3867.113006,95.8,96.68,99.64
3865.249337,95.83,96.7,99.55
3863.385668,95.88,96.76,99.57
3861.521999,95.94,96.76,99.67
3859.65833,95.91,96.7,99.86
3857.794662,95.6,96.49,99.97
3855.930993,95.32,96.35,99.76
3854.067324,95.71,96.71,99.46
3852.203655,96.03,96.84,99.38
3850.339986,96.05,96.84,99.5
3848.476317,95.91,96.82,99.57
3846.612648,95.79,96.73,99.64
3844.748979,95.79,96.63,99.71
3842.88531,95.74,96.54,99.68
3841.021641,95.64,96.46,99.62
3839.157972,95.7,96.58,99.6
3837.294303,95.82,96.76,99.51
3835.430634,95.92,96.85,99.47
3833.566966,96.01,96.82,99.51
3831.703297,96.02,96.73,99.62
3829.839628,95.88,96.65,99.56
3827.975959,95.86,96.74,99.62
3826.11229,95.73,96.7,99.75
3824.248621,95.43,96.53,99.7
3822.384952,95.63,96.65,99.71
3820.521283,95.75,96.64,99.61
3818.657614,95.71,96.55,99.45
3816.793945,95.94,96.65,99.53
3814.930276,96.02,96.77,99.53
3813.066607,95.99,96.76,99.63
3811.202939,95.79,96.58,99.72
3809.33927,95.71,96.51,99.69
3807.475601,95.85,96.71,99.76
3805.611932,95.65,96.61,99.72
3803.748263,95.5,96.53,99.63
3801.884594,95.78,96.8,99.57
3800.020925,95.82,96.83,99.48
3798.157256,95.82,96.77,99.59
3796.293587,95.87,96.75,99.59
3794.429918,95.88,96.68,99.54
3792.566249,95.85,96.62,99.54
3790.70258,95.78,96.62,99.61
3788.838912,95.72,96.6,99.59
3786.975243,95.7,96.54,99.58
3785.111574,95.69,96.56,99.64
3783.247905,95.64,96.58,99.62
3781.384236,95.68,96.63,99.55
3779.520567,95.81,96.72,99.54
3777.656898,95.76,96.74,99.55
3775.793229,95.72,96.71,99.7
3773.92956,95.69,96.58,99.68
3772.065891,95.69,96.56,99.63
3770.202222,95.76,96.62,99.53
3768.338553,95.78,96.57,99.45
3766.474885,95.86,96.65,99.58
3764.611216,95.83,96.68,99.63
3762.747547,95.71,96.61,99.65
3760.883878,95.7,96.68,99.66
3759.020209,95.83,96.73,99.63
3757.15654,95.84,96.58,99.65
3755.292871,95.61,96.38,99.66
3753.429202,95.57,96.3,99.79
3751.565533,95.79,96.55,99.69
3749.701864,95.96,96.8,99.77
3747.838195,95.76,96.58,99.63
3745.974526,95.84,96.7,99.62
3744.110857,96.04,96.92,99.48
3742.247189,96.07,96.92,99.65
3740.38352,95.87,96.8,99.8
3738.519851,95.58,96.69,99.89
3736.656182,95.57,96.63,99.83
3734.792513,95.76,96.59,99.54
3732.928844,96.03,96.72,99.52
3731.065175,96.09,96.81,99.63
3729.201506,95.96,96.75,99.62
3727.337837,95.9,96.75,99.63
3725.474168,95.8,96.71,99.67
3723.610499,95.82,96.62,99.63
3721.74683,95.89,96.6,99.59
3719.883162,95.93,96.65,99.65
3718.019493,95.89,96.69,99.75
3716.155824,95.74,96.59,99.8
3714.292155,95.62,96.52,99.79
3712.428486,95.71,96.66,99.67
3710.564817,95.88,96.73,99.59
3708.701148,95.94,96.73,99.57
3706.837479,95.85,96.73,99.58
3704.97381,95.85,96.74,99.64
3703.110141,95.95,96.75,99.64
3701.246472,95.89,96.74,99.64
3699.382803,95.81,96.73,99.62
3697.519135,95.93,96.76,99.65
3695.655466,95.87,96.69,99.66
3693.791797,95.66,96.52,99.77
3691.928128,95.55,96.46,99.74
3690.064459,95.76,96.62,99.48
3688.20079,95.93,96.75,99.36
3686.337121,95.93,96.82,99.52
3684.473452,95.93,96.83,99.65
3682.609783,95.87,96.77,99.61
3680.746114,95.73,96.6,99.71
3678.882445,95.47,96.36,99.59
3677.018776,95.61,96.39,99.54
3675.155107,95.91,96.56,99.41
3673.291439,95.8,96.69,99.26
3671.42777,95.81,96.8,99.3
3669.564101,96.02,96.85,99.26
3667.700432,95.97,96.86,99.24
3665.836763,95.81,96.82,99.33
3663.973094,95.71,96.71,99.32
3662.109425,95.69,96.58,99.33
3660.245756,95.63,96.42,99.34
3658.382087,95.62,96.46,99.26
3656.518418,95.72,96.68,99.21
3654.654749,95.66,96.61,99.23
3652.79108,95.49,96.42,99.43
3650.927412,95.41,96.44,99.29
3649.063743,95.63,96.64,99.03
3647.200074,95.85,96.79,98.99
3645.336405,95.81,96.72,98.96
3643.472736,95.73,96.58,98.96
3641.609067,95.73,96.53,99.04
3639.745398,95.66,96.58,99.08
3637.881729,95.51,96.54,98.99
3636.01806,95.55,96.41,98.99
3634.154391,95.57,96.37,99.13
3632.290722,95.32,96.32,99
3630.427053,95.44,96.49,98.96
3628.563385,95.74,96.78,98.92
3626.699716,95.75,96.83,98.89
3624.836047,95.67,96.72,98.84
3622.972378,95.59,96.61,98.93
3621.108709,95.57,96.51,98.99
3619.24504,95.69,96.5,98.96
3617.381371,95.69,96.58,98.92
3615.517702,95.62,96.71,98.9
3613.654033,95.65,96.72,98.86
3611.790364,95.69,96.65,98.85
3609.926695,95.71,96.62,98.98
3608.063026,95.72,96.63,98.99
3606.199358,95.7,96.65,98.97
3604.335689,95.59,96.7,99.06
3602.47202,95.57,96.63,99.1
3600.608351,95.7,96.64,99
3598.744682,95.71,96.6,98.87
3596.881013,95.77,96.56,98.82
3595.017344,95.86,96.67,98.89
3593.153675,95.74,96.68,99.06
3591.290006,95.62,96.58,99.15
3589.426337,95.66,96.62,99.06
3587.562668,95.83,96.82,98.81
3585.698999,95.85,96.88,98.76
3583.83533,95.74,96.77,98.79
3581.971662,95.78,96.64,98.93
3580.107993,95.78,96.62,98.96
3578.244324,95.77,96.68,98.91
3576.380655,95.76,96.71,98.92
3574.516986,95.78,96.7,98.87
3572.653317,95.7,96.73,98.77
3570.789648,95.53,96.64,98.8
3568.925979,95.55,96.58,98.81
3567.06231,95.73,96.62,98.68
3565.198641,95.87,96.67,98.68
3563.334972,95.85,96.76,98.8
3561.471303,95.77,96.83,98.78
3559.607635,95.81,96.8,98.72
3557.743966,95.79,96.61,98.65
3555.880297,95.6,96.53,98.63
3554.016628,95.61,96.61,98.62
3552.152959,95.73,96.54,98.54
3550.28929,95.64,96.48,98.44
3548.425621,95.61,96.7,98.41
3546.561952,95.67,96.8,98.38
3544.698283,95.68,96.79,98.36
3542.834614,95.62,96.71,98.42
3540.970945,95.64,96.54,98.56
3539.107276,95.72,96.56,98.62
3537.243608,95.79,96.75,98.61
3535.379939,95.74,96.71,98.66
3533.51627,95.76,96.66,98.73
3531.652601,95.75,96.67,98.62
3529.788932,95.74,96.73,98.54
3527.925263,95.76,96.69,98.5
3526.061594,95.79,96.6,98.48
3524.197925,95.77,96.66,98.36
3522.334256,95.76,96.73,98.36
3520.470587,95.75,96.62,98.47
3518.606918,95.76,96.56,98.5
3516.743249,95.76,96.68,98.49
3514.87958,95.76,96.75,98.6
3513.015912,95.74,96.67,98.6
3511.152243,95.79,96.68,98.63
3509.288574,95.94,96.71,98.73
3507.424905,95.94,96.69,98.65
3505.561236,95.74,96.78,98.58
3503.697567,95.76,96.77,98.6
3501.833898,95.89,96.62,98.55
3499.970229,95.73,96.67,98.67
3498.10656,95.68,96.66,98.58
3496.242891,95.89,96.58,98.44
3494.379222,95.86,96.66,98.49
3492.515553,95.77,96.73,98.56
3490.651885,95.85,96.76,98.6
3488.788216,95.97,96.73,98.69
3486.924547,95.88,96.62,98.72
3485.060878,95.78,96.63,98.75
3483.197209,95.79,96.65,98.6
3481.33354,95.76,96.78,98.59
3479.469871,95.78,96.92,98.65
3477.606202,95.92,96.83,98.75
3475.742533,95.9,96.66,98.76
3473.878864,95.71,96.56,98.61
3472.015195,95.69,96.56,98.52
3470.151526,95.8,96.57,98.54
3468.287858,95.88,96.58,98.67
3466.424189,95.96,96.63,98.73
3464.56052,95.87,96.75,98.7
3462.696851,95.74,96.87,98.62
3460.833182,95.82,96.83,98.63
3458.969513,95.9,96.67,98.58
3457.105844,95.81,96.59,98.44
3455.242175,95.74,96.62,98.48
3453.378506,95.73,96.6,98.41
3451.514837,95.75,96.53,98.39
3449.651168,95.69,96.47,98.38
3447.787499,95.63,96.41,98.45
3445.923831,95.58,96.36,98.38
3444.060162,95.57,96.36,98.17
3442.196493,95.46,96.46,97.97
3440.332824,95.39,96.48,97.87
3438.469155,95.42,96.45,97.9
3436.605486,95.51,96.41,98.07
3434.741817,95.5,96.36,98.18
3432.878148,95.44,96.46,98.19
3431.014479,95.5,96.54,98.15
3429.15081,95.53,96.49,98.06
3427.287141,95.4,96.42,97.97
3425.423472,95.39,96.42,97.95
3423.559803,95.42,96.37,97.99
3421.696135,95.47,96.35,98.01
3419.832466,95.43,96.38,97.93
3417.968797,95.3,96.3,97.86
3416.105128,95.31,96.34,97.86
3414.241459,95.46,96.47,98
3412.37779,95.53,96.46,98.04
3410.514121,95.61,96.4,98.14
3408.650452,95.65,96.44,98.15
3406.786783,95.55,96.49,98.12
3404.923114,95.51,96.47,98.04
3403.059445,95.7,96.47,98.1
3401.195776,95.83,96.52,98.24
3399.332108,95.76,96.52,98.28
3397.468439,95.65,96.53,98.23
3395.60477,95.62,96.55,98.3
3393.741101,95.65,96.57,98.32
3391.877432,95.7,96.61,98.31
3390.013763,95.71,96.58,98.37
3388.150094,95.77,96.59,98.49
3386.286425,95.84,96.63,98.5
3384.422756,95.8,96.59,98.44
3382.559087,95.67,96.59,98.36
3380.695418,95.6,96.62,98.35
3378.831749,95.64,96.57,98.38
3376.968081,95.72,96.57,98.45
3375.104412,95.72,96.57,98.43
3373.240743,95.77,96.55,98.45
3371.377074,95.8,96.57,98.41
3369.513405,95.75,96.56,98.4
3367.649736,95.79,96.59,98.53
3365.786067,95.86,96.58,98.6
3363.922398,95.83,96.55,98.59
3362.058729,95.81,96.55,98.61
3360.19506,95.77,96.56,98.57
3358.331391,95.76,96.56,98.56
3356.467722,95.79,96.51,98.52
3354.604053,95.79,96.47,98.56
3352.740385,95.75,96.46,98.6
3350.876716,95.74,96.49,98.63
3349.013047,95.76,96.57,98.62
3347.149378,95.7,96.62,98.49
3345.285709,95.65,96.57,98.4
3343.42204,95.64,96.53,98.47
3341.558371,95.63,96.57,98.51
3339.694702,95.68,96.59,98.51
3337.831033,95.76,96.62,98.49
3335.967364,95.73,96.61,98.51
3334.103695,95.64,96.57,98.58
3332.240026,95.62,96.55,98.64
3330.376358,95.63,96.5,98.58
3328.512689,95.62,96.48,98.6
3326.64902,95.6,96.53,98.6
3324.785351,95.62,96.59,98.65
3322.921682,95.67,96.58,98.64
3321.058013,95.74,96.57,98.54
3319.194344,95.78,96.57,98.48
3317.330675,95.74,96.57,98.54
3315.467006,95.72,96.51,98.65
3313.603337,95.73,96.51,98.69
3311.739668,95.72,96.57,98.59
3309.875999,95.7,96.62,98.58
3308.012331,95.63,96.61,98.6
3306.148662,95.68,96.61,98.67
3304.284993,95.73,96.61,98.7
3302.421324,95.67,96.61,98.68
3300.557655,95.64,96.63,98.67
3298.693986,95.67,96.59,98.73
3296.830317,95.67,96.53,98.69
3294.966648,95.68,96.48,98.7
3293.102979,95.65,96.49,98.66
3291.23931,95.64,96.54,98.64
3289.375641,95.64,96.5,98.72
3287.511972,95.65,96.47,98.75
3285.648304,95.64,96.54,98.78
3283.784635,95.65,96.54,98.74
3281.920966,95.71,96.49,98.68
3280.057297,95.71,96.52,98.76
3278.193628,95.68,96.59,98.79
3276.329959,95.68,96.61,98.79
3274.46629,95.75,96.54,98.84
3272.602621,95.81,96.55,98.73
3270.738952,95.81,96.62,98.66
3268.875283,95.8,96.66,98.75
3267.011614,95.72,96.66,98.74
3265.147945,95.71,96.63,98.76
3263.284276,95.74,96.56,98.79
3261.420608,95.71,96.56,98.82
3259.556939,95.68,96.59,98.84
3257.69327,95.72,96.6,98.88
3255.829601,95.77,96.59,98.84
3253.965932,95.74,96.57,98.75
3252.102263,95.67,96.53,98.74
3250.238594,95.64,96.5,98.83
3248.374925,95.68,96.49,98.88
3246.511256,95.73,96.58,98.93
3244.647587,95.75,96.65,98.99
3242.783918,95.77,96.63,98.92
3240.920249,95.75,96.54,98.79
3239.056581,95.7,96.49,98.79
3237.192912,95.7,96.51,98.84
3235.329243,95.7,96.6,98.94
3233.465574,95.66,96.63,98.95
3231.601905,95.64,96.65,98.89
3229.738236,95.71,96.6,98.87
3227.874567,95.72,96.56,98.9
3226.010898,95.65,96.56,98.85
3224.147229,95.63,96.59,98.84
3222.28356,95.66,96.63,98.87
3220.419891,95.67,96.62,98.9
3218.556222,95.7,96.62,98.93
3216.692554,95.74,96.63,98.97
3214.828885,95.77,96.55,98.9
3212.965216,95.73,96.52,98.89
3211.101547,95.73,96.59,98.96
3209.237878,95.79,96.65,98.95
3207.374209,95.8,96.63,98.9
3205.51054,95.83,96.56,98.94
3203.646871,95.81,96.55,99
3201.783202,95.7,96.56,98.97
3199.919533,95.63,96.59,98.9
3198.055864,95.66,96.63,98.88
3196.192195,95.73,96.6,98.97
3194.328526,95.75,96.58,98.99
3192.464858,95.74,96.65,98.9
3190.601189,95.75,96.72,98.87
3188.73752,95.75,96.69,98.89
3186.873851,95.72,96.61,98.94
3185.010182,95.72,96.57,99.03
3183.146513,95.71,96.57,99.02
3181.282844,95.71,96.58,98.92
3179.419175,95.79,96.61,98.92
3177.555506,95.78,96.57,98.98
3175.691837,95.73,96.55,99.03
3173.828168,95.64,96.57,99.09
3171.964499,95.63,96.64,99.13
3170.100831,95.71,96.65,99.11
3168.237162,95.69,96.56,99.1
3166.373493,95.68,96.56,99.11
3164.509824,95.71,96.63,99.12
3162.646155,95.72,96.65,99.12
3160.782486,95.71,96.59,99.12
3158.918817,95.7,96.58,99.09
3157.055148,95.64,96.59,99.11
3155.191479,95.58,96.56,99.1
3153.32781,95.64,96.52,99.08
3151.464141,95.7,96.52,99.07
3149.600472,95.68,96.6,99.01
3147.736804,95.65,96.65,98.98
3145.873135,95.66,96.55,99.02
3144.009466,95.71,96.51,99.1
3142.145797,95.7,96.56,99.1
3140.282128,95.63,96.57,99.01
3138.418459,95.63,96.59,99.04
3136.55479,95.61,96.6,99.07
3134.691121,95.55,96.56,99.08
3132.827452,95.57,96.47,99.1
3130.963783,95.58,96.46,99.07
3129.100114,95.56,96.53,98.99
3127.236445,95.6,96.52,98.96
3125.372777,95.6,96.44,99
3123.509108,95.61,96.42,99.04
3121.645439,95.58,96.5,99.07
3119.78177,95.51,96.55,99.07
3117.918101,95.49,96.47,99
3116.054432,95.44,96.4,99.05
3114.190763,95.42,96.44,99.05
3112.327094,95.52,96.46,98.98
3110.463425,95.45,96.42,98.91
3108.599756,95.37,96.41,98.87
3106.736087,95.41,96.39,98.85
3104.872418,95.35,96.39,98.82
3103.008749,95.32,96.35,98.82
3101.145081,95.35,96.32,98.83
3099.281412,95.36,96.38,98.81
3097.417743,95.38,96.41,98.84
3095.554074,95.44,96.4,98.86
3093.690405,95.4,96.4,98.88
3091.826736,95.35,96.41,98.9
3089.963067,95.36,96.38,98.88
3088.099398,95.35,96.37,98.84
3086.235729,95.3,96.34,98.78
3084.37206,95.27,96.34,98.7
3082.508391,95.26,96.33,98.62
3080.644722,95.23,96.3,98.55
3078.781054,95.26,96.33,98.58
3076.917385,95.26,96.4,98.61
3075.053716,95.21,96.39,98.59
3073.190047,95.2,96.29,98.6
3071.326378,95.22,96.25,98.61
3069.462709,95.2,96.26,98.58
3067.59904,95.18,96.28,98.59
3065.735371,95.18,96.26,98.6
3063.871702,95.19,96.25,98.58
3062.008033,95.16,96.27,98.6
3060.144364,95.13,96.22,98.66
3058.280695,95.14,96.16,98.68
3056.417027,95.16,96.22,98.67
3054.553358,95.13,96.26,98.6
3052.689689,95.13,96.26,98.57
3050.82602,95.17,96.28,98.63
3048.962351,95.25,96.34,98.72
3047.098682,95.34,96.38,98.84
3045.235013,95.39,96.36,98.95
3043.371344,95.43,96.36,99.02
3041.507675,95.45,96.39,99.13
3039.644006,95.46,96.39,99.15
3037.780337,95.46,96.4,99.17
3035.916668,95.45,96.45,99.21
3034.052999,95.47,96.48,99.23
3032.189331,95.49,96.46,99.17
3030.325662,95.48,96.43,99.1
3028.461993,95.42,96.4,99.05
3026.598324,95.43,96.38,99.1
3024.734655,95.47,96.42,99.09
3022.870986,95.41,96.4,99.06
3021.007317,95.34,96.37,99.03
3019.143648,95.29,96.34,98.94
3017.279979,95.22,96.29,98.89
3015.41631,95.14,96.24,98.87
3013.552641,95.13,96.24,98.81
3011.688972,95.13,96.24,98.77
3009.825304,95.07,96.21,98.68
3007.961635,95,96.17,98.59
3006.097966,94.93,96.11,98.54
3004.234297,94.85,96.04,98.45
3002.370628,94.81,96.05,98.33
3000.506959,94.88,96.08,98.25
2998.64329,94.86,96.07,98.19
2996.779621,94.8,96.01,98.18
2994.915952,94.78,95.96,98.06
2993.052283,94.73,95.98,97.92
2991.188614,94.66,95.92,97.78
2989.324945,94.59,95.84,97.65
2987.461277,94.55,95.84,97.57
2985.597608,94.5,95.83,97.46
2983.733939,94.37,95.79,97.3
2981.87027,94.26,95.73,97.12
2980.006601,94.16,95.65,96.86
2978.142932,94.02,95.59,96.7
2976.279263,93.89,95.52,96.5
2974.415594,93.81,95.38,96.24
2972.551925,93.68,95.24,96.02
2970.688256,93.56,95.23,95.76
2968.824587,93.52,95.23,95.45
2966.960918,93.45,95.13,95.15
2965.09725,93.31,95.07,94.8
2963.233581,93.24,95.11,94.5
2961.369912,93.27,95.16,94.27
2959.506243,93.29,95.18,93.99
2957.642574,93.31,95.17,93.71
2955.778905,93.39,95.24,93.45
2953.915236,93.49,95.34,93.17
2952.051567,93.6,95.38,92.96
2950.187898,93.7,95.42,92.79
2948.324229,93.79,95.49,92.59
2946.46056,93.93,95.59,92.37
2944.596891,94.05,95.64,92.22
2942.733222,94.11,95.7,92.03
2940.869554,94.17,95.76,91.76
2939.005885,94.22,95.78,91.52
2937.142216,94.24,95.76,91.36
2935.278547,94.26,95.77,91.2
2933.414878,94.27,95.83,91.01
2931.551209,94.21,95.81,90.8
2929.68754,94.1,95.74,90.62
2927.823871,93.97,95.75,90.45
2925.960202,93.81,95.68,90.28
2924.096533,93.67,95.56,90.17
2922.232864,93.5,95.49,90.19
2920.369195,93.28,95.36,90.37
2918.505527,93.09,95.27,90.71
2916.641858,92.93,95.18,91.11
2914.778189,92.83,95.11,91.58
2912.91452,92.84,95.1,92.1
2911.050851,92.86,95.1,92.56
2909.187182,92.86,95.13,92.95
2907.323513,92.92,95.16,93.22
2905.459844,92.99,95.16,93.42
2903.596175,93.09,95.23,93.64
2901.732506,93.21,95.29,93.78
2899.868837,93.31,95.34,93.82
2898.005168,93.41,95.4,93.85
2896.1415,93.49,95.47,93.92
2894.277831,93.52,95.47,94
2892.414162,93.57,95.45,94.07
2890.550493,93.67,95.48,94.15
2888.686824,93.71,95.52,94.33
2886.823155,93.75,95.54,94.54
2884.959486,93.82,95.56,94.75
2883.095817,93.89,95.6,94.96
2881.232148,93.98,95.69,95.18
2879.368479,94.05,95.73,95.38
2877.50481,94.14,95.73,95.51
2875.641141,94.27,95.79,95.56
2873.777472,94.36,95.81,95.6
2871.913804,94.41,95.78,95.52
2870.050135,94.43,95.82,95.4
2868.186466,94.45,95.85,95.3
2866.322797,94.49,95.87,95.13
2864.459128,94.5,95.91,94.86
2862.595459,94.49,95.93,94.55
2860.73179,94.42,95.92,94.24
2858.868121,94.3,95.86,93.92
2857.004452,94.2,95.81,93.59
2855.140783,94.05,95.72,93.37
2853.277114,93.79,95.62,93.25
2851.413445,93.51,95.56,93.35
2849.549777,93.32,95.47,93.68
2847.686108,93.3,95.42,94.19
2845.822439,93.41,95.47,94.82
2843.95877,93.57,95.56,95.49
2842.095101,93.76,95.62,96.07
2840.231432,93.96,95.67,96.55
2838.367763,94.13,95.77,96.92
2836.504094,94.24,95.86,97.23
2834.640425,94.37,95.9,97.47
2832.776756,94.48,95.99,97.7
2830.913087,94.56,96.08,97.87
2829.049418,94.66,96.12,98
2827.18575,94.74,96.11,98.12
2825.322081,94.79,96.1,98.19
2823.458412,94.84,96.09,98.26
2821.594743,94.9,96.12,98.33
2819.731074,94.92,96.14,98.36
2817.867405,94.91,96.12,98.43
2816.003736,94.92,96.13,98.5
2814.140067,94.92,96.16,98.46
2812.276398,94.91,96.15,98.42
2810.412729,94.9,96.1,98.46
2808.54906,94.93,96.1,98.53
2806.685391,94.95,96.14,98.62
2804.821723,94.98,96.16,98.62
2802.958054,95.03,96.14,98.6
2801.094385,95.06,96.14,98.66
2799.230716,95.09,96.17,98.73
2797.367047,95.11,96.19,98.74
2795.503378,95.14,96.21,98.77
2793.639709,95.16,96.22,98.83
2791.77604,95.13,96.21,98.87
2789.912371,95.13,96.22,98.87
2788.048702,95.16,96.25,98.87
2786.185033,95.21,96.24,98.87
2784.321364,95.26,96.26,98.89
2782.457695,95.27,96.29,98.93
2780.594027,95.26,96.3,98.98
2778.730358,95.22,96.29,98.96
2776.866689,95.2,96.3,98.95
2775.00302,95.25,96.32,98.98
2773.139351,95.32,96.35,99.03
2771.275682,95.32,96.36,99.03
2769.412013,95.29,96.34,98.98
2767.548344,95.32,96.32,98.96
2765.684675,95.31,96.3,99
2763.821006,95.26,96.29,99
2761.957337,95.3,96.32,98.99
2760.093668,95.34,96.33,99
2758.23,95.33,96.33,99.01
2756.366331,95.34,96.31,99
2754.502662,95.36,96.32,99.03
2752.638993,95.31,96.34,99.03
2750.775324,95.27,96.32,99.01
2748.911655,95.33,96.33,99.07
2747.047986,95.36,96.35,99.12
2745.184317,95.37,96.35,99.1
2743.320648,95.41,96.32,99.09
2741.456979,95.4,96.31,99.09
2739.59331,95.36,96.31,99.11
2737.729641,95.34,96.32,99.09
2735.865973,95.37,96.34,99.09
2734.002304,95.42,96.35,99.1
2732.138635,95.41,96.35,99.13
2730.274966,95.39,96.35,99.14
2728.411297,95.41,96.36,99.13
2726.547628,95.43,96.35,99.15
2724.683959,95.42,96.37,99.18
2722.82029,95.43,96.4,99.2
2720.956621,95.45,96.39,99.2
2719.092952,95.45,96.38,99.21
2717.229283,95.49,96.4,99.21
2715.365614,95.53,96.41,99.21
2713.501945,95.49,96.4,99.21
2711.638277,95.44,96.38,99.2
2709.774608,95.46,96.39,99.21
2707.910939,95.51,96.41,99.21
2706.04727,95.51,96.4,99.25
2704.183601,95.5,96.38,99.24
2702.319932,95.49,96.4,99.22
2700.456263,95.49,96.42,99.22
2698.592594,95.5,96.45,99.26
2696.728925,95.51,96.49,99.26
2694.865256,95.49,96.48,99.22
2693.001587,95.48,96.44,99.24
2691.137918,95.49,96.42,99.29
2689.27425,95.51,96.42,99.29
2687.410581,95.52,96.4,99.29
2685.546912,95.51,96.41,99.3
2683.683243,95.5,96.42,99.27
2681.819574,95.49,96.4,99.23
2679.955905,95.5,96.4,99.24
2678.092236,95.5,96.39,99.27
2676.228567,95.5,96.37,99.28
2674.364898,95.51,96.39,99.23
2672.501229,95.52,96.42,99.22
2670.63756,95.48,96.41,99.27
2668.773891,95.46,96.39,99.3
2666.910223,95.47,96.4,99.28
2665.046554,95.48,96.39,99.25
2663.182885,95.48,96.34,99.24
2661.319216,95.47,96.33,99.25
2659.455547,95.43,96.34,99.24
2657.591878,95.38,96.32,99.25
2655.728209,95.36,96.33,99.25
2653.86454,95.37,96.36,99.24
2652.000871,95.37,96.34,99.27
2650.137202,95.39,96.31,99.3
2648.273533,95.4,96.32,99.28
2646.409864,95.41,96.33,99.31
2644.546196,95.41,96.34,99.33
2642.682527,95.4,96.33,99.34
2640.818858,95.4,96.33,99.33
2638.955189,95.4,96.32,99.3
2637.09152,95.41,96.3,99.31
2635.227851,95.44,96.32,99.33
2633.364182,95.43,96.34,99.35
2631.500513,95.42,96.34,99.35
2629.636844,95.43,96.38,99.31
2627.773175,95.41,96.36,99.3
2625.909506,95.42,96.31,99.32
2624.045837,95.42,96.35,99.34
2622.182168,95.41,96.42,99.38
2620.3185,95.45,96.41,99.41
2618.454831,95.51,96.38,99.39
2616.591162,95.51,96.43,99.4
2614.727493,95.51,96.45,99.45
2612.863824,95.56,96.37,99.48
2611.000155,95.57,96.34,99.48
2609.136486,95.54,96.41,99.5
2607.272817,95.52,96.47,99.52
2605.409148,95.55,96.47,99.54
2603.545479,95.57,96.42,99.57
2601.68181,95.57,96.41,99.57
2599.818141,95.54,96.44,99.57
