Wavenumber (cm^-1),Powder,Weathered powder,Low crystallinity pieces
2597.954473,95.53,96.4,99.61
2596.090804,95.6,96.41,99.61
2594.227135,95.61,96.47,99.59
2592.363466,95.57,96.45,99.54
2590.499797,95.56,96.46,99.58
2588.636128,95.61,96.56,99.63
2586.772459,95.68,96.55,99.58
2584.90879,95.69,96.47,99.57
2583.045121,95.72,96.44,99.61
2581.181452,95.69,96.51,99.67
2579.317783,95.64,96.55,99.65
2577.454114,95.67,96.45,99.59
2575.590446,95.69,96.42,99.67
2573.726777,95.67,96.44,99.74
2571.863108,95.65,96.46,99.69
2569.999439,95.65,96.49,99.65
2568.13577,95.68,96.51,99.65
2566.272101,95.66,96.51,99.64
2564.408432,95.65,96.52,99.62
2562.544763,95.66,96.51,99.6
2560.681094,95.69,96.51,99.62
2558.817425,95.68,96.49,99.65
2556.953756,95.69,96.5,99.62
