Assembly	TARA_ANE_RAW
# contigs (>= 1000 bp)	1381803
# contigs (>= 5000 bp)	67274
# contigs (>= 10000 bp)	17063
# contigs (>= 25000 bp)	2553
# contigs (>= 50000 bp)	436
Total length (>= 1000 bp)	2892649823
Total length (>= 5000 bp)	646422600
Total length (>= 10000 bp)	311184929
Total length (>= 25000 bp)	103851962
Total length (>= 50000 bp)	33733318
# contigs	1381803
Largest contig	1038928
Total length	2892649823
GC (%)	37.04
N50	2155
N75	1382
L50	330893
L75	759409
# N's per 100 kbp	0.00
